 	cette	femme	est	en	train	de	me	harceler	parce	que	je	lui	dois	de	l'	argent	</S>
a66	0.21642	0.110668	0.0874598	0.088297	0.0881646	0.0836494	0.0748313	0.0655192	0.0386475	0.0316788	0.0275786	0.0189818	0.0143643	0.0135738	0.0136754	0.0138682	0.0126232
a87	0.213755	0.123705	0.087267	0.0642661	0.0518828	0.0593316	0.0633602	0.0645766	0.0437356	0.0293567	0.0203045	0.0160722	0.0125983	0.0209476	0.0312336	0.043852	0.0537548
a10	0.194881	0.118254	0.0989278	0.0845554	0.0929621	0.108049	0.0907648	0.0757876	0.0301024	0.0178563	0.0130798	0.0111468	0.00921264	0.0103092	0.011935	0.0140066	0.0181693
a87	0.203976	0.128768	0.111129	0.0879241	0.0907553	0.0906874	0.0691973	0.0456862	0.0235388	0.017701	0.0158993	0.0149785	0.0139235	0.018213	0.0208455	0.0223662	0.0244104
a23	0.16334	0.113405	0.101441	0.0861879	0.0937173	0.0917245	0.0732128	0.0539527	0.029655	0.0223778	0.0201634	0.019817	0.0190228	0.0246117	0.0275485	0.0293344	0.0304888
a13	0.197301	0.112226	0.092176	0.0710405	0.0863423	0.0788007	0.0660194	0.0520458	0.0229502	0.0195069	0.0169873	0.0154303	0.0186809	0.0288767	0.0361253	0.0424984	0.0429925
a50	0.152458	0.113814	0.10758	0.0844227	0.0901523	0.0762988	0.0594698	0.0466227	0.0182459	0.0180211	0.0160438	0.0136758	0.018892	0.0349159	0.0475768	0.052135	0.0496761
a70	0.191858	0.143781	0.128016	0.0882939	0.0798209	0.066028	0.0545443	0.0378981	0.0168879	0.0166173	0.0147932	0.0119313	0.0179096	0.0303605	0.0352768	0.0338687	0.0321149
a4	0.160976	0.157105	0.149129	0.0980279	0.08026	0.074495	0.0675757	0.0480128	0.0213704	0.0188196	0.0164206	0.0133223	0.0160789	0.0192156	0.0194878	0.0191794	0.0205246
a53	0.115586	0.137792	0.140918	0.108108	0.0927566	0.0910474	0.0831938	0.060136	0.0263741	0.0226589	0.0193938	0.0148854	0.0156964	0.0160529	0.0156124	0.0180445	0.0217448
a90	0.0735979	0.0978488	0.106808	0.0953784	0.0900464	0.094509	0.0942258	0.0790675	0.0383644	0.0326878	0.0270089	0.0218072	0.0225123	0.0233175	0.0256271	0.0341193	0.0430734
a98	0.0592238	0.0770899	0.0934394	0.092904	0.0893969	0.0995604	0.103248	0.0994235	0.0488072	0.0377258	0.0293778	0.021896	0.0209674	0.020028	0.0243213	0.0360626	0.0465284
a85	0.0723963	0.0968074	0.108623	0.103499	0.0919737	0.092911	0.0862732	0.0736149	0.043962	0.0364199	0.0269646	0.0187507	0.0194865	0.0214396	0.02634	0.036631	0.0439078
a6	0.0428173	0.0609277	0.0734174	0.0865118	0.0867861	0.0937705	0.0970917	0.0971759	0.0604548	0.0514382	0.0355876	0.025277	0.0246604	0.0256261	0.0331365	0.0482346	0.0570864
a0	0.0450094	0.0569792	0.0684379	0.0839789	0.0885497	0.0925959	0.0923798	0.100687	0.0629723	0.0525042	0.0370169	0.0278293	0.0249394	0.0230973	0.0300321	0.048921	0.0640699
a75	0.0199259	0.0241806	0.0345502	0.0614439	0.081576	0.102067	0.123034	0.154684	0.0797974	0.0597781	0.0433791	0.0329222	0.0269597	0.0241189	0.028856	0.042598	0.0601291
