 	les	paniers	de	poissons	sont	sur	la	barge	du	bateau	</S>
a10	0.139343	0.129109	0.148255	0.149602	0.147605	0.121875	0.0774404	0.0458035	0.0180042	0.0121198	0.0108427
a83	0.242512	0.295105	0.192121	0.0994316	0.0342417	0.019768	0.0194625	0.0262972	0.024944	0.0211747	0.0249413
a50	0.190917	0.230594	0.137118	0.0981208	0.0550625	0.0356518	0.0364835	0.0502959	0.0447048	0.049234	0.0718181
a83	0.293925	0.246078	0.166584	0.104435	0.0585752	0.0430352	0.0281209	0.0201945	0.011757	0.0134824	0.0138124
a9	0.286096	0.190976	0.172508	0.136776	0.0838791	0.0505319	0.0333947	0.0182028	0.010191	0.00905755	0.00838729
a38	0.239198	0.193856	0.140849	0.101791	0.0754806	0.0611864	0.0490121	0.0366717	0.0298165	0.0333668	0.0387714
a21	0.221778	0.218982	0.149665	0.104396	0.0713587	0.0474345	0.0387392	0.0349763	0.0314712	0.0353719	0.0458272
a92	0.226188	0.196007	0.167161	0.163533	0.102281	0.0605088	0.0398589	0.0187661	0.00804588	0.00838088	0.00926917
a98	0.122532	0.170335	0.143637	0.139414	0.106696	0.0959479	0.0878711	0.0490491	0.0221237	0.0270999	0.0352949
a47	0.115597	0.15646	0.140929	0.140904	0.113881	0.0999283	0.0902112	0.0564541	0.0266806	0.0281253	0.0308293
a6	0.0750857	0.12167	0.13089	0.146385	0.152506	0.13264	0.0941818	0.0492407	0.0259212	0.0317114	0.0397683
a43	0.0907668	0.14017	0.153357	0.150849	0.138168	0.112062	0.0844268	0.0487068	0.0223155	0.0262647	0.0329139
a11	0.0407874	0.0682164	0.104058	0.138965	0.193153	0.170193	0.111229	0.0589292	0.0319752	0.0386046	0.0438886
a24	0.044647	0.072733	0.0935455	0.109828	0.180017	0.183193	0.119017	0.0596269	0.0350914	0.0468965	0.0554044
a88	0.0202228	0.0358616	0.0460801	0.0625777	0.142747	0.200644	0.171693	0.102506	0.0538682	0.0702595	0.0935397
a24	0.021879	0.0383881	0.0498111	0.0627509	0.139456	0.206868	0.173608	0.0995453	0.0496782	0.0659341	0.0920819
a0	0.0167348	0.0302722	0.040751	0.0515843	0.118757	0.188785	0.180253	0.123568	0.0566719	0.0760452	0.116576
a75	0.0229006	0.0390917	0.0475098	0.0513225	0.100655	0.171114	0.173396	0.130327	0.0608336	0.079484	0.123366
a85	0.0235406	0.0206063	0.0159309	0.013747	0.0174035	0.0353572	0.0533209	0.088538	0.133637	0.250736	0.347183
a37	0.0249411	0.0211923	0.0190676	0.0176253	0.0221175	0.0452075	0.0790198	0.137818	0.157737	0.222953	0.252322
a5	0.0144381	0.0155324	0.0152569	0.016437	0.0303066	0.0625987	0.09493	0.154204	0.14781	0.194629	0.253857
a18	0.0196182	0.0181646	0.0172044	0.0171712	0.0242495	0.044727	0.0756708	0.148373	0.173968	0.216125	0.244729
a21	0.00863152	0.0114825	0.0117331	0.0129596	0.0189527	0.0272522	0.037032	0.0777726	0.148723	0.242707	0.402753
a85	0.0212079	0.0175527	0.0148245	0.0130321	0.0161151	0.0283399	0.050362	0.1142	0.191895	0.249632	0.28284
a47	0.00984966	0.00735189	0.00639384	0.00645318	0.00924527	0.0197149	0.0385538	0.0928768	0.171364	0.276575	0.361622
a36	0.00514984	0.00485766	0.00505415	0.00509724	0.0065352	0.0144351	0.0290166	0.0913868	0.209139	0.281323	0.348005
a11	0.00786731	0.0108325	0.012661	0.0118376	0.0114374	0.0118648	0.0134153	0.0325516	0.103414	0.275345	0.508773
a90	0.00329716	0.00506547	0.00409969	0.00279675	0.00183799	0.00188973	0.00303094	0.0128148	0.0624446	0.250953	0.65177
a20	0.000390627	0.000625565	0.000577466	0.000583179	0.00106059	0.00239976	0.00584671	0.023326	0.10324	0.275286	0.586664
a7	0.000602813	0.000822833	0.00105441	0.00126707	0.00251337	0.00518196	0.0101294	0.0307869	0.136588	0.318544	0.492509
a84	0.000651714	0.00136507	0.00165761	0.00179768	0.00287878	0.00516069	0.00983851	0.0319928	0.103318	0.291575	0.549764
a82	0.0309597	0.0317047	0.0221483	0.0132855	0.00912233	0.00835867	0.0106255	0.0351113	0.10029	0.256678	0.481716
a10	0.100768	0.0723889	0.0771905	0.0731152	0.0428383	0.0295934	0.0279891	0.0768358	0.124266	0.15018	0.224834
a87	0.113329	0.0923016	0.105874	0.0913069	0.0513135	0.0386361	0.0338066	0.0768633	0.116478	0.116342	0.163748
a23	0.108708	0.115938	0.130208	0.10614	0.0698976	0.0527271	0.0398184	0.0618267	0.0844041	0.0920609	0.138271
a99	0.0216706	0.0138858	0.0215859	0.031171	0.038306	0.0389147	0.0396429	0.0735742	0.181316	0.204204	0.335729
a97	0.0175919	0.0155135	0.0220267	0.0299966	0.0366694	0.038671	0.0419681	0.0692415	0.165824	0.215965	0.346532
</S>	0.00261334	0.00296335	0.00534328	0.00794444	0.00974179	0.0110645	0.0163647	0.0336709	0.115072	0.253079	0.542143
