 	notre	maman	vend	de	l'	arachide	au	marché	</S>
a66	0.30688	0.23586	0.165818	0.118912	0.0803882	0.0468364	0.021888	0.012914	0.0105036
a87	0.279326	0.133405	0.151691	0.104305	0.0818268	0.0684061	0.0616782	0.0624175	0.0569453
a97	0.284103	0.301319	0.125545	0.0662058	0.0384628	0.0496495	0.0469586	0.0423563	0.0453994
a83	0.279593	0.331049	0.116669	0.0662872	0.0404854	0.0555584	0.0459531	0.0339957	0.0304097
a99	0.280184	0.242646	0.0979152	0.0553702	0.0511527	0.0771437	0.0878789	0.0631913	0.0445181
a53	0.321627	0.285726	0.100179	0.0555393	0.041322	0.0465765	0.0592064	0.0511182	0.0387048
a90	0.29782	0.256407	0.108044	0.0710286	0.0476623	0.0432705	0.057475	0.0622354	0.0560572
a98	0.263416	0.259626	0.131217	0.0928362	0.0592645	0.0444188	0.0484225	0.0520069	0.0487925
a79	0.174828	0.19359	0.144599	0.137792	0.0958723	0.0565431	0.0545371	0.0672335	0.0750052
a56	0.149912	0.18817	0.144116	0.135409	0.0872384	0.0525058	0.0542175	0.0861862	0.102245
a43	0.207509	0.243045	0.176997	0.141085	0.0721405	0.0359398	0.0286628	0.0417459	0.052874
a61	0.120578	0.176725	0.237974	0.187748	0.0984198	0.0453268	0.0329845	0.043834	0.0564108
a21	0.0888434	0.144605	0.257184	0.203925	0.116289	0.0543278	0.0366778	0.0435001	0.0546474
a85	0.0440958	0.0800167	0.245311	0.210836	0.139525	0.0815206	0.0562213	0.0622782	0.0801956
a5	0.0288899	0.0588477	0.19561	0.19332	0.138546	0.078455	0.0620355	0.0954639	0.148832
a36	0.0281204	0.0534451	0.200926	0.198912	0.153636	0.0919895	0.0658466	0.0855633	0.121561
a61	0.0244356	0.0436145	0.165177	0.17548	0.154829	0.103285	0.0771798	0.103929	0.152071
a21	0.0196387	0.0268059	0.121304	0.13996	0.150813	0.131603	0.106851	0.129085	0.17394
a92	0.0140322	0.0185962	0.084181	0.0998255	0.117033	0.118184	0.128862	0.180054	0.239232
a37	0.00685865	0.0101958	0.0495735	0.0638089	0.0891072	0.0983272	0.13104	0.230561	0.320527
a56	0.00804466	0.0131061	0.0368132	0.0409376	0.0620216	0.0878721	0.127406	0.247163	0.376635
a92	0.00397815	0.00575946	0.0233209	0.0282757	0.0456731	0.0718173	0.132917	0.278566	0.409692
a56	0.00197688	0.00293387	0.0134577	0.0179422	0.0308057	0.0520436	0.119631	0.295946	0.465263
a75	0.00197934	0.00259858	0.0105074	0.0140461	0.0243284	0.0423411	0.102053	0.295275	0.506871
a5	0.000806858	0.00112664	0.00656385	0.0105755	0.0227734	0.0443544	0.111258	0.300481	0.502061
a36	0.001117	0.00133604	0.00637473	0.00827188	0.0162763	0.0329753	0.0977363	0.301446	0.534466
a27	0.00551405	0.00422934	0.0100564	0.0134031	0.0317601	0.0679265	0.142156	0.26739	0.457565
a82	0.0665085	0.0476111	0.0668891	0.0648165	0.0833468	0.0966155	0.111922	0.170819	0.291472
a3	0.104545	0.0722566	0.0690731	0.05543	0.0633281	0.0954351	0.121644	0.15885	0.259438
a97	0.115247	0.0802307	0.0796473	0.0686808	0.0729543	0.100839	0.131205	0.155339	0.195856
a3	0.0813695	0.0565562	0.0842581	0.0764506	0.082145	0.109375	0.133942	0.169822	0.20608
</S>	0.0950389	0.0705809	0.0838903	0.0722956	0.0714467	0.0870056	0.110197	0.172667	0.236879
