 	la	forêt	qu'	il	nous	a	indiquée	pour	la	chasse	n'	était	pas	giboyeuse	</S>
a66	0.0762931	0.0644019	0.0682186	0.102198	0.128967	0.14742	0.162078	0.0786089	0.0775309	0.0473844	0.0243166	0.00951111	0.00482605	0.00415624	0.00408957
a87	0.203857	0.130331	0.0946962	0.0765216	0.0818265	0.0715427	0.0693489	0.0596697	0.0632969	0.03677	0.0302079	0.019401	0.0178754	0.0187668	0.025888
a23	0.236472	0.136448	0.087631	0.0699906	0.0864346	0.0650569	0.0804183	0.0435818	0.0490502	0.035808	0.030425	0.0203707	0.0134306	0.0169128	0.0279691
a83	0.163527	0.0995049	0.0878794	0.0796208	0.116665	0.102571	0.142043	0.044866	0.0547024	0.0294927	0.0216989	0.0136445	0.0110016	0.0126066	0.0201755
a75	0.120829	0.0806132	0.0805817	0.0733927	0.0977633	0.109322	0.17242	0.067826	0.0683598	0.0361875	0.0286286	0.0175746	0.0147515	0.0148569	0.0168932
a6	0.126799	0.127324	0.133945	0.120485	0.117588	0.0931907	0.104862	0.0500229	0.0334289	0.0240474	0.0227239	0.0167766	0.0121831	0.0093289	0.00729472
a85	0.118914	0.144133	0.168868	0.121625	0.101887	0.0746764	0.0893524	0.046779	0.0324179	0.0232056	0.0224274	0.0216719	0.0174905	0.010106	0.00644638
a5	0.159009	0.160134	0.144874	0.0938223	0.086764	0.0695448	0.0807422	0.0404165	0.0305809	0.0215784	0.0199337	0.0199157	0.0265026	0.0243907	0.0217907
a24	0.177689	0.153851	0.133629	0.0933308	0.0903786	0.0778353	0.0907226	0.0462199	0.03873	0.0270592	0.0200945	0.0157709	0.0141943	0.0112688	0.00922616
a18	0.144478	0.12008	0.115546	0.100775	0.105658	0.103779	0.127894	0.0510387	0.0408358	0.0271945	0.0180201	0.0128574	0.0108892	0.0106662	0.0102886
a88	0.0583542	0.0592255	0.0787588	0.100541	0.0967496	0.115205	0.149841	0.0715767	0.0656559	0.0445911	0.0315401	0.028977	0.0294777	0.0352542	0.034253
a62	0.0406499	0.0442334	0.0661567	0.099993	0.0974081	0.118948	0.149236	0.082337	0.0778186	0.0576815	0.0397186	0.0328284	0.0289861	0.0334831	0.030522
a96	0.0362776	0.0382363	0.0615952	0.100715	0.106402	0.118397	0.131906	0.0895651	0.0759073	0.0706131	0.0455746	0.032115	0.0279617	0.032834	0.0319
a93	0.0259599	0.0253834	0.0398906	0.0761818	0.0929655	0.12212	0.154431	0.104332	0.0968626	0.0899214	0.055163	0.0339867	0.0243632	0.0281783	0.0302602
a90	0.0235055	0.0226563	0.0349389	0.0643956	0.0816513	0.112934	0.150587	0.111733	0.107694	0.0947115	0.0592783	0.0377145	0.0264576	0.0326853	0.0390576
a98	0.0130463	0.0133907	0.0212118	0.0381186	0.0533675	0.0831828	0.129508	0.0975393	0.0962246	0.0965276	0.0744949	0.0536632	0.0515483	0.0769952	0.101181
a85	0.00892599	0.0087161	0.0125017	0.0250634	0.0350109	0.0766433	0.121439	0.0898121	0.108455	0.0947462	0.0804922	0.0637972	0.0608817	0.0885527	0.124962
a92	0.0082309	0.00778657	0.0108489	0.0200785	0.0293273	0.0615618	0.100114	0.0759139	0.0988118	0.0776383	0.0642218	0.0514134	0.0654719	0.12841	0.200171
a21	0.00574776	0.00542447	0.00839324	0.013498	0.020664	0.0408975	0.0732298	0.0621275	0.0762001	0.0776801	0.078927	0.0742453	0.102792	0.155066	0.205106
a85	0.00413274	0.00416554	0.00700911	0.0132442	0.0208452	0.0430246	0.075495	0.0679374	0.0918324	0.100806	0.102861	0.0894195	0.0930033	0.12604	0.160185
a92	0.00480424	0.00442467	0.00621142	0.0104302	0.0149714	0.0318859	0.0536062	0.0555123	0.0807091	0.0895405	0.0997133	0.0882116	0.0904242	0.144294	0.225261
a85	0.00362837	0.0032651	0.00487594	0.00741563	0.0109822	0.0220188	0.039101	0.0420424	0.0638723	0.0794351	0.107618	0.108438	0.120753	0.166024	0.220531
a6	0.00639547	0.00583287	0.00676963	0.00982485	0.0116939	0.0199696	0.0270863	0.0332966	0.0507197	0.0561532	0.0669857	0.0706023	0.114442	0.221135	0.299093
a36	0.00625516	0.00502402	0.00623614	0.0095046	0.0119386	0.0223065	0.0361115	0.0413625	0.0626312	0.0739687	0.0969459	0.10427	0.113795	0.153698	0.255952
a61	0.00718514	0.00584187	0.00766319	0.0114466	0.0158186	0.0308731	0.0524309	0.0521419	0.0827426	0.0681748	0.0816417	0.0913815	0.0984766	0.142782	0.2514
a31	0.00324875	0.00290605	0.00353385	0.0054557	0.00709013	0.0128009	0.0179867	0.0178932	0.0244229	0.0265592	0.0474211	0.083422	0.147015	0.228452	0.371792
a18	0.00287477	0.00282641	0.00337946	0.0048063	0.00581467	0.00954317	0.0136275	0.0132952	0.0162323	0.0174071	0.0308868	0.0563527	0.143807	0.272342	0.406804
a31	0.00175041	0.00159768	0.00233523	0.00396873	0.00632322	0.0122615	0.0204098	0.0183263	0.0193711	0.0139953	0.0156472	0.0222308	0.0588521	0.217852	0.585078
a21	0.0014556	0.001554	0.00218527	0.00326648	0.0045472	0.0075728	0.0142451	0.0127885	0.0140773	0.0119307	0.0186442	0.033162	0.087548	0.264863	0.52216
a56	0.00137941	0.00150336	0.00189244	0.00279697	0.00327405	0.0049361	0.00707042	0.00651526	0.00693646	0.00720736	0.0140154	0.032318	0.104205	0.309181	0.496769
a96	0.000607699	0.000668063	0.000936293	0.00151889	0.0020201	0.00326473	0.00487325	0.00489836	0.00548231	0.00512338	0.00924185	0.0211682	0.0823905	0.296098	0.561709
a93	0.000523564	0.000524448	0.000773761	0.00124316	0.00184525	0.00340499	0.00630493	0.00623754	0.00739721	0.00549479	0.00774571	0.0151237	0.0589238	0.281809	0.602648
a43	0.000460272	0.000438017	0.000633265	0.00111259	0.00167808	0.00397225	0.00752927	0.00703977	0.00944788	0.00723835	0.0107679	0.0215853	0.0763121	0.292938	0.558847
a11	0.000613656	0.000534469	0.000709747	0.00108384	0.00176169	0.00425491	0.00857131	0.00900653	0.0109346	0.00752204	0.00949765	0.0167528	0.0660773	0.282321	0.580359
a13	0.00578599	0.00433847	0.00392769	0.00495361	0.00657815	0.00981858	0.0152908	0.0234333	0.0242374	0.0200314	0.0267481	0.0467492	0.118126	0.291324	0.398658
a9	0.0114375	0.00805981	0.00718251	0.00892756	0.0118073	0.0160737	0.0240634	0.0370895	0.0365429	0.0283422	0.0348038	0.0567753	0.126441	0.265583	0.326871
a87	0.0591892	0.0336191	0.0212369	0.0251638	0.0288956	0.0328935	0.0408568	0.069794	0.0689595	0.0539922	0.0593399	0.0757213	0.103469	0.146017	0.180852
a23	0.105868	0.0667098	0.0439289	0.0480466	0.0611083	0.0570865	0.0746455	0.0781137	0.0930665	0.0705587	0.0654044	0.0606404	0.0547306	0.0511426	0.0689493
