 	le	camion	qui	est	parti	pour	boundji	est	déjà	loin	</S>
a66	0.319568	0.178554	0.097007	0.082869	0.0667608	0.0680705	0.0636521	0.0424084	0.0348804	0.0255884	0.0206419
a87	0.164571	0.113966	0.116915	0.121182	0.109141	0.0896808	0.0709011	0.0610247	0.0618589	0.048124	0.0426344
a23	0.339929	0.271011	0.143409	0.0871313	0.048331	0.032185	0.019421	0.0158964	0.0167573	0.0137779	0.0121518
a20	0.328868	0.269945	0.144251	0.0806469	0.0419597	0.0257377	0.0171848	0.0191847	0.0259894	0.0224244	0.0238076
a58	0.363461	0.267783	0.139204	0.0759853	0.0404636	0.0269212	0.0218177	0.0171872	0.01693	0.0156447	0.0146023
a90	0.256995	0.301472	0.168201	0.0952253	0.0544577	0.0348906	0.0263733	0.0195785	0.0179761	0.0130644	0.0117654
a94	0.126528	0.176245	0.162212	0.122734	0.0971387	0.0769292	0.063078	0.052192	0.0495847	0.0383826	0.0349751
a24	0.135696	0.160392	0.156516	0.123294	0.0906363	0.0697112	0.0537342	0.0446502	0.0467039	0.0533801	0.0652861
a31	0.103091	0.112175	0.128804	0.112534	0.0954645	0.0806708	0.0667946	0.0582724	0.0642928	0.0796011	0.0983008
a56	0.085059	0.0807927	0.109652	0.117021	0.102117	0.0884323	0.0714214	0.0655864	0.0728576	0.0929224	0.114137
a96	0.0478239	0.0468323	0.0695801	0.0933491	0.0998896	0.103764	0.094495	0.0885549	0.0996589	0.117084	0.138968
a90	0.0380192	0.036715	0.0569963	0.0827039	0.104262	0.124	0.115675	0.0984555	0.103117	0.112847	0.127208
a25	0.0215127	0.0219706	0.0396345	0.0614917	0.0939801	0.118108	0.122413	0.119591	0.126429	0.131553	0.143317
a79	0.0175066	0.0191087	0.0344961	0.0530706	0.0925463	0.127448	0.131114	0.129013	0.129581	0.128792	0.137324
a75	0.0169229	0.0159075	0.0260353	0.0372882	0.064595	0.0980692	0.104906	0.112888	0.132434	0.168211	0.222743
a92	0.00623929	0.00554092	0.00947379	0.017015	0.0388313	0.074385	0.111086	0.144696	0.171169	0.200558	0.221005
a44	0.00283274	0.00257556	0.00470033	0.00900969	0.024298	0.0596261	0.105211	0.158262	0.195306	0.229778	0.208401
a90	0.00315775	0.00281273	0.00425941	0.00707616	0.017489	0.0417676	0.0753777	0.117122	0.166755	0.255409	0.308774
a94	0.00196371	0.00168162	0.00253167	0.00413232	0.0112878	0.0305597	0.0665977	0.1219	0.174634	0.26182	0.322891
a93	0.00148393	0.0013277	0.00181406	0.00263858	0.00652925	0.0131453	0.0272337	0.0699545	0.13106	0.26788	0.476932
a70	0.000972257	0.000859856	0.00114429	0.00164233	0.00438176	0.00920809	0.0208558	0.0612687	0.124905	0.266455	0.508307
a96	0.00085497	0.000828387	0.00104658	0.00144771	0.00360177	0.0067952	0.0141464	0.0436449	0.110475	0.269515	0.547643
a0	0.00120537	0.00135742	0.00184721	0.0026428	0.00676318	0.0128223	0.0242607	0.0557766	0.117999	0.252554	0.522771
a21	0.00314558	0.00364983	0.00492701	0.00676251	0.015109	0.0253506	0.0395207	0.069382	0.130332	0.231331	0.470489
a12	0.000790829	0.00102192	0.00132843	0.00182638	0.00437013	0.00889578	0.016241	0.0432536	0.0963111	0.220268	0.605693
a88	0.000425156	0.000570646	0.000749954	0.0010428	0.00276429	0.00622912	0.0130797	0.0356171	0.0819659	0.213572	0.643983
a71	0.000361786	0.000446518	0.000624222	0.000854809	0.00228711	0.0051951	0.0120511	0.0321421	0.0791218	0.223949	0.642967
a9	0.0079322	0.00702326	0.00927457	0.0125103	0.0256391	0.035123	0.0458885	0.0698953	0.114664	0.211949	0.460101
a87	0.0725179	0.0555009	0.0559451	0.0685799	0.0884933	0.0777624	0.0643907	0.0732803	0.0950518	0.135496	0.212981
a23	0.159342	0.1263	0.0985255	0.108177	0.103687	0.0751242	0.0514544	0.0495239	0.0618731	0.0725604	0.093433
a87	0.0753254	0.0525629	0.0527858	0.0517654	0.0685976	0.0601387	0.0440236	0.062672	0.0957767	0.154931	0.281421
a23	0.00722817	0.00609062	0.00918758	0.0112047	0.0218139	0.0307115	0.0371221	0.0733938	0.132312	0.226351	0.444584
a87	0.0183191	0.0150801	0.0204781	0.0241015	0.0421856	0.0504562	0.0531163	0.0940331	0.144744	0.20453	0.332956
</S>	0.00633098	0.00617641	0.0103515	0.0135006	0.0324541	0.0524625	0.0605656	0.102113	0.140838	0.211889	0.363318
