 	cette	belle	fille	s'	est	maquillée	</S>
a85	0.300805	0.173569	0.14069	0.139742	0.148425	0.0638615	0.0329076
a57	0.355765	0.177131	0.116991	0.0957858	0.123596	0.0799477	0.0507838
a3	0.160056	0.13811	0.13324	0.123958	0.133812	0.134276	0.176549
a99	0.311986	0.222633	0.14627	0.101224	0.0892641	0.0645115	0.064112
a97	0.380014	0.23151	0.140104	0.0898788	0.0646803	0.0476955	0.0461176
a87	0.458798	0.23222	0.105806	0.066541	0.0497744	0.0409153	0.0459452
a97	0.401116	0.208365	0.124309	0.0869175	0.0691136	0.0549764	0.0552031
a79	0.408284	0.24307	0.103889	0.0668882	0.0547968	0.0574447	0.065627
a12	0.331378	0.214774	0.121496	0.073554	0.0658921	0.0800583	0.112847
a43	0.341483	0.318014	0.142618	0.0801893	0.0573491	0.0320291	0.0283171
a21	0.222191	0.274912	0.170514	0.121008	0.0999873	0.0580907	0.0532959
a47	0.184878	0.257036	0.204289	0.155796	0.116917	0.0444182	0.0366658
a34	0.151857	0.225164	0.27078	0.176276	0.11308	0.035786	0.0270573
a56	0.121695	0.19959	0.248072	0.197441	0.146704	0.048951	0.037547
a62	0.102959	0.161072	0.242873	0.207269	0.1665	0.0649444	0.0543839
a47	0.0765625	0.112445	0.213642	0.225029	0.218519	0.0910469	0.0627556
a62	0.076522	0.10194	0.20485	0.219111	0.229226	0.0998022	0.0685478
a31	0.0316304	0.047378	0.158496	0.225592	0.27646	0.164399	0.0960445
a47	0.0254802	0.0343328	0.148009	0.226772	0.280055	0.176407	0.108943
a88	0.0427339	0.0444385	0.147255	0.214094	0.256491	0.163379	0.131608
a31	0.012958	0.0164362	0.0921994	0.169222	0.237243	0.227226	0.244715
a21	0.0116406	0.018012	0.0832577	0.148539	0.216881	0.276621	0.245049
a92	0.00610802	0.00893075	0.0424367	0.106082	0.181733	0.327833	0.326877
a56	0.00315987	0.00519328	0.0319505	0.088909	0.162867	0.302662	0.405259
a93	0.00230047	0.00383268	0.0249111	0.0651555	0.120032	0.286559	0.497209
a96	0.00170601	0.00231775	0.0142809	0.0413846	0.0846078	0.232581	0.623122
a56	0.00145962	0.00205706	0.0109605	0.0298231	0.0639241	0.226219	0.665557
a11	0.000763905	0.00109997	0.0063202	0.0177234	0.0439418	0.222903	0.707248
a53	0.00221246	0.00248681	0.0105954	0.027771	0.0719856	0.293097	0.591852
a69	0.00275191	0.00305299	0.00945965	0.0215076	0.0525057	0.250856	0.659866
a7	0.000556876	0.000738865	0.00374235	0.0112612	0.0344162	0.212222	0.737063
a84	0.00584675	0.00545832	0.0101438	0.0211121	0.0555576	0.259352	0.642529
a57	0.0579972	0.0395408	0.0532195	0.0740796	0.119692	0.252686	0.402785
a10	0.0882646	0.0393728	0.0355898	0.0595805	0.121309	0.274439	0.381444
a57	0.085296	0.0448607	0.0417889	0.0698677	0.140193	0.270918	0.347076
a3	0.0651781	0.0343081	0.0386887	0.0770839	0.16357	0.275598	0.345573
a99	0.0661403	0.0411254	0.0691049	0.0979575	0.169828	0.247905	0.307939
a97	0.0344058	0.0236235	0.049902	0.0712815	0.116975	0.244542	0.45927
a87	0.031143	0.0262397	0.0551079	0.0765459	0.123278	0.238478	0.449207
</S>	0.0552288	0.0459204	0.0634901	0.0801456	0.121327	0.216676	0.417212
