 	c'	est	toi	qui	guette	ma	femme	</S>
a66	0.229242	0.153089	0.121391	0.116757	0.180349	0.099626	0.0617663	0.0377798
a97	0.124476	0.107679	0.108404	0.116717	0.141449	0.132386	0.131233	0.137657
a99	0.230108	0.175217	0.116712	0.114759	0.139507	0.0759998	0.0735874	0.0741102
a3	0.288572	0.190416	0.103318	0.101327	0.14546	0.0707467	0.0525246	0.0476353
a97	0.268532	0.194362	0.106602	0.114764	0.170845	0.0656462	0.0438368	0.0354126
a30	0.227635	0.172261	0.103626	0.111551	0.187389	0.0910214	0.0597002	0.0468162
a93	0.264622	0.195116	0.108368	0.106059	0.156897	0.0779343	0.0499313	0.041072
a56	0.342141	0.211383	0.149226	0.0693311	0.0419313	0.0374762	0.0584369	0.0900756
a75	0.287593	0.195403	0.184059	0.0676482	0.0430756	0.0405707	0.0646243	0.117026
a21	0.20276	0.145357	0.168602	0.0939364	0.0872305	0.0868066	0.0972508	0.118057
a12	0.144166	0.133813	0.208637	0.132349	0.122565	0.0829369	0.0799563	0.0955771
a47	0.0905281	0.0982563	0.170367	0.145398	0.153711	0.116158	0.104176	0.121406
a35	0.082282	0.0844122	0.156989	0.178748	0.185343	0.112254	0.095262	0.10471
a98	0.0636998	0.0713588	0.125032	0.180887	0.199302	0.125836	0.109531	0.124354
a6	0.0738693	0.0906154	0.13781	0.180794	0.151005	0.11562	0.110395	0.139891
a0	0.0420275	0.0543897	0.0818902	0.155655	0.186955	0.156762	0.148445	0.173875
a75	0.0104578	0.0116644	0.0159639	0.0457026	0.114712	0.207784	0.291407	0.302307
a5	0.0158424	0.016858	0.0191479	0.051574	0.109503	0.223217	0.287515	0.276342
a75	0.00767369	0.0081129	0.00947207	0.0234943	0.0620541	0.214	0.334089	0.341104
a92	0.0102646	0.0105103	0.0104669	0.0247518	0.0461326	0.173605	0.339037	0.385232
a37	0.00591021	0.00574315	0.00553439	0.0134153	0.0247322	0.142778	0.340743	0.461143
a70	0.00215767	0.00225041	0.00211808	0.00601797	0.0118636	0.105501	0.33133	0.538761
a83	0.00151547	0.00158118	0.00142522	0.00419195	0.00813483	0.0890562	0.347031	0.547064
a66	0.00133748	0.00157306	0.00149553	0.00429928	0.0113778	0.132613	0.40521	0.442093
a9	0.00852787	0.00810019	0.00646041	0.0106838	0.0328606	0.169095	0.376745	0.387527
a3	0.0237622	0.0202767	0.0161964	0.0191515	0.0441608	0.169441	0.357393	0.349619
a99	0.0602396	0.0468515	0.0380704	0.0372503	0.0584622	0.146873	0.294284	0.317969
a3	0.0283943	0.0227615	0.0170446	0.0215118	0.0344564	0.130393	0.339889	0.405549
a99	0.0139102	0.0135732	0.0125812	0.0216136	0.0459582	0.159329	0.341762	0.391272
a9	0.0221599	0.019903	0.0175663	0.0224125	0.0355573	0.112853	0.261818	0.50773
a97	0.0357001	0.0325079	0.0232648	0.0329554	0.0622236	0.129844	0.24648	0.437024
</S>	0.0362998	0.0325973	0.0245384	0.0339216	0.0628347	0.126013	0.244193	0.439603
