 	j'	ai	déjà	attrapé	un	barbu	à	diadème	dans	le	gluau	</S>
a66	0.20616	0.124774	0.0693321	0.0598431	0.0791296	0.0926476	0.0995753	0.113892	0.0689583	0.0361213	0.0256156	0.0239511
a87	0.274987	0.143386	0.0703535	0.0558846	0.0492764	0.0444911	0.0616021	0.0879225	0.0724707	0.063467	0.0446113	0.0315477
a10	0.270789	0.164253	0.0797671	0.0543623	0.0564813	0.0608603	0.0734456	0.0823908	0.0543029	0.050021	0.0295864	0.02374
a87	0.219066	0.230418	0.142219	0.0853138	0.0688543	0.0613287	0.0586194	0.055263	0.0290282	0.0232223	0.0136986	0.0129692
a83	0.197968	0.192388	0.138819	0.0912856	0.0747898	0.0663923	0.0679225	0.0655258	0.0402697	0.0313289	0.0170293	0.0162824
a75	0.202853	0.112685	0.0694397	0.0499042	0.0424814	0.0402807	0.0716019	0.144243	0.136766	0.073925	0.0303851	0.0254344
a85	0.257541	0.190206	0.155717	0.120443	0.0589893	0.0252376	0.0284263	0.0425631	0.0482359	0.0328886	0.0190407	0.0207115
a6	0.143294	0.1541	0.193475	0.182219	0.0791243	0.0412932	0.0461383	0.0514999	0.0412113	0.0300161	0.0181539	0.0194752
a37	0.110174	0.137252	0.21113	0.210239	0.0990903	0.0599751	0.0516257	0.0433128	0.027562	0.0213719	0.0134316	0.0148356
a90	0.0991083	0.131674	0.211783	0.215694	0.121845	0.0815135	0.0518053	0.0327988	0.0179339	0.0143378	0.0106928	0.0108135
a94	0.0837969	0.107457	0.184618	0.212775	0.137245	0.0971582	0.0651647	0.041068	0.0205691	0.0162565	0.0139113	0.0199806
a58	0.0553742	0.0656218	0.126295	0.186139	0.165828	0.146785	0.0973071	0.0566029	0.0263584	0.0216117	0.020319	0.031758
a61	0.0233413	0.0264543	0.0402567	0.0781886	0.155798	0.194536	0.166934	0.122284	0.0491105	0.0395329	0.0390446	0.0645196
a21	0.0361329	0.0354022	0.0653359	0.12168	0.15896	0.170706	0.12607	0.0903802	0.0518792	0.0440958	0.0379336	0.0614243
a85	0.0234474	0.0224536	0.0414766	0.08157	0.140501	0.197649	0.146502	0.102582	0.0758589	0.0630258	0.043933	0.0610004
a6	0.0105249	0.00897448	0.0152346	0.0385139	0.10121	0.184622	0.121332	0.0672375	0.0632145	0.0848728	0.103161	0.201103
a56	0.00725069	0.00669451	0.0116467	0.0257699	0.0779655	0.193525	0.158323	0.08987	0.0772301	0.0836215	0.0790876	0.189016
a94	0.00829247	0.00694005	0.0123023	0.027247	0.0784155	0.185413	0.157526	0.107743	0.0953689	0.0966152	0.0778423	0.146295
a90	0.00431009	0.00374914	0.00628454	0.0136004	0.0421913	0.120322	0.128967	0.106546	0.121614	0.14035	0.113987	0.198077
a4	0.00286725	0.00251357	0.00405252	0.00725501	0.0199373	0.071756	0.0954397	0.0869831	0.127272	0.165206	0.149941	0.266777
a90	0.00219877	0.00187306	0.00271056	0.00523086	0.0159925	0.0559405	0.0796256	0.0762126	0.111505	0.160545	0.1579	0.330266
a56	0.00169401	0.00141802	0.00217879	0.00416685	0.0125919	0.0485448	0.0714188	0.062684	0.094232	0.152937	0.176751	0.371383
a34	0.0018355	0.00135738	0.00180119	0.00322224	0.0110735	0.0403939	0.0559075	0.0574285	0.100962	0.16638	0.199264	0.360375
a21	0.000897642	0.000642293	0.000802804	0.00148564	0.00501867	0.0170562	0.0230392	0.0257722	0.0614194	0.148864	0.237062	0.47794
a12	0.000854782	0.00060227	0.000623033	0.00106455	0.00359712	0.0113954	0.0146609	0.0167163	0.0363574	0.117631	0.291146	0.505351
a18	0.000562963	0.000413969	0.000477829	0.000876269	0.00217612	0.00536641	0.00703338	0.00885086	0.0260899	0.109678	0.289597	0.548877
a21	0.000822408	0.000680826	0.000644548	0.0010019	0.00235812	0.00502535	0.00867422	0.0126997	0.032064	0.0901688	0.198455	0.647405
a5	0.000874633	0.000616668	0.000575315	0.00101198	0.00317069	0.00783438	0.0104014	0.0125952	0.0322446	0.109639	0.290749	0.530287
a18	0.000295205	0.00021297	0.000234275	0.000444039	0.00116355	0.00251558	0.00357524	0.00507825	0.0133738	0.0533057	0.194863	0.724938
a25	0.00222071	0.00143816	0.00122227	0.00156098	0.00248921	0.00478138	0.00847203	0.00982526	0.0267336	0.0716485	0.214796	0.654812
a82	0.0282651	0.0134015	0.00945747	0.0111624	0.0113686	0.0131921	0.024071	0.0311417	0.0632639	0.104186	0.205748	0.484742
a87	0.077827	0.0285899	0.0133827	0.0118681	0.0119901	0.0149677	0.0302133	0.0429916	0.0662019	0.115001	0.221638	0.365329
a23	0.0912699	0.0402024	0.0174133	0.0141897	0.0168264	0.0328687	0.076359	0.102545	0.106256	0.127247	0.165085	0.209738
a87	0.048631	0.0225788	0.00964617	0.00712513	0.00731968	0.0107883	0.0267595	0.0411671	0.082665	0.140294	0.181328	0.421697
a23	0.0114679	0.00538849	0.00293464	0.00236153	0.00327905	0.00733509	0.01587	0.0224923	0.0391025	0.0755632	0.156602	0.657603
a97	0.0294682	0.0169931	0.0102908	0.00857892	0.0111554	0.018358	0.0299182	0.032695	0.0562697	0.0978272	0.167991	0.520455
</S>	0.0220152	0.0125139	0.00946242	0.0101751	0.0140103	0.0206826	0.0306651	0.037564	0.0530981	0.085379	0.143375	0.56106
