 	il	me	parle	de	manière	détendue	</S>
a66	0.268303	0.297692	0.232963	0.119938	0.0519889	0.0190898	0.0100247
a87	0.427479	0.308007	0.139806	0.0669078	0.0288943	0.0150906	0.013816
a97	0.269844	0.259818	0.220563	0.121776	0.078382	0.0192822	0.030336
a79	0.265993	0.256089	0.185999	0.105399	0.0973939	0.0406034	0.0485222
a20	0.376284	0.28625	0.154179	0.0772993	0.0518483	0.0194818	0.0346583
a98	0.359536	0.310207	0.160628	0.0807522	0.0446365	0.0213466	0.0228932
a47	0.307529	0.272551	0.184256	0.106318	0.0686754	0.03682	0.0238511
a6	0.24188	0.264023	0.214104	0.138716	0.0827764	0.0376644	0.0208368
a0	0.229325	0.237668	0.205779	0.148342	0.109828	0.0440403	0.0250189
a21	0.224979	0.209514	0.196742	0.151222	0.122587	0.0520579	0.0428988
a85	0.199542	0.193092	0.190126	0.160152	0.142837	0.0644282	0.049822
a6	0.0777403	0.0968088	0.132903	0.181702	0.202764	0.154303	0.153779
a98	0.100899	0.132372	0.165952	0.177152	0.177852	0.113499	0.132274
a79	0.0592762	0.0855438	0.127155	0.173974	0.179846	0.167347	0.206858
a15	0.046781	0.0736712	0.118279	0.178499	0.216713	0.172688	0.193369
a7	0.0213998	0.035675	0.0659896	0.104291	0.144966	0.210732	0.416947
a98	0.00754507	0.00950731	0.0208525	0.0489457	0.121942	0.214688	0.57652
a47	0.0138678	0.0156902	0.0275884	0.0543997	0.0959146	0.192819	0.59972
a36	0.00393451	0.00442084	0.00987982	0.0264697	0.0678244	0.21585	0.67162
a2	0.00747364	0.00592132	0.00962046	0.0248224	0.0781387	0.191982	0.682042
a57	0.00888006	0.00803989	0.0126415	0.0246908	0.0701938	0.241399	0.634155
a82	0.0396465	0.0308255	0.0362	0.046966	0.114175	0.228074	0.504113
a97	0.0794852	0.0644331	0.066589	0.0766637	0.168676	0.209791	0.334362
a87	0.0627592	0.0575791	0.0752917	0.114842	0.233023	0.201886	0.25462
a97	0.0546378	0.0547992	0.0791738	0.123113	0.239211	0.205534	0.243531
a87	0.0596495	0.0687567	0.102156	0.121063	0.197032	0.163791	0.287551
a97	0.0526412	0.0617076	0.095814	0.111456	0.190641	0.159752	0.327988
a99	0.0793967	0.103924	0.134348	0.121756	0.163377	0.122772	0.274427
a97	0.0562853	0.071156	0.110094	0.131117	0.172943	0.127027	0.331377
a87	0.123529	0.151535	0.152968	0.129016	0.139283	0.103529	0.20014
a97	0.0869257	0.113129	0.135277	0.123698	0.159235	0.119223	0.262513
</S>	0.110886	0.149112	0.170787	0.143251	0.147034	0.0980856	0.180844
