 	l'	union	fait	la	force	</S>
a66	0.388745	0.1897	0.101791	0.12853	0.122796	0.0684367
a87	0.540289	0.26263	0.111274	0.0576687	0.0205747	0.00756327
a23	0.495346	0.333159	0.08713	0.0437056	0.0245653	0.0160939
a50	0.493924	0.36286	0.0793328	0.0306317	0.0182199	0.0150311
a88	0.490713	0.367177	0.068682	0.0319939	0.0236703	0.0177642
a38	0.519781	0.377771	0.0727005	0.0184208	0.00697366	0.00435277
a56	0.352592	0.463297	0.12884	0.0334439	0.0133323	0.00849505
a75	0.298741	0.492078	0.140008	0.035259	0.0179745	0.015939
a21	0.18828	0.487347	0.201217	0.0683956	0.0334792	0.0212801
a12	0.10243	0.221036	0.240114	0.201684	0.141146	0.0935896
a61	0.0503458	0.0725297	0.168304	0.270413	0.253448	0.18496
a21	0.0293054	0.031236	0.0965556	0.265817	0.332377	0.244709
a5	0.0130601	0.0128677	0.0378602	0.168106	0.398703	0.369402
a98	0.0044525	0.00485627	0.0176144	0.102962	0.388372	0.481743
a79	0.00183198	0.00258222	0.0123418	0.0744666	0.330588	0.578189
a7	0.000922623	0.00119598	0.00606991	0.0491198	0.283795	0.658897
a84	0.00131768	0.00217455	0.00746204	0.048892	0.268528	0.671626
a57	0.074524	0.0570666	0.05245	0.0930843	0.23912	0.483755
a87	0.440704	0.245416	0.064797	0.0563455	0.0830198	0.109719
a23	0.413033	0.365663	0.106521	0.0507456	0.0364418	0.0275951
a99	0.0676362	0.056105	0.031256	0.0674015	0.272315	0.505286
a38	0.0347046	0.0323264	0.0276463	0.0756289	0.260821	0.568873
</S>	0.0700669	0.0712296	0.0591129	0.100961	0.239968	0.458662
