 	il	a	le	visage	boursouflé	par	les	coups	</S>
a23	0.24606	0.187506	0.145621	0.120944	0.146309	0.0678525	0.03459	0.0267848	0.0243314
a99	0.2352	0.169202	0.184667	0.160321	0.0950237	0.0352349	0.0275435	0.0362724	0.0565349
a30	0.180106	0.203281	0.218422	0.141608	0.0778297	0.0477264	0.0309795	0.0395279	0.06052
a34	0.255387	0.256689	0.195665	0.0925655	0.0662592	0.0287494	0.0225535	0.0301083	0.0520221
a61	0.340976	0.262853	0.159091	0.106375	0.0780037	0.0295463	0.0113898	0.00678005	0.00498494
a21	0.36398	0.273455	0.162859	0.108983	0.0652915	0.0108317	0.00589942	0.00451712	0.00418356
a61	0.348167	0.299507	0.177405	0.106546	0.0546526	0.00645246	0.00333787	0.00201852	0.00191364
a21	0.191945	0.229484	0.238354	0.202573	0.107665	0.0131273	0.00736804	0.00488993	0.00459371
a61	0.22265	0.236307	0.243703	0.190334	0.0830849	0.0116456	0.00575719	0.00329748	0.00322139
a75	0.101061	0.125142	0.219147	0.318149	0.17726	0.0307941	0.0134816	0.00765768	0.00730666
a61	0.0785452	0.0975266	0.187723	0.317139	0.186602	0.060282	0.0309002	0.0205975	0.0206838
a35	0.100562	0.11712	0.194537	0.305365	0.198761	0.0417429	0.0195608	0.0115366	0.0108146
a0	0.0882493	0.102931	0.156023	0.258796	0.21333	0.0825874	0.0446422	0.0279368	0.0255044
a56	0.100317	0.104095	0.152673	0.204244	0.222812	0.0974256	0.0551155	0.0334376	0.0298796
a43	0.115109	0.119191	0.140998	0.167009	0.189618	0.115678	0.0716003	0.0463182	0.034477
a75	0.094469	0.0931935	0.127429	0.130033	0.174759	0.158156	0.103827	0.0616833	0.05645
a92	0.0863378	0.0858052	0.0930147	0.104406	0.132284	0.138569	0.130113	0.116563	0.112909
a0	0.0707503	0.0665398	0.0729929	0.0832286	0.115125	0.141296	0.155235	0.146329	0.148503
a43	0.0906786	0.0769046	0.0918746	0.0737573	0.103973	0.151227	0.158235	0.117225	0.136125
a61	0.099921	0.0877779	0.108189	0.0774253	0.0984383	0.158429	0.162156	0.100195	0.107469
a0	0.0747313	0.0681735	0.0754531	0.0759916	0.0908335	0.185822	0.201642	0.132104	0.0952486
a75	0.0516945	0.0497544	0.0654092	0.0608118	0.0879285	0.17816	0.216609	0.155489	0.134144
a92	0.0478752	0.0386803	0.0415917	0.0400695	0.0685028	0.140367	0.174742	0.184692	0.263479
a61	0.0511915	0.0447099	0.0491285	0.0462753	0.0739731	0.131588	0.175844	0.175231	0.252059
a21	0.0242681	0.022997	0.0321386	0.0334604	0.0547766	0.137498	0.206012	0.215859	0.27299
a12	0.0413793	0.0392076	0.0437012	0.0382448	0.0449798	0.11239	0.210488	0.215846	0.253764
a47	0.0133545	0.0136138	0.0199883	0.0233536	0.0361011	0.100288	0.192925	0.248569	0.351807
a31	0.0120811	0.0113949	0.0154874	0.0154235	0.028442	0.0938789	0.180394	0.24199	0.400908
a88	0.0104052	0.0110833	0.0156575	0.016467	0.0240697	0.0744567	0.173219	0.249113	0.425529
a9	0.00447067	0.00417527	0.00602324	0.00916514	0.0161343	0.050949	0.110816	0.21724	0.581026
a11	0.00238542	0.00215049	0.00261885	0.00246416	0.00353031	0.0124426	0.0442742	0.166531	0.763603
a90	0.000746068	0.000695535	0.001023	0.00126749	0.00216092	0.010084	0.0303113	0.131631	0.822081
a4	0.000997447	0.00106741	0.00171619	0.00246409	0.00481705	0.0175471	0.0419503	0.141426	0.788014
a57	0.000552451	0.000583306	0.00100282	0.00135297	0.00289125	0.0126291	0.0321173	0.130372	0.818498
a82	0.000380969	0.000387332	0.000630879	0.000715591	0.000948779	0.00476824	0.0163388	0.117673	0.858157
a87	0.0167492	0.0127642	0.0149047	0.00722989	0.004701	0.0229439	0.0489708	0.194925	0.676811
a23	0.0967874	0.0667642	0.0809992	0.028875	0.0132402	0.0575409	0.0972072	0.186962	0.371623
a87	0.0519492	0.0312214	0.0417758	0.0306361	0.0225788	0.122219	0.139885	0.221138	0.338597
</S>	0.0350154	0.0218044	0.0334418	0.0284311	0.0276602	0.128387	0.119879	0.193524	0.411857
