 	l'	enfant	a	fait	caca	dans	sa	culotte	</S>
a66	0.358011	0.292062	0.15342	0.0712783	0.032304	0.0229136	0.0269846	0.0264091	0.0166172
a87	0.493746	0.280555	0.104213	0.0387687	0.0162787	0.0156446	0.0200573	0.0156499	0.0150871
a23	0.420686	0.267965	0.124092	0.0438494	0.0261008	0.0248202	0.0294574	0.0302897	0.0327392
a44	0.271535	0.157414	0.0712759	0.0335535	0.0394976	0.0587256	0.0808742	0.160937	0.126187
a7	0.253066	0.146982	0.0973606	0.0789492	0.0817296	0.0798107	0.0767811	0.109885	0.0754354
a35	0.119585	0.150489	0.166919	0.138862	0.120782	0.100225	0.0771948	0.0761121	0.049832
a36	0.076519	0.146399	0.225929	0.203041	0.157405	0.0959119	0.0432051	0.0332342	0.0183562
a37	0.0556607	0.0964289	0.176419	0.221977	0.177674	0.114788	0.0679362	0.0560738	0.0330426
a35	0.0442832	0.0778139	0.161962	0.216649	0.199699	0.120422	0.0766297	0.057984	0.0445575
a0	0.0284855	0.0659681	0.156893	0.210636	0.197249	0.140422	0.0970822	0.061613	0.0416512
a24	0.0222689	0.0326716	0.0621862	0.113625	0.148884	0.175387	0.176745	0.135649	0.132583
a70	0.0214671	0.0309724	0.0491134	0.0856739	0.133662	0.163137	0.19035	0.153959	0.171665
a54	0.00745554	0.0101377	0.018055	0.0532696	0.106173	0.164742	0.265122	0.208171	0.166875
a37	0.00962896	0.0154969	0.0303119	0.0734671	0.122657	0.151849	0.245857	0.174273	0.176459
a43	0.0129858	0.0153747	0.0233962	0.0531952	0.0995942	0.128692	0.189831	0.207226	0.269705
a11	0.00437346	0.00515934	0.00694237	0.018112	0.051091	0.0983253	0.174868	0.236238	0.40489
a24	0.00422826	0.0035754	0.00328795	0.00681877	0.0268817	0.0922969	0.200144	0.245582	0.417185
a9	0.0015884	0.00150171	0.00146123	0.00307228	0.0129885	0.0568808	0.143657	0.253329	0.525521
a27	0.0088547	0.00678453	0.00533935	0.00793399	0.0202376	0.0721639	0.191653	0.259125	0.427908
a54	0.104701	0.0671393	0.0492629	0.0448808	0.0613432	0.0928821	0.127789	0.202262	0.249739
a36	0.00691062	0.00482257	0.00403363	0.0065624	0.0175109	0.0511335	0.133138	0.299829	0.476059
a37	0.00276476	0.0021388	0.00241277	0.00452608	0.0110481	0.0284912	0.0881841	0.262245	0.598189
a66	0.0011067	0.00105685	0.00131964	0.00283707	0.00832398	0.0254817	0.0877029	0.263636	0.608535
a27	0.00354552	0.00343013	0.00461326	0.00930385	0.0234523	0.0471776	0.103463	0.291266	0.513748
a30	0.0290665	0.0199336	0.0174815	0.0225455	0.0353856	0.0584388	0.108807	0.255143	0.453199
a57	0.286606	0.138007	0.067471	0.051176	0.0503481	0.0619632	0.0908869	0.113047	0.140495
a87	0.317551	0.205281	0.103197	0.0600343	0.0489601	0.0496878	0.0683183	0.0652336	0.081737
a23	0.350603	0.255599	0.140294	0.070305	0.0487715	0.0350344	0.0371459	0.0281874	0.0340604
a87	0.299814	0.247923	0.138724	0.0819448	0.0733399	0.0474654	0.0452564	0.0344145	0.0311178
</S>	0.132243	0.145384	0.121589	0.0936053	0.0925718	0.0694423	0.0993157	0.112697	0.133152
