 	ils	se	sont	brouillés	</S>
a23	0.330971	0.154577	0.129382	0.188339	0.196732
a57	0.344648	0.161333	0.117781	0.165212	0.211026
a87	0.358974	0.182413	0.125676	0.153471	0.179465
a23	0.392854	0.20207	0.126521	0.13744	0.141116
a54	0.319642	0.172918	0.123257	0.186328	0.197856
a30	0.535713	0.216492	0.115273	0.0782517	0.0542708
a14	0.602882	0.262218	0.0797051	0.0338368	0.0213575
a35	0.521308	0.305918	0.10633	0.0415919	0.024853
a26	0.491335	0.295034	0.122534	0.0557556	0.0353415
a38	0.362109	0.280809	0.173218	0.10943	0.0744335
a75	0.218373	0.216854	0.201474	0.201231	0.162068
a41	0.14048	0.161418	0.211727	0.261161	0.225214
a37	0.0564052	0.100794	0.214487	0.319815	0.308498
a61	0.0218121	0.0384658	0.113974	0.328687	0.497062
a62	0.01114	0.0229816	0.0901626	0.311438	0.564278
a26	0.0145416	0.0243462	0.0719686	0.272946	0.616198
a75	0.0116446	0.0188749	0.0551034	0.26249	0.651887
a14	0.00823791	0.0217121	0.0889994	0.30858	0.57247
a26	0.00925903	0.0224613	0.0887969	0.318148	0.561335
a62	0.00817408	0.016192	0.0510173	0.260307	0.66431
a41	0.00694035	0.0144651	0.0574704	0.272083	0.649041
a30	0.00926195	0.0189375	0.0695619	0.273706	0.628533
a26	0.0159915	0.0247269	0.0702533	0.284127	0.604901
a57	0.029752	0.0412511	0.0936408	0.279373	0.555983
a87	0.0665602	0.0831311	0.126918	0.280234	0.443157
a23	0.0252129	0.0425818	0.105102	0.309016	0.518087
a87	0.0330892	0.059073	0.142163	0.310141	0.455533
</S>	0.0151698	0.0308308	0.112716	0.348654	0.49263
