 	l'	enfant	est	en	train	de	toucher	le	poisson	partout	avec	ses	doigts	</S>
a66	0.25407	0.212954	0.129569	0.114787	0.0933379	0.0680694	0.0315764	0.0194306	0.0161889	0.0163737	0.0124549	0.0112914	0.00908624	0.0108107
a87	0.349881	0.218128	0.109062	0.0843296	0.0565532	0.0343536	0.019907	0.0153823	0.0136024	0.0147933	0.0150824	0.0201978	0.0226153	0.026112
a23	0.384728	0.168823	0.0974129	0.086564	0.0729261	0.0457112	0.0261382	0.0191564	0.0148352	0.0138315	0.0143703	0.0161893	0.0185655	0.0207483
a38	0.244947	0.0932152	0.0528579	0.0413827	0.0359333	0.0348096	0.0567837	0.0664604	0.0607463	0.0590991	0.0547565	0.0564447	0.0678769	0.074686
a20	0.151772	0.0697368	0.0527001	0.0489654	0.0513879	0.0461877	0.0492803	0.0509979	0.0551775	0.0714997	0.0759114	0.0900701	0.0899839	0.0963291
a47	0.215215	0.159655	0.120501	0.11117	0.103625	0.0679702	0.0441259	0.0331333	0.0278684	0.0290952	0.0257805	0.0227157	0.020254	0.0188904
a6	0.115034	0.127991	0.123668	0.110803	0.104175	0.0728304	0.0614161	0.0430106	0.0343427	0.0318613	0.0385976	0.0428409	0.0467913	0.0466379
a79	0.118344	0.115413	0.118378	0.113062	0.112554	0.0834882	0.0755339	0.0498127	0.0362208	0.0267477	0.0295032	0.0339473	0.0427059	0.0442886
a92	0.0723	0.0968674	0.130036	0.14023	0.145986	0.114251	0.0881937	0.0525534	0.0338269	0.0211226	0.0207815	0.0228838	0.0281752	0.032792
a85	0.0700797	0.0831321	0.106182	0.119895	0.128227	0.121781	0.110235	0.0805174	0.0503447	0.0310894	0.0237728	0.0223493	0.0250502	0.027345
a47	0.0404591	0.0689567	0.108954	0.130588	0.141087	0.120475	0.104399	0.0710236	0.0536097	0.0363575	0.0284071	0.0264871	0.0307647	0.0384311
a37	0.044347	0.0718829	0.100472	0.122423	0.130462	0.110822	0.105449	0.0758569	0.0564917	0.038757	0.0296051	0.0295255	0.0361957	0.0477089
a79	0.0232736	0.027267	0.0440456	0.0580826	0.0660719	0.0916256	0.108288	0.100345	0.0829513	0.0633584	0.067045	0.0727852	0.0900308	0.10483
a37	0.0431243	0.0527753	0.066208	0.0832749	0.100885	0.118368	0.119733	0.102262	0.0781192	0.050297	0.0402237	0.0372073	0.0467364	0.060786
a25	0.0117642	0.0141122	0.0186166	0.0238221	0.0300488	0.0506939	0.0919819	0.118924	0.122125	0.0977795	0.0898129	0.0882802	0.108259	0.133781
a92	0.00313084	0.00427871	0.00612762	0.0107187	0.0230726	0.0492947	0.120539	0.156129	0.177557	0.117328	0.0874973	0.066481	0.078454	0.0993917
a56	0.00370828	0.00474851	0.00599882	0.00931481	0.0182421	0.0360392	0.0818277	0.122471	0.158331	0.139424	0.113574	0.0893867	0.0977844	0.119149
a32	0.00251124	0.00328653	0.00405347	0.00648978	0.012789	0.0245524	0.0567561	0.11204	0.169846	0.169315	0.143288	0.100894	0.0926633	0.101515
a11	0.00217808	0.00263441	0.00331827	0.00560648	0.0116691	0.0223347	0.0631969	0.103068	0.149281	0.138541	0.137075	0.111548	0.117036	0.132513
a88	0.0043953	0.00380934	0.0040911	0.00571285	0.0094272	0.0140556	0.0382383	0.0683257	0.0942103	0.0956336	0.092558	0.119209	0.190046	0.260288
a71	0.00818411	0.00706676	0.00702238	0.00927765	0.0135939	0.0169666	0.0369817	0.0616074	0.0874569	0.100172	0.0893824	0.114463	0.179343	0.268482
a9	0.0349503	0.0355308	0.037791	0.045361	0.0521394	0.0578916	0.084209	0.0794153	0.0861783	0.0794019	0.0689948	0.0811264	0.108027	0.148983
a87	0.063875	0.0476562	0.0446863	0.0550988	0.0673878	0.0744804	0.0918429	0.0797408	0.0826003	0.075034	0.0651522	0.0702338	0.0815107	0.100701
a23	0.174926	0.133217	0.0837232	0.0929108	0.109675	0.0865515	0.0630778	0.0385315	0.033694	0.0289644	0.0316454	0.0359809	0.0396065	0.0474958
a87	0.0860986	0.0614303	0.0399069	0.0456142	0.061615	0.061013	0.0617578	0.057691	0.0695934	0.0701089	0.0977469	0.102586	0.091866	0.0929723
</S>	0.0279652	0.0200934	0.0177525	0.0252649	0.0483781	0.0614884	0.0706034	0.0770223	0.0917522	0.0762788	0.116258	0.125806	0.124035	0.117302
