 	le	calme	de	cette	fille	inquiète	les	gens	</S>
a66	0.331635	0.297671	0.115664	0.0852226	0.0659596	0.0538098	0.0288312	0.0128385	0.0083684
a87	0.527335	0.256801	0.052906	0.034376	0.0421117	0.031954	0.022488	0.0166595	0.0153691
a97	0.295316	0.171138	0.0960861	0.0972423	0.118425	0.0837711	0.0487491	0.0388567	0.0504153
a10	0.231185	0.183591	0.101912	0.14175	0.162429	0.0890104	0.0354806	0.0261101	0.028532
a97	0.305376	0.234217	0.0927761	0.115409	0.107171	0.0583341	0.0305394	0.0265562	0.0296209
a87	0.330677	0.238142	0.0895185	0.0993289	0.104887	0.061279	0.0290759	0.0230064	0.0240858
a97	0.417624	0.271591	0.0821608	0.0682365	0.0574726	0.0371248	0.0229615	0.0200498	0.0227795
a87	0.426514	0.265284	0.0839198	0.0592814	0.0527256	0.038156	0.0260825	0.0228271	0.0252097
a23	0.392718	0.250592	0.0791905	0.0642218	0.0698344	0.052197	0.0340509	0.0284835	0.0287128
a50	0.438876	0.218895	0.0880232	0.0697819	0.0544379	0.0388716	0.0294018	0.0279538	0.0337586
a18	0.304184	0.224325	0.181062	0.13537	0.0600278	0.0317594	0.0228642	0.0181315	0.0222755
a12	0.292861	0.204397	0.180757	0.126673	0.0631494	0.0388719	0.0339746	0.0268026	0.0325135
a54	0.201724	0.234058	0.266508	0.142751	0.0535537	0.0341111	0.0259091	0.0195181	0.021866
a79	0.11286	0.156258	0.228185	0.181292	0.0964723	0.064969	0.0578307	0.0472932	0.0548396
a54	0.104887	0.153474	0.243408	0.175223	0.109842	0.0808157	0.0528239	0.0382166	0.0413094
a92	0.0502777	0.102958	0.188467	0.19089	0.153838	0.115047	0.0768675	0.0577799	0.0638755
a56	0.0687551	0.108731	0.168957	0.174495	0.169964	0.139989	0.0809453	0.0451741	0.0429902
a44	0.0509731	0.0699796	0.120084	0.156309	0.19208	0.187967	0.102668	0.0573806	0.0625592
a96	0.0354524	0.0484664	0.0896529	0.135602	0.196328	0.207997	0.131597	0.0762072	0.0786982
a93	0.0174583	0.0203819	0.0466944	0.0899541	0.171834	0.211752	0.181606	0.123923	0.136397
a90	0.011096	0.0121189	0.029345	0.0686559	0.14997	0.198658	0.216501	0.163176	0.150479
a21	0.00532564	0.00647495	0.0167809	0.0531286	0.151369	0.208571	0.22912	0.172882	0.156349
a12	0.0017178	0.00199521	0.00481563	0.0147252	0.0541514	0.0949774	0.209946	0.293269	0.324403
a18	0.000764533	0.00073516	0.00184255	0.00531741	0.0312179	0.0633918	0.182048	0.319976	0.394707
a75	0.000458687	0.000420919	0.00070053	0.00211938	0.0141066	0.0328497	0.0970984	0.251556	0.600689
a92	0.000188278	0.000204402	0.000527933	0.00211206	0.0134813	0.0313073	0.108439	0.311181	0.532559
a37	0.000182104	0.000203783	0.000512535	0.00195151	0.011806	0.0267777	0.0860742	0.268876	0.603616
a92	0.000137397	0.000113632	0.000220277	0.000795384	0.00592849	0.0147086	0.0628527	0.264949	0.650295
a61	0.000117563	0.000114922	0.000247767	0.000703988	0.00475266	0.0147975	0.0590313	0.24614	0.674094
a18	0.000142794	0.000109222	0.000222687	0.000600912	0.00370588	0.0114573	0.0531277	0.255666	0.674968
a90	0.00474755	0.00282941	0.00337959	0.00537064	0.0137725	0.0245681	0.0864103	0.277014	0.581908
a94	0.000164915	0.000145397	0.00025715	0.000664364	0.00380289	0.0116349	0.0441697	0.218581	0.72058
a58	0.000229888	0.000187109	0.000316814	0.000939368	0.00488689	0.0114382	0.0432775	0.213813	0.724911
a82	0.00971634	0.0068151	0.00841205	0.0111823	0.0218509	0.0340527	0.09722	0.260105	0.550645
a97	0.0733296	0.0356551	0.0253817	0.0283895	0.0475768	0.0657656	0.137065	0.226604	0.360233
a10	0.158535	0.082298	0.0430855	0.0412922	0.061849	0.0796013	0.134568	0.179999	0.218772
a97	0.0559155	0.0318887	0.0205262	0.0235918	0.0398535	0.0524035	0.117037	0.249166	0.409618
a27	0.0241937	0.0149682	0.0107465	0.017971	0.0511452	0.0816752	0.145453	0.258074	0.395772
</S>	0.0139442	0.00972994	0.00839937	0.0158825	0.0480036	0.0768523	0.135946	0.261114	0.430128
