 	je	n'	ai	pas	encore	trouvé	de	piliers	pour	cette	maison	que	je	construis	</S>
a84	0.0957425	0.0764655	0.0776426	0.0967842	0.107393	0.118319	0.100573	0.0797207	0.0471188	0.0677222	0.0734957	0.0355554	0.0131419	0.00556003	0.00476549
a82	0.216644	0.136546	0.089328	0.0576478	0.0516461	0.051657	0.0500796	0.0261359	0.0337934	0.0568442	0.0676362	0.0410829	0.039315	0.0406044	0.0410394
a10	0.204342	0.149498	0.101476	0.0619107	0.0565783	0.0751317	0.0873051	0.0764116	0.0419701	0.0424014	0.0357949	0.0243118	0.0188101	0.0125604	0.0114984
a30	0.183017	0.156106	0.113463	0.0737586	0.0628083	0.0849195	0.0870173	0.0856648	0.0367674	0.0322513	0.0270245	0.0223577	0.0166596	0.0100775	0.00810704
a87	0.198513	0.176489	0.120859	0.0791395	0.0577333	0.0790552	0.0808765	0.0695771	0.0261057	0.0280708	0.0297296	0.0253464	0.0143659	0.00804334	0.00609581
a23	0.153923	0.139592	0.104486	0.0681784	0.0553537	0.0753212	0.0800423	0.0878679	0.0402169	0.0446573	0.0461466	0.0425223	0.0289506	0.0186676	0.0140737
a87	0.207625	0.160808	0.0905659	0.0512497	0.0291424	0.041696	0.0583666	0.0491866	0.0251308	0.0320962	0.0564776	0.0894092	0.0592478	0.0304842	0.0185147
a23	0.185436	0.147811	0.0989864	0.0634611	0.0359794	0.0456525	0.0581701	0.0506603	0.0253143	0.0337092	0.0538639	0.076816	0.0572906	0.0400051	0.0268432
a99	0.21103	0.156516	0.0879983	0.052255	0.0283567	0.0353211	0.0448945	0.0356544	0.0184413	0.0234561	0.0429406	0.0898737	0.0802657	0.0549357	0.0380613
a50	0.174252	0.148976	0.0985012	0.0744269	0.0471287	0.0490583	0.0399875	0.0251526	0.0118919	0.0158954	0.0323809	0.0825922	0.0999481	0.0575244	0.0422842
