 	aujourd'	hui	ils	vont	couvrir	le	tam-tam	d'	une	peau	</S>
a15	0.17859	0.185736	0.165681	0.168736	0.124834	0.0941172	0.0414887	0.0174321	0.00982409	0.00725876	0.00630164
a66	0.292647	0.152931	0.0864755	0.0975748	0.0745081	0.109247	0.068814	0.0357693	0.0261286	0.0277755	0.0281291
a87	0.414955	0.201564	0.092583	0.0674146	0.0391885	0.0444533	0.0303801	0.0227367	0.0222069	0.0286892	0.0358288
a23	0.379652	0.209542	0.0930644	0.0666586	0.050196	0.0582762	0.0433491	0.0273888	0.0212512	0.0245037	0.0261179
a40	0.259222	0.118278	0.0509726	0.0532267	0.0710737	0.0931408	0.0748342	0.0579698	0.0596673	0.0717986	0.0898164
a15	0.290134	0.189887	0.131531	0.118158	0.0571025	0.0614222	0.0413937	0.0319714	0.0298772	0.0246358	0.0238876
a20	0.118692	0.103385	0.185308	0.228064	0.116699	0.0988951	0.0487089	0.0282872	0.0286828	0.0208445	0.0224329
a47	0.100478	0.0864217	0.139053	0.189971	0.145819	0.146758	0.0671446	0.0370267	0.0349116	0.0257783	0.0266384
a36	0.0651224	0.0659774	0.167667	0.242716	0.179527	0.122684	0.042726	0.0263322	0.0302196	0.0260578	0.03097
a85	0.0945046	0.0914986	0.148408	0.189624	0.190339	0.122997	0.0438909	0.0280078	0.0281991	0.0281096	0.0344209
a6	0.0542029	0.0677738	0.213524	0.248024	0.176861	0.0904233	0.032107	0.0198088	0.0245471	0.0304968	0.0422323
a36	0.0723124	0.0884985	0.182343	0.204953	0.189459	0.106196	0.0334101	0.0205374	0.0253501	0.0324427	0.0444987
a5	0.0755767	0.0948788	0.173527	0.1977	0.194343	0.10571	0.0340134	0.021262	0.0252593	0.0333632	0.0443655
a12	0.0398823	0.0550167	0.139651	0.147993	0.196029	0.121534	0.0658301	0.0505715	0.0495369	0.0590537	0.0749015
a43	0.0214998	0.0293595	0.0910486	0.108837	0.175009	0.113185	0.0795039	0.0701146	0.0763382	0.103338	0.131767
a0	0.0197045	0.0247926	0.0529078	0.075253	0.182012	0.154194	0.117759	0.0809044	0.0711651	0.0921087	0.129199
a62	0.0243334	0.028517	0.0452443	0.0631831	0.143893	0.129557	0.124013	0.0979608	0.0892548	0.112062	0.141982
a34	0.0179172	0.0208454	0.0368467	0.0475845	0.0982978	0.100075	0.155095	0.151923	0.115667	0.120095	0.135653
a98	0.00572638	0.00655888	0.0162823	0.0237044	0.0554305	0.069103	0.137322	0.168744	0.159694	0.170819	0.186616
a15	0.00184479	0.00245901	0.00581276	0.00876726	0.0271426	0.0432626	0.105311	0.177343	0.183325	0.204776	0.239955
a7	0.00305435	0.00335282	0.00565319	0.00689523	0.0133877	0.0174667	0.0450636	0.101218	0.182372	0.275581	0.345955
a98	0.00292476	0.00256048	0.00316237	0.00327664	0.00564321	0.00627431	0.0167096	0.0447634	0.126937	0.318391	0.469358
a79	0.00117929	0.00130658	0.00292774	0.0036545	0.00852867	0.0124823	0.0343536	0.0881263	0.188657	0.282217	0.376567
a85	0.000623065	0.000632451	0.00114439	0.00122478	0.00319532	0.00515994	0.0165992	0.0564707	0.152945	0.30873	0.453276
a5	0.000116046	0.00013374	0.000311008	0.000437003	0.00122139	0.00229041	0.00991046	0.0418815	0.126302	0.31156	0.505836
a12	0.00034346	0.000372686	0.000667626	0.000706157	0.00157942	0.00349468	0.0143489	0.0485225	0.124035	0.322926	0.483003
a96	0.000372673	0.00037129	0.000712298	0.000801463	0.00183767	0.00366069	0.0122521	0.0387631	0.112675	0.333741	0.494813
a66	0.00046774	0.000396322	0.000913596	0.00117609	0.00207643	0.00471667	0.0163501	0.0450061	0.10701	0.325016	0.496871
a71	0.00129687	0.000874399	0.00171658	0.00310397	0.0042565	0.00932928	0.034925	0.0826021	0.140135	0.292263	0.429498
a9	0.00647415	0.00458817	0.00628376	0.00965156	0.00850514	0.0137978	0.0374463	0.0864445	0.141864	0.273038	0.411907
a99	0.111474	0.0637925	0.0791495	0.0770578	0.0542395	0.0367212	0.0536223	0.0712763	0.0846481	0.150675	0.217343
a97	0.176558	0.089476	0.0627459	0.0480576	0.0393635	0.0411988	0.067329	0.0923561	0.100021	0.12804	0.154854
a87	0.138048	0.0713185	0.0521962	0.0426844	0.0362947	0.035576	0.0622132	0.109114	0.130645	0.156045	0.165866
a97	0.111332	0.0611872	0.0390978	0.03145	0.0291286	0.0345758	0.0703757	0.126205	0.14494	0.170637	0.181071
</S>	0.082218	0.0479402	0.0303181	0.0253606	0.0322463	0.0509184	0.0801677	0.12346	0.139559	0.1782	0.209611
