 	papa	est	celui	qui	vérifie	des	nasses	</S>
a66	0.474421	0.272469	0.12441	0.0694303	0.0366006	0.010824	0.0060437	0.00580101
a87	0.503821	0.220296	0.111539	0.0703159	0.0442187	0.0193911	0.0145361	0.0158828
a23	0.437042	0.184422	0.1476	0.10104	0.0547213	0.0267189	0.0224092	0.0260462
a40	0.266606	0.128073	0.125695	0.125927	0.0934292	0.0728449	0.0766586	0.110765
a36	0.185601	0.161046	0.168424	0.177234	0.123816	0.0667562	0.057583	0.05954
a54	0.224998	0.167748	0.145324	0.134922	0.120151	0.0676582	0.062254	0.0769445
a36	0.0945908	0.120788	0.115747	0.126823	0.166437	0.130098	0.111463	0.134054
a40	0.0987771	0.0906904	0.0883555	0.110404	0.147828	0.13749	0.13457	0.191884
a36	0.0962766	0.0990875	0.0864643	0.105554	0.148389	0.141425	0.144836	0.177967
a79	0.105744	0.0998394	0.0759109	0.0756245	0.0954369	0.12789	0.172846	0.246709
a25	0.0677224	0.0784619	0.0648485	0.0864836	0.1404	0.161278	0.177557	0.223248
a79	0.0570113	0.0746747	0.0661794	0.0918946	0.145692	0.162162	0.172869	0.229517
a44	0.055703	0.0694195	0.0693617	0.0992224	0.159373	0.170497	0.169394	0.20703
a94	0.0562299	0.064558	0.0688059	0.0952834	0.13915	0.163994	0.173482	0.238497
a50	0.0295277	0.03264	0.036878	0.0510089	0.0821251	0.161602	0.232596	0.373622
a88	0.0572916	0.0649342	0.0638165	0.0712808	0.0979472	0.148241	0.199525	0.296963
a71	0.0237895	0.0306147	0.0287004	0.0349911	0.062025	0.140506	0.241707	0.437666
a58	0.029286	0.0438774	0.0613925	0.0543104	0.0781061	0.103242	0.19109	0.438697
a4	0.088582	0.0855173	0.0843716	0.0645915	0.0966393	0.110166	0.171748	0.298384
a57	0.00531238	0.0101774	0.016336	0.0264299	0.0583734	0.126027	0.274592	0.482752
a3	0.015403	0.0235636	0.0321899	0.0414146	0.0778666	0.140451	0.247665	0.421446
a87	0.212317	0.140104	0.112699	0.0864754	0.0866291	0.0963134	0.116216	0.149246
a23	0.29096	0.211825	0.16748	0.105442	0.062619	0.0494687	0.0502181	0.0619861
a87	0.137547	0.126413	0.131858	0.122675	0.0905756	0.102674	0.127431	0.160826
a23	0.0205762	0.0168155	0.0185863	0.0293576	0.0617072	0.161193	0.270306	0.421457
a87	0.0507647	0.0476665	0.0535423	0.0651982	0.0953602	0.167663	0.228684	0.291121
</S>	0.0126768	0.0130082	0.0151502	0.0252924	0.0641837	0.161119	0.264074	0.444496
