 	le	forgeron	est	en	train	de	fabriquer	la	pointe	du	fer	de	la	houe	</S>
a66	0.0866719	0.0677825	0.0706564	0.0750485	0.0800644	0.0929336	0.102093	0.118511	0.115841	0.0969428	0.0445036	0.0225574	0.0107133	0.00718297	0.0084977
a87	0.155136	0.106403	0.104003	0.0890144	0.0883598	0.0792617	0.0771272	0.0745401	0.0629736	0.0544233	0.029525	0.0211001	0.0182178	0.0168838	0.0230312
a23	0.155573	0.117535	0.0922783	0.0726565	0.0671765	0.0682459	0.0778871	0.0782426	0.079732	0.0654978	0.0382359	0.0276087	0.0208179	0.0173068	0.0212065
a4	0.236142	0.16883	0.117141	0.0771731	0.0746731	0.0677354	0.058219	0.0390285	0.0307182	0.0251593	0.0199714	0.0177407	0.0168025	0.0196861	0.0309791
a57	0.272186	0.182426	0.135168	0.0811817	0.0750268	0.0518523	0.0414251	0.0291157	0.0232064	0.0248826	0.0245555	0.0233783	0.01624	0.0100924	0.00926338
a4	0.251644	0.152298	0.126513	0.0920866	0.0760522	0.0653091	0.0469517	0.0358769	0.0349577	0.0345194	0.0259221	0.0228521	0.0162851	0.0105362	0.00819635
a90	0.161957	0.128653	0.132384	0.10762	0.0829138	0.0709755	0.0482315	0.0397963	0.0397372	0.0404933	0.0411934	0.0457075	0.032912	0.0172374	0.0101883
a69	0.118331	0.0999032	0.110742	0.0959192	0.0772577	0.070045	0.0462201	0.0395581	0.0440374	0.0470613	0.0556079	0.0690379	0.0598767	0.0390237	0.0273791
a90	0.0741315	0.0768946	0.0979655	0.0977798	0.0884599	0.0838245	0.0583165	0.045464	0.0472457	0.0456741	0.052231	0.0668451	0.0655729	0.0548426	0.0447526
a98	0.0774505	0.0761959	0.0971323	0.104107	0.103324	0.0998172	0.067846	0.0507312	0.0512537	0.0471986	0.0438648	0.0470565	0.0443304	0.0449516	0.0447398
a47	0.0671433	0.0831553	0.119278	0.125359	0.135309	0.119774	0.0829248	0.0605404	0.0510628	0.0421751	0.028245	0.0246706	0.0201542	0.0194054	0.0208038
a36	0.0414686	0.0586282	0.0764966	0.097921	0.114296	0.118614	0.0805852	0.0602194	0.0520636	0.0420893	0.0308709	0.0318722	0.0356308	0.0595426	0.0997018
