 	le	vin	qu'	il	prend	commence	à	l'	étourdir	</S>
a66	0.317243	0.2164	0.129722	0.100652	0.110308	0.0533308	0.0360513	0.0208514	0.00861672	0.00682512
a87	0.534048	0.256141	0.0926077	0.0463388	0.0291757	0.0112761	0.0104469	0.00926841	0.00433253	0.00636509
a23	0.3899	0.232493	0.170587	0.0905781	0.0635159	0.0273225	0.0124271	0.00598946	0.00263351	0.00455356
a40	0.334744	0.201851	0.131555	0.0757759	0.0630288	0.0438733	0.0434123	0.0348604	0.0284472	0.0424524
a26	0.223555	0.180496	0.159477	0.0905052	0.0899505	0.0513771	0.0596861	0.060165	0.0383722	0.0464152
a54	0.17625	0.204293	0.237912	0.143698	0.0850139	0.0375003	0.0275471	0.0251178	0.0231987	0.0394684
a5	0.174975	0.19932	0.19245	0.11115	0.0718501	0.0541059	0.0644959	0.0533333	0.0419762	0.0363429
a23	0.106352	0.165677	0.234895	0.143421	0.0920163	0.0696825	0.0693224	0.0505462	0.0414395	0.0266486
a18	0.0668335	0.11662	0.206524	0.144534	0.109879	0.092021	0.106595	0.0701929	0.0510385	0.0357617
a44	0.0499731	0.0745823	0.151648	0.159738	0.153028	0.137062	0.140227	0.059606	0.0427845	0.0313498
a54	0.0528015	0.0770326	0.157917	0.165688	0.140942	0.123144	0.127369	0.0562894	0.0531394	0.045677
a47	0.0296024	0.0454825	0.0864667	0.0914144	0.0799727	0.0929545	0.161505	0.113399	0.179921	0.11928
a6	0.0218805	0.0301617	0.0643711	0.0940246	0.0915407	0.121213	0.171044	0.0915644	0.175275	0.138925
a37	0.0180218	0.0254066	0.061663	0.115981	0.117324	0.140481	0.166822	0.0978235	0.141386	0.115091
a92	0.0145102	0.0186678	0.0449336	0.139836	0.177057	0.206177	0.178266	0.0846634	0.0755339	0.0603553
a47	0.0028141	0.00453898	0.0126359	0.0402307	0.0569647	0.0924111	0.146416	0.141709	0.2838	0.218479
a79	0.00261459	0.00376795	0.0106274	0.0372341	0.0556924	0.10384	0.170228	0.119947	0.274063	0.221985
a15	0.00103713	0.001542	0.00594379	0.0296986	0.0517643	0.108949	0.216289	0.154344	0.22078	0.209652
a7	0.00102621	0.00146913	0.00453954	0.0198845	0.0352338	0.0788008	0.153359	0.135425	0.281602	0.28866
a40	0.00181886	0.00213968	0.00442816	0.0181982	0.0320238	0.0943639	0.157806	0.161514	0.261539	0.266168
a36	0.000522833	0.000644061	0.00142059	0.0062717	0.0122646	0.0538431	0.106111	0.139807	0.33514	0.343975
a37	0.0014605	0.0016527	0.00250476	0.00782006	0.0125009	0.0464711	0.0940147	0.136115	0.315924	0.381536
a54	0.00112315	0.00134686	0.00206788	0.00587883	0.00955624	0.0342133	0.0713164	0.121741	0.331141	0.421616
a47	0.000179111	0.000230105	0.000584111	0.0027078	0.00517586	0.0251583	0.0571395	0.107126	0.384696	0.417004
a6	0.000167714	0.000211784	0.000488531	0.00196593	0.0032266	0.0132777	0.0368203	0.0796955	0.397131	0.467015
a37	0.000225721	0.000281275	0.0005701	0.00185673	0.00320106	0.0146681	0.0362868	0.0872943	0.388129	0.467487
a75	0.0011385	0.00123576	0.00185292	0.00464957	0.00621896	0.018926	0.0371172	0.0812633	0.246438	0.60116
a15	0.000250653	0.000330378	0.00067397	0.00201702	0.00317229	0.0104396	0.0255264	0.0649656	0.276439	0.616186
a69	0.000283556	0.000270456	0.000460299	0.00120978	0.00164072	0.00608641	0.0212507	0.0645014	0.252965	0.651332
a58	0.000490733	0.000528552	0.000929691	0.00240737	0.00316015	0.00904018	0.0229336	0.0592591	0.211861	0.68939
a40	0.00201982	0.00143979	0.00142084	0.00271395	0.00294495	0.00553048	0.0161052	0.0573323	0.168584	0.741909
a2	0.000871351	0.000917321	0.00132647	0.0029499	0.00411623	0.00798593	0.0202916	0.0587935	0.172182	0.730566
a57	0.00258876	0.00203757	0.00211531	0.00416878	0.00468232	0.0077007	0.0248164	0.0826329	0.18177	0.687488
a87	0.0219409	0.016335	0.0170701	0.0260024	0.0235181	0.0410775	0.104385	0.152251	0.207955	0.389465
a23	0.234678	0.114392	0.0675796	0.0702861	0.0502966	0.0652759	0.0836957	0.0863808	0.102674	0.124741
a87	0.0531226	0.0306026	0.0238315	0.0328915	0.0307223	0.0553503	0.119578	0.171447	0.235469	0.246984
</S>	0.0226153	0.0119722	0.0108246	0.0160937	0.0151012	0.0331283	0.0877673	0.140966	0.26729	0.394241
