 	je	l'	ai	fait	réussir	à	l'	examen	</S>
a23	0.307999	0.1151	0.0847098	0.0751304	0.10872	0.0947377	0.0945949	0.0660989	0.0529093
a83	0.281869	0.165479	0.128986	0.10663	0.178414	0.0824615	0.0279535	0.0156772	0.0125307
a24	0.429835	0.239803	0.156535	0.0710411	0.0578958	0.0277993	0.00981807	0.00326882	0.00400427
a31	0.309628	0.228293	0.152729	0.11738	0.0949458	0.0582193	0.0253535	0.00749388	0.00595767
a47	0.229335	0.190176	0.163081	0.133984	0.122217	0.0830627	0.0429348	0.0205409	0.0146681
a0	0.0870348	0.0982817	0.135136	0.141174	0.161031	0.118669	0.105467	0.0919998	0.0612076
a62	0.0515147	0.0589122	0.0863722	0.115137	0.140654	0.122879	0.146368	0.155274	0.12289
a31	0.0286722	0.0354346	0.0597837	0.0926292	0.127185	0.121493	0.161816	0.199277	0.173708
a0	0.0178264	0.0262198	0.0479982	0.0748014	0.106683	0.100096	0.144892	0.261314	0.220169
a24	0.00664511	0.00832076	0.0169388	0.0383401	0.0659636	0.0730702	0.132625	0.301737	0.35636
a62	0.00260635	0.00301322	0.00586806	0.0164938	0.0360943	0.0503344	0.110938	0.304339	0.470313
a75	0.00199604	0.00247202	0.00443763	0.0123817	0.0281256	0.0401824	0.0906026	0.293935	0.525867
a54	0.00192877	0.00247099	0.00370616	0.0109643	0.0251485	0.0382382	0.100481	0.284559	0.532503
a26	0.00725265	0.00988262	0.0119675	0.0275217	0.0450468	0.0588497	0.121492	0.212264	0.505723
a57	0.0020884	0.00332199	0.00467841	0.0128763	0.0297757	0.0542817	0.128816	0.177065	0.587096
a87	0.0133231	0.0161548	0.0192239	0.0304603	0.0559282	0.0631273	0.108143	0.233956	0.459684
a23	0.0865884	0.0948407	0.0917368	0.0984183	0.108621	0.123004	0.115334	0.113097	0.16836
a87	0.0502476	0.0439444	0.0401252	0.0576703	0.0759166	0.087428	0.121968	0.197698	0.325002
</S>	0.1174	0.094238	0.072372	0.0942419	0.0879117	0.0935274	0.090923	0.115365	0.234021
