 	il	a	adopté	le	fils	de	son	frère	</S>
a23	0.242299	0.167947	0.170336	0.0959202	0.0604644	0.0374612	0.0400813	0.0741382	0.111353
a40	0.108436	0.115266	0.198437	0.155466	0.115153	0.0685222	0.0673658	0.0777335	0.0936204
a30	0.1892	0.201779	0.264307	0.132449	0.0722046	0.0371594	0.0297459	0.0301769	0.0429778
a73	0.297009	0.271831	0.256622	0.084631	0.0404243	0.0180049	0.0112393	0.00906526	0.0111725
a26	0.303113	0.235324	0.230051	0.105464	0.062896	0.0291025	0.0157392	0.00959708	0.00871283
a38	0.286298	0.228962	0.228932	0.119208	0.0719376	0.0297245	0.015815	0.0103873	0.00873668
a41	0.240727	0.211705	0.214466	0.145234	0.0995008	0.0425758	0.0210841	0.0132409	0.0114665
a35	0.207249	0.190163	0.211175	0.163024	0.127492	0.0547249	0.0236072	0.0123602	0.0102047
a24	0.181474	0.17453	0.228708	0.17365	0.134321	0.0564895	0.0253185	0.0137259	0.0117825
a71	0.116646	0.128538	0.200915	0.191348	0.173266	0.0962214	0.0461147	0.0245272	0.0224219
a38	0.0621197	0.0798833	0.178405	0.207007	0.21216	0.128647	0.0570802	0.0329494	0.0417484
a90	0.0582624	0.0747728	0.153808	0.193853	0.207939	0.153827	0.075352	0.0395855	0.0426006
a76	0.0625523	0.0696504	0.15287	0.213526	0.216023	0.14328	0.0684525	0.0363858	0.0372604
a73	0.0684703	0.0686773	0.1316	0.175186	0.175269	0.12552	0.0914117	0.0776018	0.0862631
a84	0.0435704	0.0463509	0.113897	0.177353	0.172419	0.142595	0.10589	0.09343	0.104494
a57	0.0451833	0.0537873	0.11743	0.184129	0.157518	0.142395	0.0932865	0.0842457	0.122026
a87	0.046645	0.0552979	0.120197	0.170775	0.14931	0.139665	0.093924	0.0827988	0.141387
a23	0.049551	0.0615261	0.115748	0.146006	0.124423	0.134554	0.120532	0.106552	0.141107
a35	0.0389594	0.0476395	0.0921848	0.140931	0.132375	0.132417	0.116209	0.119934	0.17935
a14	0.0626959	0.0645566	0.119265	0.13452	0.132578	0.113877	0.109116	0.101788	0.161603
a94	0.046254	0.0509578	0.100997	0.138811	0.145785	0.138659	0.123439	0.109751	0.145346
a76	0.0385628	0.0417225	0.0706563	0.102968	0.124399	0.134539	0.139656	0.135475	0.212022
a14	0.0463387	0.0471603	0.0645275	0.0817136	0.100545	0.119894	0.140054	0.146942	0.252825
a35	0.0201411	0.0218685	0.0357305	0.0568144	0.0723059	0.107363	0.152128	0.203282	0.330366
a14	0.0183351	0.0194681	0.0300554	0.0461629	0.058145	0.0945679	0.148867	0.220915	0.363484
a41	0.00985371	0.0118999	0.0261276	0.0459886	0.0576035	0.0908369	0.149316	0.22868	0.379694
a47	0.00473578	0.00586414	0.0151388	0.0328294	0.0410412	0.0709897	0.129202	0.25696	0.443239
a75	0.00281854	0.0033981	0.00799431	0.0197864	0.0260974	0.0584385	0.120991	0.273038	0.487438
a56	0.0101878	0.0101478	0.017094	0.0367146	0.0435734	0.08478	0.150139	0.264115	0.383248
a66	0.010334	0.0104262	0.0165908	0.0296774	0.0337442	0.0555113	0.105845	0.257231	0.48064
a38	0.00422834	0.00510466	0.00990133	0.0199709	0.0237926	0.0412107	0.0795446	0.261715	0.554532
a24	0.00502358	0.00598621	0.0107599	0.0186914	0.0203359	0.0334582	0.0668842	0.24498	0.593881
a62	0.00510922	0.00543722	0.00825979	0.0129181	0.0142974	0.0262494	0.0595253	0.25201	0.616194
a35	0.00549057	0.00636138	0.0103824	0.0158876	0.0176464	0.0298571	0.060207	0.2452	0.608967
a41	0.00330616	0.00385322	0.00760869	0.0133332	0.0153323	0.0259323	0.057666	0.233541	0.639427
a14	0.0050129	0.00578971	0.00992672	0.0164706	0.0186887	0.0333399	0.0717669	0.244812	0.594192
a73	0.00573858	0.00756436	0.0158441	0.0255072	0.0322194	0.0538825	0.10629	0.261998	0.490956
a76	0.0022172	0.00306041	0.0068687	0.0132722	0.0165699	0.0352358	0.0834156	0.249941	0.58942
a20	0.0026147	0.00350307	0.00828939	0.0184729	0.023878	0.0449111	0.103694	0.258131	0.536506
a58	0.00452571	0.00498526	0.00964031	0.016712	0.021788	0.0358598	0.0796426	0.228855	0.597991
a84	0.00347299	0.00435201	0.0080109	0.0136668	0.0157653	0.0311276	0.0712841	0.241239	0.611081
a87	0.00249283	0.0024735	0.00304655	0.00635589	0.0073986	0.0179819	0.0561566	0.272848	0.631246
a23	0.0194494	0.0139235	0.0133056	0.0234839	0.0238562	0.0455087	0.11495	0.276924	0.468599
a87	0.0762802	0.0495338	0.0430112	0.0570156	0.0496624	0.0699809	0.126368	0.221875	0.306273
a23	0.0282657	0.0218107	0.0279104	0.0590001	0.0544869	0.0865129	0.146095	0.221128	0.35479
a87	0.05227	0.0408752	0.046662	0.0780732	0.0679219	0.0979315	0.14964	0.21007	0.256556
a23	0.0320055	0.0270125	0.0371415	0.0719768	0.0650048	0.100491	0.154068	0.214494	0.297805
a87	0.0651804	0.0449755	0.046236	0.0687198	0.060154	0.0965818	0.156305	0.214126	0.247721
</S>	0.0203479	0.0200177	0.0304123	0.0639702	0.0600384	0.102334	0.170695	0.238979	0.293204
