 	je	me	suis	enfoncé	dans	la	boue	</S>
a15	0.320965	0.181329	0.102039	0.0986017	0.103424	0.0935505	0.0612856	0.0388049
a66	0.345215	0.229394	0.144676	0.0993109	0.0692992	0.0500254	0.0336786	0.0284002
a87	0.531183	0.234561	0.0991586	0.0435826	0.029135	0.0227455	0.0193737	0.0202609
a23	0.399992	0.291129	0.162901	0.0646636	0.0330962	0.0225606	0.013462	0.012196
a18	0.44261	0.220866	0.112988	0.0614124	0.0404263	0.0390776	0.0375391	0.0450798
a50	0.304469	0.185198	0.133301	0.0726768	0.0562996	0.0591002	0.0851381	0.103818
a31	0.318604	0.220519	0.144208	0.0815078	0.0654079	0.0569554	0.0578065	0.0549915
a12	0.196822	0.203325	0.244895	0.138153	0.0818493	0.0472068	0.0452284	0.0425199
a61	0.10653	0.142529	0.242289	0.1696	0.116456	0.070492	0.0780631	0.0740416
a75	0.0707748	0.102758	0.2081	0.186595	0.147469	0.0940278	0.100344	0.0899318
a92	0.0585629	0.0843738	0.15199	0.159235	0.15462	0.125779	0.138577	0.126862
a56	0.0493126	0.0729345	0.118224	0.150843	0.163944	0.144618	0.152219	0.147904
a43	0.0621224	0.0804898	0.112874	0.167721	0.19086	0.14569	0.127742	0.112501
a56	0.029283	0.0365969	0.0491972	0.112228	0.181453	0.188235	0.205357	0.19765
a93	0.0188575	0.0245239	0.0315419	0.0868882	0.16595	0.216873	0.242321	0.213044
a70	0.0118853	0.0145977	0.0190868	0.050014	0.105291	0.180092	0.28645	0.332584
a62	0.00462284	0.00531209	0.00630937	0.0183524	0.0503436	0.135104	0.301516	0.47844
a88	0.00160707	0.0019623	0.00245882	0.00604748	0.0203658	0.0874127	0.262886	0.617259
a61	0.00156992	0.00203155	0.00241604	0.0060548	0.020935	0.0902371	0.247668	0.629087
a54	0.000992755	0.00139503	0.00168195	0.0047624	0.0163425	0.0718494	0.219293	0.683683
a36	0.000750057	0.00110371	0.00135231	0.00315344	0.00883918	0.039731	0.154734	0.790336
a26	0.014696	0.0149316	0.0141239	0.0241038	0.0443813	0.097286	0.192735	0.597742
a57	0.135509	0.0725609	0.0468979	0.0610011	0.0768299	0.106281	0.159144	0.341776
a87	0.322414	0.161823	0.0815725	0.0650519	0.0597497	0.0690617	0.0884519	0.151875
a23	0.330031	0.206231	0.111621	0.0792792	0.0591812	0.0626356	0.0625567	0.0884637
a87	0.199154	0.122756	0.0681536	0.0670994	0.0780059	0.104781	0.142574	0.217476
a23	0.0612703	0.0464551	0.0359705	0.0423357	0.0644219	0.125231	0.214368	0.409948
a87	0.0528859	0.0463679	0.0383223	0.0516315	0.0788256	0.151543	0.216851	0.363573
a23	0.070966	0.0576411	0.0371628	0.0478593	0.0886873	0.162713	0.222813	0.312157
</S>	0.0802849	0.0707755	0.047677	0.0584703	0.0961025	0.172943	0.208969	0.264778
