 	la	femme	prépare	de	la	viande	boucanée	</S>
a87	0.376639	0.208149	0.102989	0.0931208	0.0837253	0.0732803	0.0395032	0.0225934
a23	0.51552	0.201183	0.0582474	0.0478132	0.0458962	0.0456925	0.0463404	0.0393069
a38	0.28995	0.189986	0.0752848	0.0589888	0.0637073	0.099387	0.105822	0.116874
a93	0.371971	0.221809	0.0891145	0.0955198	0.0648751	0.0730329	0.0467223	0.0369552
a34	0.38511	0.302617	0.118418	0.078278	0.0356219	0.0342248	0.0268593	0.0188713
a37	0.308839	0.315051	0.157447	0.0927844	0.0337921	0.0299396	0.0323071	0.0298397
a85	0.171736	0.211429	0.189171	0.145991	0.0698448	0.0624677	0.0823456	0.0670157
a6	0.185387	0.209078	0.188308	0.149444	0.0655788	0.0598198	0.0739071	0.0684785
a37	0.133824	0.149962	0.166503	0.159207	0.0766279	0.0793136	0.118695	0.115867
a54	0.179965	0.187634	0.177282	0.153699	0.0674966	0.0692624	0.0895668	0.0750944
a37	0.0611139	0.0625292	0.0988714	0.127948	0.106173	0.137595	0.219141	0.186629
a90	0.100165	0.0954103	0.120101	0.130941	0.0984051	0.119667	0.178442	0.156868
a79	0.0427727	0.0427569	0.0813526	0.116009	0.121711	0.154784	0.238251	0.202363
a96	0.0474757	0.0457438	0.0759353	0.102026	0.117508	0.153933	0.248801	0.208578
a34	0.0188269	0.0184397	0.0311276	0.0416132	0.0716819	0.151752	0.348716	0.317843
a93	0.0150864	0.0144734	0.0262044	0.0369911	0.0738886	0.167408	0.361543	0.304406
a70	0.00448404	0.00453471	0.0100873	0.0161224	0.0385145	0.113586	0.391369	0.421302
a62	0.00145081	0.00143363	0.00353303	0.00680417	0.0202493	0.0793734	0.3687	0.518456
a83	0.000877589	0.00075049	0.00142358	0.00306062	0.0128188	0.0657219	0.384241	0.531106
a9	0.000943685	0.000815789	0.00159106	0.00295321	0.0117047	0.0568799	0.349155	0.575957
a10	0.00652743	0.00450168	0.00687492	0.00931875	0.0274337	0.081472	0.290263	0.573609
a87	0.0937838	0.0510699	0.0490169	0.0437201	0.0655648	0.109456	0.25268	0.334708
a23	0.152869	0.0820273	0.0673469	0.0581808	0.0759056	0.123695	0.232853	0.207123
a87	0.0705207	0.041679	0.0433312	0.0382137	0.0656177	0.127495	0.267171	0.345972
</S>	0.0186857	0.012426	0.0192951	0.0205711	0.051177	0.116299	0.279943	0.481603
