 	la	manière	dont	il	boude	contre	moi	m'	intrigue	</S>
a66	0.121831	0.0926742	0.0997946	0.129805	0.14308	0.16808	0.151229	0.0616105	0.0202288	0.0116666
a87	0.421102	0.209558	0.142325	0.0863811	0.051264	0.0360449	0.0261054	0.011379	0.00830077	0.00753968
a23	0.306711	0.246298	0.213782	0.113294	0.0540082	0.0346019	0.0169755	0.00550983	0.00423535	0.00458391
a87	0.249371	0.287838	0.229292	0.104273	0.0495455	0.0308178	0.0152337	0.00841185	0.00823851	0.0169793
a97	0.180888	0.254112	0.243571	0.149512	0.0824876	0.0511723	0.0181157	0.00760962	0.00561687	0.00691432
a99	0.201242	0.265797	0.245843	0.134135	0.0666758	0.0409865	0.018263	0.0102466	0.00813522	0.0086756
a87	0.200955	0.231383	0.220481	0.134078	0.07686	0.0527281	0.0310425	0.021065	0.0173346	0.0140725
a23	0.237915	0.221163	0.201273	0.124727	0.0761603	0.0562133	0.033353	0.0220187	0.0162388	0.0109388
a50	0.221471	0.238464	0.193809	0.104727	0.0629556	0.0441993	0.0332929	0.0340152	0.0373909	0.0296742
a83	0.237453	0.298075	0.197392	0.106786	0.0679878	0.0392895	0.0203698	0.0139737	0.0102576	0.00841639
a11	0.208843	0.328476	0.206881	0.10204	0.0673934	0.0394389	0.0195793	0.01195	0.00889225	0.00650682
a43	0.141925	0.272822	0.226813	0.131855	0.0920855	0.0569303	0.0286541	0.0203401	0.0172146	0.0113595
a11	0.098318	0.21304	0.219445	0.146831	0.11098	0.0746321	0.042335	0.0337804	0.0353159	0.0253221
a70	0.096142	0.204926	0.224812	0.148142	0.113075	0.0749333	0.0406111	0.0336537	0.037926	0.0257783
a44	0.109762	0.186686	0.212221	0.16113	0.12864	0.0948972	0.0480066	0.0276225	0.0201435	0.0108916
a62	0.106084	0.159241	0.217349	0.161519	0.130354	0.0982755	0.0550682	0.0338917	0.024617	0.0136017
a21	0.0911564	0.104783	0.181027	0.164486	0.145422	0.14742	0.102559	0.0383815	0.0172	0.00756667
a12	0.0650385	0.0756947	0.15823	0.155496	0.147048	0.164409	0.138134	0.0576503	0.0259051	0.0123938
a43	0.0475126	0.0558819	0.130405	0.147289	0.151915	0.17752	0.162385	0.0805123	0.0318664	0.0147126
a11	0.027938	0.0336968	0.0955986	0.136864	0.156817	0.200391	0.19441	0.100414	0.0376669	0.0162041
a70	0.0172266	0.0200719	0.0652495	0.110319	0.140471	0.206508	0.217939	0.127923	0.0582711	0.036021
a96	0.0213002	0.0255491	0.0605391	0.098171	0.135782	0.213936	0.224283	0.126948	0.0562758	0.0372157
a70	0.0247999	0.0283896	0.0581124	0.087849	0.120294	0.205696	0.228609	0.133233	0.0656144	0.0474022
a90	0.0207623	0.0235833	0.0469212	0.0720915	0.0995201	0.188977	0.234745	0.161369	0.0864011	0.0656307
a25	0.00922956	0.0097882	0.0234113	0.0527303	0.09253	0.18448	0.247845	0.184683	0.104421	0.0908824
a98	0.00402775	0.00498253	0.0128984	0.0308054	0.0572038	0.134427	0.241945	0.237396	0.139051	0.137264
