 	il	emplit	la	bouteille	de	vin	</S>
a23	0.489877	0.260652	0.0814088	0.042958	0.0428488	0.0423483	0.0399075
a61	0.492437	0.274858	0.124246	0.0450587	0.0241025	0.0185936	0.0207038
a75	0.578231	0.217847	0.080682	0.0463746	0.0340545	0.0236818	0.0191292
a85	0.527085	0.271729	0.0827212	0.039478	0.0324285	0.0248949	0.0216638
a0	0.378673	0.494128	0.0778374	0.0236072	0.0129161	0.00713656	0.00570257
a11	0.396182	0.452656	0.104894	0.0199727	0.00945778	0.00760978	0.00922778
a75	0.325516	0.459226	0.151273	0.0285677	0.0132611	0.0102033	0.0119524
a47	0.29421	0.33937	0.168354	0.0629262	0.04233	0.0410992	0.0517102
a85	0.185029	0.218972	0.22625	0.119647	0.0804729	0.0765677	0.0930613
a75	0.153079	0.169048	0.216714	0.153038	0.112129	0.096132	0.09986
a85	0.110796	0.0892883	0.10115	0.143384	0.169681	0.195168	0.190532
a5	0.0397861	0.03566	0.0535733	0.132313	0.202798	0.264776	0.271095
a61	0.137328	0.0864389	0.0741586	0.129045	0.194333	0.201401	0.177296
a37	0.0467491	0.0362831	0.052637	0.131737	0.216684	0.278471	0.237438
a85	0.0222245	0.0160715	0.0269395	0.0922904	0.156302	0.305834	0.380338
a37	0.00748592	0.00617346	0.0157044	0.0584273	0.129666	0.345866	0.436677
a92	0.00433879	0.00303717	0.00973358	0.0587578	0.123786	0.306279	0.494068
a37	0.00207307	0.00182304	0.00583534	0.0358549	0.104051	0.316538	0.533825
a66	0.000809069	0.000977259	0.00302766	0.0196362	0.0759181	0.302801	0.596831
a9	0.00411461	0.00257454	0.00403807	0.0288402	0.0791177	0.282747	0.598567
a87	0.101098	0.0613117	0.0534592	0.102507	0.115341	0.206098	0.360185
a23	0.347287	0.226137	0.0769674	0.0814246	0.0764103	0.0913137	0.10046
a87	0.0955952	0.0870542	0.029186	0.0709725	0.142232	0.269144	0.305817
</S>	0.0126457	0.016589	0.0157895	0.0719044	0.152864	0.305053	0.425154
