 	je	chasse	avec	le	fusil	de	mon	oncle	</S>
a87	0.372196	0.156196	0.102238	0.101245	0.0847314	0.0597966	0.0487	0.0401755	0.0347207
a23	0.426447	0.113739	0.062714	0.0614279	0.0516131	0.0631095	0.0758796	0.0680495	0.0770212
a99	0.346726	0.219756	0.142946	0.0782655	0.040787	0.0335324	0.0387597	0.0433387	0.0558886
a36	0.353671	0.221126	0.119732	0.0646457	0.0441844	0.0317137	0.033209	0.0459674	0.0857503
a5	0.371368	0.26248	0.144267	0.0725306	0.0546891	0.0305663	0.0219631	0.0172338	0.0249026
a61	0.271196	0.327869	0.194656	0.0855287	0.0419309	0.0205069	0.0164858	0.0182286	0.0235984
a88	0.246	0.287653	0.203309	0.102774	0.0553907	0.0260215	0.0206192	0.0248216	0.0334111
a62	0.15381	0.222283	0.228901	0.153342	0.09424	0.0453194	0.0333661	0.0326303	0.0361085
a61	0.110984	0.173035	0.207064	0.16384	0.123668	0.065982	0.0498443	0.0507512	0.0548321
a75	0.109127	0.151216	0.189239	0.170081	0.140118	0.0756214	0.0549998	0.0544089	0.0551903
a85	0.064415	0.0793845	0.110801	0.125169	0.140931	0.119894	0.106073	0.117478	0.135855
a92	0.0753939	0.0938315	0.123853	0.13434	0.140792	0.111465	0.105171	0.105612	0.109541
a37	0.0927018	0.0880248	0.104316	0.127983	0.142225	0.121107	0.110546	0.110763	0.102334
a56	0.0765299	0.0727523	0.0863063	0.120779	0.160723	0.153037	0.125214	0.104829	0.0998292
a47	0.052898	0.0505347	0.0625346	0.0954908	0.135113	0.165244	0.161829	0.152925	0.123432
a62	0.0434459	0.0399962	0.049176	0.0745908	0.119142	0.180764	0.17748	0.154673	0.160733
a21	0.025655	0.0228384	0.0291504	0.0495021	0.0904932	0.186531	0.236288	0.219469	0.140073
a5	0.023619	0.0195439	0.0242013	0.0379315	0.0694551	0.14472	0.21927	0.252352	0.208906
a85	0.026102	0.0223257	0.0282521	0.0428616	0.0698191	0.119388	0.184563	0.267587	0.239101
a6	0.0162625	0.0127912	0.0169828	0.0283279	0.0545585	0.0934407	0.161009	0.255124	0.361503
a37	0.00914009	0.00675045	0.00863901	0.0151473	0.0323766	0.0793191	0.17119	0.303266	0.374171
a90	0.00544304	0.0039144	0.00546019	0.0101576	0.0226728	0.0614718	0.137306	0.295406	0.458168
a44	0.00333773	0.00273352	0.00490821	0.0102411	0.0204793	0.0492451	0.114356	0.294357	0.500342
a93	0.000646755	0.000516507	0.00096521	0.00242278	0.00660508	0.0268421	0.0778852	0.253001	0.631115
a70	0.000476153	0.000392335	0.000764967	0.00197011	0.00512773	0.0225151	0.0748222	0.26136	0.632571
a83	0.000510343	0.000373855	0.00053021	0.0011668	0.00278917	0.0123589	0.0476195	0.227364	0.707287
a9	0.000784205	0.000573325	0.000774464	0.00153654	0.00350393	0.0130655	0.051198	0.249048	0.679516
a99	0.00383849	0.00234668	0.00272095	0.00399005	0.00829549	0.02975	0.0965548	0.336805	0.515699
a87	0.0108265	0.00602393	0.00609299	0.00761615	0.0120867	0.0294239	0.0815412	0.321071	0.525318
a23	0.241781	0.104493	0.05849	0.0461456	0.0447613	0.0611928	0.104137	0.161691	0.177308
a87	0.0412009	0.0236704	0.0196053	0.0237032	0.0362491	0.0904952	0.210462	0.266736	0.287877
</S>	0.00800246	0.00597287	0.0075784	0.0135017	0.0280162	0.0877082	0.197415	0.28784	0.363965
