 	l'	aigle	s'	envole	</S>
a10	0.441852	0.254584	0.155101	0.0813538	0.0671088
a87	0.419074	0.292855	0.160526	0.0714729	0.0560711
a23	0.516268	0.240157	0.140216	0.0613039	0.0420545
a70	0.47798	0.287916	0.143084	0.0595677	0.0314521
a66	0.61253	0.247646	0.0962479	0.0296838	0.0138924
a75	0.40881	0.340177	0.170244	0.0602503	0.0205184
a41	0.349434	0.304834	0.219323	0.0901133	0.0362956
a35	0.400067	0.338291	0.165052	0.0683726	0.0282184
a75	0.414002	0.331728	0.154044	0.0689026	0.0313232
a41	0.350243	0.303288	0.178839	0.107294	0.0603362
a35	0.303677	0.273479	0.197052	0.134839	0.0909521
a14	0.18994	0.207293	0.223038	0.212464	0.167264
a73	0.0881383	0.106469	0.19631	0.334861	0.274222
a11	0.0700137	0.0676794	0.122274	0.306762	0.433271
a94	0.0274269	0.0268944	0.0672428	0.267147	0.611289
a35	0.043322	0.0325447	0.0623206	0.240821	0.620992
a83	0.0461954	0.0312405	0.0504972	0.212124	0.659943
a98	0.0248847	0.0209289	0.0450926	0.215885	0.693209
a14	0.0275183	0.0235442	0.0505098	0.200804	0.697624
a73	0.0370938	0.0319487	0.0605205	0.206446	0.663991
a57	0.0506908	0.0532046	0.0816853	0.211908	0.602512
a87	0.0732661	0.104363	0.14209	0.209334	0.470947
a23	0.0785208	0.0936923	0.175713	0.259979	0.392094
a87	0.120974	0.111692	0.167786	0.266149	0.3334
</S>	0.0723386	0.0829646	0.159591	0.25246	0.432646
