 	qui	est	ce	qui	a	affronté	le	chef	traditionnel	</S>
a66	0.16775	0.163306	0.170257	0.16438	0.153376	0.0911157	0.0356342	0.0235159	0.0172226	0.0134432
a87	0.243651	0.140221	0.111173	0.106409	0.129452	0.154763	0.0804954	0.0185011	0.00886645	0.00646818
a79	0.148152	0.120973	0.106658	0.147232	0.240026	0.178462	0.0318149	0.0140037	0.007357	0.00532163
a69	0.237354	0.158525	0.137698	0.146806	0.187481	0.0758477	0.0231199	0.0100268	0.0105498	0.0125919
a40	0.250875	0.213183	0.159511	0.118603	0.129453	0.0879084	0.0172941	0.00704474	0.00783337	0.0082947
a85	0.185938	0.211773	0.149713	0.129029	0.141952	0.12753	0.0348407	0.00758543	0.0069269	0.00471272
a6	0.134727	0.149866	0.129141	0.119071	0.133164	0.163616	0.090227	0.0342281	0.0282901	0.0176687
a75	0.11044	0.14991	0.130429	0.125157	0.125841	0.155297	0.120345	0.0400267	0.0271617	0.0153924
a56	0.0780722	0.103707	0.106046	0.102192	0.109369	0.163072	0.1652	0.0745949	0.057844	0.039901
a98	0.0496478	0.0589926	0.0811168	0.0995111	0.113934	0.167144	0.207442	0.0977433	0.0708273	0.0536403
a85	0.0651314	0.059184	0.0686896	0.0795745	0.086206	0.126388	0.192134	0.140402	0.10455	0.0777397
a5	0.0280371	0.0266655	0.037765	0.0511573	0.0598447	0.0946063	0.177148	0.188353	0.169638	0.166786
a12	0.00386476	0.0023494	0.00286673	0.00467242	0.00636501	0.0149775	0.101903	0.27486	0.302604	0.285537
a96	0.00134537	0.000857003	0.000999724	0.0016326	0.0024804	0.00430746	0.0459612	0.265713	0.302014	0.374689
a54	0.000677545	0.000423379	0.000447107	0.000862015	0.00135101	0.00373588	0.0239111	0.203212	0.279337	0.486042
a36	0.000234029	0.000134309	0.000162303	0.000375978	0.000663655	0.00168157	0.0135937	0.141491	0.273197	0.568467
a26	0.00106725	0.000640757	0.000572867	0.00105929	0.00145398	0.00384686	0.0259533	0.149562	0.242364	0.573479
a30	0.0236822	0.0145482	0.0142779	0.0204299	0.0277259	0.0309817	0.0560616	0.167357	0.242658	0.402278
a97	0.160553	0.125534	0.116302	0.116671	0.118068	0.0959574	0.0588608	0.0503619	0.0614637	0.0962298
a87	0.14718	0.139964	0.12767	0.145871	0.133773	0.120373	0.0696274	0.0443091	0.0351837	0.036049
a23	0.0718602	0.0668483	0.0731763	0.109302	0.12331	0.14094	0.148842	0.113946	0.0837638	0.068011
a99	0.0108746	0.00655161	0.00548354	0.00814223	0.00841228	0.0188391	0.0619188	0.274495	0.255308	0.349975
a97	0.00468025	0.00310081	0.00367824	0.00749572	0.0124749	0.0275484	0.0746304	0.256182	0.250907	0.359302
a87	0.00415209	0.00242632	0.00245596	0.0044629	0.00595318	0.00960587	0.0490276	0.248363	0.272796	0.400757
</S>	0.0101497	0.00693986	0.00641851	0.0113803	0.0138777	0.0206094	0.071567	0.273429	0.250241	0.335387
