 	le	forgeron	polit	le	manche	de	la	houe	</S>
a23	0.311814	0.179254	0.162005	0.108959	0.0986954	0.0722937	0.0336611	0.0182325	0.0150853
a30	0.394014	0.178427	0.149803	0.0703801	0.053177	0.0495043	0.0394487	0.0346089	0.0306369
a13	0.244408	0.20715	0.198843	0.093944	0.0320044	0.0265795	0.038826	0.060004	0.0982412
a57	0.364537	0.227001	0.148137	0.0542422	0.0321712	0.0284667	0.0350015	0.0481578	0.0622855
a4	0.353753	0.267167	0.192801	0.0535721	0.0279562	0.0229836	0.0243382	0.0276875	0.0297418
a90	0.302612	0.280542	0.205325	0.0546868	0.0246312	0.0216614	0.0258001	0.0353925	0.0493485
a98	0.223688	0.221313	0.219887	0.082341	0.0446322	0.0377829	0.039338	0.0537607	0.0772574
a92	0.160308	0.162279	0.165593	0.0915807	0.0657822	0.0606163	0.0666962	0.100141	0.127004
a85	0.194753	0.196618	0.207954	0.0966669	0.0705511	0.057771	0.0455088	0.0566209	0.0735558
a47	0.105727	0.122006	0.16964	0.126186	0.116551	0.097511	0.069398	0.0817698	0.111212
a36	0.0756346	0.108805	0.163976	0.107205	0.0830405	0.072743	0.0709789	0.124066	0.193551
a75	0.101689	0.135828	0.222552	0.134119	0.0803264	0.064891	0.0555948	0.079999	0.125002
a5	0.0399381	0.0546579	0.148584	0.156428	0.141263	0.110549	0.0807635	0.105023	0.162794
a18	0.0281512	0.0417884	0.127627	0.1446	0.14411	0.114703	0.0911095	0.123285	0.184626
a21	0.0435218	0.0622122	0.146461	0.184057	0.140297	0.0924789	0.0674487	0.0906556	0.172868
a5	0.0620458	0.0696778	0.115944	0.154607	0.148767	0.11574	0.0816097	0.0904287	0.16118
a27	0.037006	0.0413866	0.0691299	0.0957698	0.108741	0.103635	0.103494	0.151782	0.289057
a75	0.0375828	0.0432477	0.0660452	0.100112	0.108121	0.098659	0.0983115	0.146666	0.301255
a85	0.0243123	0.0243959	0.0373646	0.0699828	0.0961678	0.107587	0.123546	0.166435	0.350209
a61	0.030108	0.0280089	0.0372485	0.064121	0.0892889	0.111785	0.149132	0.177634	0.312673
a21	0.0106391	0.0120432	0.0278053	0.0466573	0.0641427	0.0850336	0.140957	0.214436	0.398287
a61	0.00912205	0.0106576	0.022399	0.0354116	0.0446984	0.0597659	0.115368	0.228709	0.473868
a43	0.00408044	0.00477548	0.0108204	0.0204419	0.0287795	0.0415009	0.0932896	0.233654	0.562658
a21	0.0014184	0.00130161	0.00347189	0.00803331	0.0139729	0.024306	0.0707743	0.232187	0.644534
a47	0.00640607	0.00708076	0.0113897	0.0166985	0.0218447	0.0351805	0.0955651	0.247157	0.558678
a88	0.00300763	0.00274373	0.00582926	0.0120329	0.0185012	0.0315895	0.0926703	0.240343	0.593282
a71	0.00491092	0.00316247	0.00356328	0.00768478	0.0123993	0.0269012	0.0945446	0.252809	0.594025
a25	0.0187987	0.00848646	0.00989495	0.0173306	0.0345528	0.0792052	0.150314	0.250424	0.430993
a87	0.0481395	0.019754	0.0203899	0.0309538	0.0637507	0.132983	0.177597	0.213962	0.29247
a23	0.100136	0.0405474	0.0424124	0.0670587	0.120894	0.161346	0.149801	0.150852	0.166954
a87	0.0116368	0.00692017	0.0101236	0.0225659	0.0437421	0.0858927	0.176262	0.272815	0.370042
</S>	0.00341428	0.0029635	0.00743766	0.0190877	0.0459943	0.102603	0.194412	0.278654	0.345435
