 	on	a	déjà	engrossé	cette	fille-là	</S>
a27	0.236755	0.140162	0.110917	0.100195	0.11548	0.154074	0.142418
a87	0.329847	0.191158	0.124438	0.0892945	0.0987123	0.103457	0.0630938
a23	0.373492	0.232425	0.148296	0.10932	0.0611133	0.0466345	0.028719
a26	0.285633	0.173584	0.154775	0.167634	0.11721	0.0668573	0.0343072
a13	0.316791	0.20681	0.152364	0.118519	0.0895387	0.0636595	0.0523183
a83	0.251885	0.179816	0.167914	0.16339	0.0972358	0.0677684	0.0719911
a24	0.165889	0.152789	0.180346	0.220326	0.107267	0.085316	0.088066
a11	0.108976	0.119078	0.154628	0.197668	0.124995	0.140188	0.154466
a96	0.0811254	0.100587	0.136751	0.180885	0.11223	0.155291	0.233131
a18	0.0873402	0.129033	0.189394	0.226352	0.105646	0.123849	0.138386
a61	0.0428163	0.0650161	0.108027	0.162274	0.114607	0.189919	0.31734
a96	0.0395892	0.0667309	0.12304	0.187809	0.122829	0.185442	0.27456
a88	0.0256489	0.0398216	0.0802958	0.148482	0.127394	0.216741	0.361617
a0	0.0168843	0.0262461	0.0554397	0.107574	0.144813	0.256432	0.392612
a54	0.0079147	0.0113185	0.0262153	0.0622922	0.117086	0.249407	0.525766
a56	0.0101587	0.0143734	0.0356737	0.088403	0.175371	0.283483	0.392537
a37	0.00662929	0.00846997	0.0192724	0.0421672	0.128928	0.256805	0.537728
a44	0.00131927	0.001533	0.00392891	0.0129359	0.080405	0.243406	0.656472
a70	0.00134739	0.00150576	0.00366028	0.0112087	0.0806594	0.228556	0.673062
a99	0.000666413	0.000785806	0.00189318	0.00581209	0.0497287	0.190943	0.750171
a13	0.000286053	0.000322942	0.000798973	0.00279846	0.0447858	0.223324	0.727684
a99	0.00275353	0.00242353	0.00428744	0.00857234	0.0825242	0.27225	0.627189
a97	0.0161587	0.0125157	0.0165935	0.0210724	0.0897146	0.249519	0.594427
a87	0.122676	0.0928071	0.0959972	0.0842728	0.14101	0.215108	0.248129
a23	0.145402	0.120273	0.124169	0.111458	0.189007	0.187183	0.122509
a87	0.187223	0.134121	0.126867	0.0942223	0.142809	0.151732	0.163027
</S>	0.152099	0.13451	0.141052	0.10776	0.179901	0.155432	0.129246
