 	la	vache	beugle	</S>
a23	0.625914	0.272874	0.0616587	0.0395538
a13	0.663374	0.230736	0.0594706	0.0464198
a53	0.467285	0.287598	0.157075	0.088042
a20	0.576854	0.267117	0.0824276	0.0736011
a44	0.420908	0.336723	0.136697	0.105672
a38	0.368042	0.317194	0.206213	0.108551
a41	0.33717	0.286603	0.236443	0.139783
a94	0.398035	0.274056	0.176481	0.151428
a54	0.242175	0.238516	0.247079	0.27223
a73	0.16529	0.154441	0.235834	0.444434
a35	0.0693324	0.0999389	0.24469	0.586039
a12	0.0810068	0.0901727	0.218992	0.609828
a41	0.0666308	0.078765	0.274997	0.579608
a73	0.0700616	0.0851134	0.260357	0.584468
a26	0.0716939	0.0779191	0.22852	0.621867
a82	0.071197	0.0908137	0.219769	0.618221
a87	0.141761	0.164012	0.206736	0.487491
</S>	0.171642	0.222122	0.276558	0.329677
