 	il	souffre	toujours	des	pal	pitations	</S>
a66	0.284729	0.24077	0.144597	0.160125	0.116474	0.0361399	0.0171654
a87	0.640787	0.216062	0.0598075	0.0355363	0.0355266	0.00799014	0.00429124
a23	0.555995	0.184123	0.112807	0.0872249	0.0386731	0.0121071	0.0090691
a30	0.391516	0.201619	0.16286	0.152064	0.052329	0.0167702	0.0228413
a93	0.393708	0.199383	0.162373	0.175907	0.0466417	0.0121581	0.00982888
a44	0.251768	0.277089	0.217338	0.166791	0.0646385	0.0131649	0.00921088
a75	0.183655	0.238958	0.229974	0.221941	0.10502	0.0135795	0.00687321
a56	0.140206	0.209076	0.222258	0.232635	0.16108	0.0252381	0.00950715
a44	0.0968665	0.13886	0.229491	0.28216	0.191372	0.037276	0.0239745
a62	0.0939341	0.13052	0.208202	0.278404	0.206055	0.0493796	0.0335053
a47	0.0856618	0.123328	0.194804	0.300961	0.214933	0.0503225	0.02999
a12	0.0728357	0.0870372	0.154372	0.288625	0.26352	0.0788394	0.0547711
a56	0.0348548	0.0435446	0.0844994	0.249036	0.264057	0.178868	0.14514
a93	0.0215483	0.0261096	0.0542526	0.212212	0.279996	0.219018	0.186863
a56	0.0146144	0.0161306	0.0314589	0.102093	0.156713	0.338438	0.340552
a93	0.00954183	0.00908528	0.0132744	0.0417713	0.0910326	0.374821	0.460474
a54	0.00385723	0.00360362	0.00460454	0.0136245	0.0412663	0.330409	0.602634
a36	0.00168679	0.00121924	0.00159079	0.00330127	0.0146371	0.257066	0.720499
a7	0.00234685	0.000975219	0.000889065	0.00106736	0.00472683	0.174678	0.815317
a26	0.00576653	0.00238119	0.00214844	0.00224401	0.00852359	0.210738	0.768198
a84	0.0676901	0.0315223	0.0360636	0.0344873	0.0627664	0.253763	0.513707
a57	0.27052	0.103543	0.0772352	0.0707294	0.105386	0.192188	0.180398
a87	0.23564	0.114984	0.0762514	0.0711716	0.138394	0.212996	0.150563
a23	0.194361	0.10089	0.066966	0.0664409	0.144948	0.25297	0.173423
a99	0.0898991	0.0528437	0.0468851	0.0486657	0.0777344	0.187828	0.496144
a97	0.0604439	0.0264941	0.0270222	0.0466548	0.106141	0.253846	0.479399
</S>	0.0452416	0.0203642	0.0281907	0.0483679	0.0750543	0.188039	0.594743
