 	c'	est	sa	maman	qui	encourage	cet	enfant	</S>
a66	0.183125	0.169557	0.14935	0.130318	0.107603	0.125451	0.0740327	0.0388004	0.0217624
a87	0.210091	0.193501	0.144395	0.112961	0.0862591	0.113205	0.0706123	0.0408964	0.0280794
a79	0.238085	0.217032	0.170961	0.119752	0.0689671	0.0890044	0.0478461	0.025247	0.0231049
a69	0.202403	0.169579	0.153666	0.15044	0.0979234	0.122124	0.0580727	0.0266248	0.0191666
a20	0.216279	0.18426	0.136195	0.106704	0.0817358	0.119123	0.0722724	0.0448234	0.0386069
a54	0.193378	0.18902	0.163877	0.126612	0.09235	0.104161	0.0638025	0.0374817	0.0293169
a5	0.189871	0.193932	0.163664	0.120921	0.0933278	0.102406	0.0623612	0.0420804	0.0314372
a43	0.180451	0.175583	0.137441	0.093366	0.0899846	0.106283	0.0881085	0.0729469	0.0558363
a35	0.161553	0.150817	0.137749	0.109228	0.104073	0.113389	0.0828268	0.0746896	0.0656755
a98	0.107455	0.104736	0.111886	0.105205	0.12804	0.138531	0.115707	0.104529	0.0839107
a79	0.0548238	0.0564191	0.0881984	0.111865	0.155717	0.146518	0.131606	0.131569	0.123283
a98	0.0340581	0.031612	0.056047	0.093705	0.164719	0.17509	0.147956	0.149704	0.147109
a47	0.0235005	0.0233987	0.0463478	0.0849806	0.15178	0.185836	0.167233	0.159238	0.157685
a92	0.0125076	0.0137405	0.0334185	0.0715494	0.12987	0.155995	0.169098	0.186977	0.226843
a37	0.0100434	0.00967811	0.0216037	0.0512355	0.102288	0.135393	0.203895	0.232177	0.233687
a94	0.007291	0.00592014	0.00951624	0.0229218	0.0558722	0.097824	0.223108	0.289361	0.288187
a93	0.00398286	0.00316584	0.00404749	0.00805799	0.0208328	0.0475868	0.152738	0.303166	0.456423
a4	0.00350399	0.00261511	0.00347875	0.00753189	0.0206907	0.0388684	0.105772	0.276868	0.540672
a57	0.00548286	0.00394575	0.00521644	0.0106962	0.0273312	0.0536246	0.132039	0.279694	0.48197
a3	0.0155403	0.00994335	0.00992839	0.0171832	0.0369349	0.0657297	0.119758	0.250561	0.474421
a87	0.140495	0.091138	0.0698176	0.0678532	0.0815267	0.101734	0.113726	0.139111	0.194598
a23	0.267258	0.17443	0.119753	0.0891197	0.0760676	0.0885124	0.0770553	0.0570891	0.0507143
a87	0.0620664	0.0414514	0.0358564	0.042995	0.0592304	0.11334	0.193569	0.215725	0.235767
a97	0.0196475	0.0138068	0.0129893	0.0185413	0.0362525	0.0852825	0.185823	0.253248	0.374409
</S>	0.0403782	0.0328067	0.0342921	0.0422173	0.0592317	0.111308	0.18702	0.215016	0.27773
