 	il	a	des	gestes	brusques	</S>
a23	0.379396	0.270636	0.139168	0.0920821	0.0608387	0.057879
a99	0.58755	0.248011	0.0766396	0.0252087	0.0214113	0.0411792
a30	0.411924	0.285581	0.113487	0.0527865	0.0428047	0.093417
a90	0.28999	0.276133	0.141742	0.0751754	0.0757177	0.141242
a98	0.432972	0.243319	0.105102	0.0738112	0.0778487	0.066947
a92	0.37499	0.269317	0.140623	0.0905833	0.0633023	0.0611835
a37	0.40227	0.312919	0.149009	0.061521	0.0351303	0.0391507
a98	0.278901	0.225674	0.17185	0.137702	0.0914937	0.09438
a92	0.214203	0.184192	0.160671	0.16018	0.133048	0.147706
a36	0.156648	0.141115	0.159969	0.211864	0.160927	0.169477
a11	0.0710818	0.062385	0.105297	0.239409	0.245056	0.276771
a75	0.0224083	0.0239563	0.0473167	0.138112	0.267019	0.501187
a35	0.0205637	0.0223234	0.0485881	0.169847	0.283814	0.454863
a2	0.0153899	0.0201859	0.0452388	0.133979	0.248703	0.536503
a57	0.00324658	0.00500595	0.0146644	0.0549892	0.271768	0.650326
a99	0.0102475	0.0104642	0.019886	0.0507022	0.231565	0.677135
a9	0.0477094	0.0406818	0.0471625	0.0755362	0.22647	0.56244
a99	0.187743	0.120906	0.0995036	0.119487	0.158507	0.313853
a97	0.18488	0.143898	0.124134	0.122176	0.14635	0.278563
a99	0.126339	0.107075	0.12155	0.143797	0.181226	0.320013
a97	0.070194	0.0715429	0.0903321	0.1164	0.205131	0.4464
</S>	0.0789021	0.084556	0.101045	0.114736	0.190207	0.430554
