 	j'	ai	attrapé	une	grenouille	dans	la	petite	nasse	</S>
a66	0.265037	0.138914	0.0999217	0.0880586	0.0886908	0.0759225	0.0743726	0.0631386	0.0593564	0.0465877
a10	0.462921	0.229948	0.11266	0.0543205	0.0382328	0.0253483	0.0230647	0.0193965	0.0191556	0.0149529
a38	0.358439	0.199616	0.119143	0.0664652	0.0631329	0.0391377	0.0364655	0.0347537	0.0407719	0.042075
a62	0.388376	0.195935	0.11817	0.0774153	0.0665551	0.0355872	0.0281739	0.025025	0.0304281	0.0343348
a47	0.490074	0.223758	0.114736	0.0654036	0.038789	0.0179729	0.0127815	0.00960736	0.0122752	0.0146026
a31	0.327926	0.267345	0.187238	0.103665	0.0479602	0.0227768	0.0120634	0.00852745	0.0103212	0.0121778
a88	0.255857	0.25399	0.226467	0.136094	0.0663861	0.0310055	0.0119864	0.00638144	0.00584669	0.00598574
a62	0.157364	0.214346	0.234672	0.14964	0.0998082	0.063722	0.0307326	0.0182625	0.0153077	0.016145
a12	0.122592	0.165453	0.201932	0.146498	0.130142	0.101126	0.058222	0.0333419	0.0218545	0.018839
a62	0.0914909	0.104609	0.141305	0.125902	0.140907	0.151722	0.115284	0.0667125	0.0357261	0.0263433
a75	0.0658109	0.062653	0.0930381	0.105209	0.143085	0.17759	0.166204	0.105954	0.051288	0.0291672
a79	0.012593	0.0111558	0.024573	0.0460462	0.0989852	0.180918	0.201938	0.176146	0.14095	0.106694
a92	0.0114491	0.0100612	0.0221568	0.0436536	0.097732	0.177151	0.226549	0.19917	0.130681	0.0813966
a56	0.0124005	0.0100226	0.0203848	0.0438722	0.0951714	0.165061	0.214775	0.204557	0.143664	0.0900924
a92	0.0091948	0.00752322	0.0149045	0.0353114	0.0741024	0.141152	0.211341	0.222935	0.171157	0.112379
a21	0.00374248	0.00307224	0.00664849	0.0168339	0.0466863	0.107638	0.19026	0.245398	0.219349	0.160371
a12	0.00161415	0.00157914	0.00310662	0.00744341	0.0221723	0.0715164	0.161207	0.250724	0.256245	0.224392
a18	0.00161903	0.0014276	0.00282202	0.00701024	0.0189566	0.056152	0.138766	0.227253	0.256033	0.289961
a25	0.000635367	0.000546171	0.000972379	0.00253479	0.00956644	0.026971	0.0880618	0.188078	0.267847	0.414787
a87	0.000728012	0.000753019	0.00110384	0.00213506	0.00594069	0.0148846	0.0549005	0.151782	0.268796	0.498976
a10	0.0221156	0.0161584	0.0178616	0.0231637	0.0331685	0.0606597	0.109669	0.201957	0.244368	0.270879
a87	0.146855	0.080897	0.0459188	0.036015	0.0328852	0.0427984	0.0717403	0.150653	0.201818	0.190419
a23	0.181993	0.115378	0.0679539	0.0489472	0.0379345	0.0445863	0.0724535	0.136367	0.162711	0.131674
a97	0.0364149	0.0184564	0.018031	0.0264296	0.0353841	0.0564383	0.104246	0.199357	0.267485	0.237757
a3	0.0172228	0.010452	0.00963989	0.0125322	0.0236238	0.0490854	0.0897526	0.167614	0.259927	0.36015
</S>	0.0428126	0.026698	0.0207167	0.0201057	0.027603	0.0407191	0.0812074	0.161651	0.245838	0.332648
