 	au	service	on	m'	a	fait	un	crédit	pour	mon	mariage	</S>
a15	0.112163	0.0665956	0.0646137	0.102189	0.140654	0.190958	0.152742	0.069673	0.0310235	0.0249561	0.0231836	0.021249
a87	0.0536739	0.0517751	0.073262	0.113976	0.10884	0.107884	0.105329	0.0785335	0.0777573	0.0855248	0.0793795	0.0640654
a23	0.188176	0.103145	0.0584562	0.0503396	0.0419869	0.0412597	0.0366613	0.0313746	0.0527954	0.0795086	0.124342	0.191955
a87	0.354157	0.237592	0.0883819	0.0624563	0.040897	0.0359997	0.0249227	0.0199832	0.0210474	0.0263218	0.033588	0.0546528
a10	0.303571	0.180452	0.0852348	0.0786662	0.0562244	0.0530911	0.0384403	0.0330968	0.0373554	0.0391247	0.044445	0.0502985
a50	0.414856	0.162815	0.0729107	0.0642349	0.0381985	0.0357024	0.0283043	0.0240646	0.0344467	0.0383397	0.0426719	0.0434552
a62	0.466172	0.230726	0.100788	0.0648186	0.0313966	0.0203889	0.0124029	0.00941422	0.00959858	0.011418	0.0181233	0.0247531
a83	0.525258	0.309397	0.0806252	0.0376841	0.0148637	0.00877356	0.00500618	0.00337366	0.00295523	0.0031446	0.00407256	0.00484628
a47	0.426909	0.281394	0.0915743	0.0552618	0.0338879	0.0273382	0.0184443	0.0134162	0.0112967	0.0110392	0.0139454	0.0154927
a31	0.249279	0.232086	0.136947	0.105727	0.0682919	0.0551358	0.0363453	0.0293203	0.021393	0.0205094	0.0233416	0.0216229
a0	0.252142	0.208568	0.144422	0.115282	0.0807896	0.0633289	0.0373882	0.0268548	0.0178874	0.0154914	0.0175534	0.0202923
a75	0.0838402	0.0815337	0.115559	0.139951	0.133863	0.121053	0.0780896	0.0563046	0.0426119	0.0389197	0.0477488	0.0605251
a85	0.115516	0.096234	0.165377	0.197867	0.146725	0.106649	0.0627465	0.0358259	0.0182819	0.0149289	0.0174253	0.0224241
a36	0.0892045	0.10978	0.20315	0.202511	0.136067	0.0965551	0.0581668	0.0324588	0.0181264	0.0149922	0.0168162	0.0221722
a26	0.0558166	0.0530045	0.0985479	0.184834	0.218969	0.177947	0.0896487	0.0405344	0.0178828	0.0152523	0.0187031	0.0288597
a57	0.0288718	0.0251597	0.0428643	0.0883554	0.155411	0.185921	0.139278	0.0810693	0.0481212	0.0476926	0.0650419	0.0922134
a87	0.0176956	0.0145353	0.0281063	0.065117	0.124412	0.160837	0.132225	0.110074	0.092956	0.0768158	0.0815053	0.0957205
a40	0.0440441	0.0341802	0.0549565	0.0937833	0.128032	0.154683	0.130873	0.102876	0.074972	0.0609042	0.05704	0.0636562
a26	0.0670417	0.0343689	0.038962	0.0520218	0.0594554	0.0655991	0.0593795	0.0770716	0.0929629	0.0840864	0.128053	0.240998
a57	0.021225	0.0158563	0.0273936	0.0476708	0.0814569	0.114501	0.128078	0.121946	0.0961171	0.0775998	0.103265	0.164889
a79	0.0282465	0.0251296	0.042668	0.0700152	0.103241	0.132974	0.127564	0.111663	0.0883348	0.0742207	0.0835314	0.112412
a21	0.0477311	0.0290814	0.0309525	0.0418101	0.0561515	0.0671867	0.0603032	0.0834186	0.0932767	0.0844833	0.135748	0.269857
a47	0.070707	0.0621984	0.0776112	0.111809	0.143387	0.139394	0.10769	0.070589	0.0427843	0.0387548	0.0499909	0.0850843
a96	0.0592374	0.0478438	0.053175	0.0890665	0.128009	0.134564	0.127631	0.100185	0.0559841	0.0484393	0.0642058	0.0916583
a83	0.0324201	0.0297297	0.0378794	0.0704765	0.126947	0.148155	0.146044	0.119516	0.0654686	0.0569633	0.0712121	0.0951888
a62	0.0292146	0.0260514	0.0325167	0.0619166	0.118231	0.137332	0.132422	0.110663	0.0684775	0.0669011	0.0918493	0.124425
a83	0.0376097	0.0375303	0.0505065	0.0813486	0.132266	0.13987	0.127076	0.113487	0.0720017	0.06367	0.067239	0.0773952
a24	0.014533	0.0145594	0.0194013	0.03704	0.0776735	0.0983715	0.106902	0.131551	0.102611	0.103541	0.132574	0.161243
a83	0.00635819	0.00646788	0.00877557	0.0164756	0.0347087	0.0491821	0.0624087	0.0987056	0.098579	0.137159	0.223811	0.257368
a75	0.00523029	0.00534944	0.00736713	0.0136769	0.0285266	0.039236	0.0492106	0.0856974	0.107178	0.151062	0.234755	0.272711
a96	0.00729295	0.00657596	0.00908983	0.0138915	0.0236636	0.0350381	0.0470146	0.105949	0.106802	0.116812	0.181803	0.346069
a62	0.00185246	0.00209096	0.00299898	0.00519429	0.0101411	0.016068	0.0242297	0.0659463	0.0910241	0.141832	0.262023	0.376599
a83	0.00416532	0.00427216	0.00568759	0.00848268	0.0139776	0.0207311	0.0295478	0.0761398	0.104623	0.156032	0.244084	0.332256
a75	0.000562172	0.000666694	0.00100654	0.00175328	0.00342955	0.00571624	0.00985943	0.0361199	0.0684448	0.130989	0.286938	0.454514
a85	0.00203359	0.0017687	0.00222446	0.00324464	0.00524184	0.00754542	0.012244	0.0455337	0.0729435	0.12076	0.238848	0.487612
a61	0.00236459	0.00215828	0.00318057	0.00557063	0.00932502	0.0138006	0.0180778	0.0507384	0.0760535	0.131188	0.245584	0.441959
a21	0.000619359	0.000689178	0.000867993	0.00129695	0.00229208	0.00373297	0.00744248	0.0371514	0.0755856	0.128164	0.264401	0.477757
a5	0.00215993	0.00185703	0.00205286	0.0029009	0.00455403	0.00643156	0.0113136	0.0452812	0.0719895	0.116948	0.245863	0.488648
a85	0.000743579	0.00069588	0.000775789	0.000988521	0.00150108	0.00215068	0.00445315	0.0221946	0.0467825	0.0957907	0.256869	0.567054
a37	0.00252222	0.00228355	0.00206521	0.00242352	0.00357082	0.00563688	0.0110934	0.0387828	0.0701276	0.124378	0.248891	0.488226
a56	0.000430482	0.000386493	0.000460035	0.000588229	0.000893169	0.0014628	0.00365314	0.0181256	0.0428937	0.0904684	0.256986	0.583652
a92	0.000771672	0.000636917	0.000697323	0.000869081	0.00121108	0.00172273	0.00379523	0.0190428	0.0469222	0.0945157	0.245434	0.584381
a43	0.000333972	0.000287213	0.000328345	0.000416924	0.000612718	0.000869427	0.00198697	0.0101336	0.0314361	0.0823251	0.264282	0.606987
a0	0.000163305	0.000164795	0.000230549	0.000345276	0.000547523	0.000910378	0.00194054	0.0111267	0.044026	0.115638	0.311245	0.513662
a9	0.00153034	0.00112376	0.00123504	0.00138791	0.00145247	0.00205534	0.00366028	0.0185214	0.091984	0.17403	0.323453	0.379566
a10	0.0512446	0.0355502	0.0300809	0.0282221	0.0237507	0.0255504	0.0305211	0.0570212	0.123655	0.176065	0.205541	0.212799
a87	0.0530221	0.0433285	0.0275101	0.0204992	0.0182752	0.0239908	0.0301172	0.0416474	0.0725891	0.131416	0.217692	0.319912
a23	0.0456544	0.0380788	0.0300261	0.0305566	0.0368149	0.0450816	0.0494393	0.0514544	0.086021	0.139286	0.187325	0.260262
a99	0.0215949	0.0188547	0.0114385	0.00949842	0.0110616	0.0127878	0.0167204	0.0233611	0.0533414	0.105908	0.199552	0.515881
a97	0.0133814	0.00938723	0.00803963	0.00957989	0.0113315	0.0113702	0.0138392	0.0209569	0.0458342	0.0946852	0.210068	0.551526
</S>	0.020462	0.0148287	0.013997	0.0142243	0.014985	0.0155392	0.018833	0.0243571	0.0435055	0.0871926	0.189553	0.542523
