 	l'	antilope	est	toujours	plongée	dans	le	sommeil	</S>
a66	0.275777	0.272682	0.19135	0.12974	0.061097	0.0270352	0.0185561	0.0116687	0.0120938
a87	0.201053	0.203043	0.177374	0.177626	0.126071	0.0529225	0.031129	0.0178059	0.0129761
a10	0.247252	0.270138	0.226522	0.143646	0.077925	0.0175784	0.00683526	0.00560371	0.00449908
a87	0.27322	0.2836	0.205471	0.133579	0.0632424	0.0139047	0.00766005	0.00839086	0.0109312
a23	0.262689	0.265483	0.201967	0.147345	0.0833279	0.0192372	0.00732563	0.00584092	0.00678477
a50	0.297268	0.278652	0.162982	0.096391	0.0667538	0.0339363	0.0175072	0.0207073	0.025802
a62	0.336598	0.272851	0.137608	0.105435	0.0705746	0.0274613	0.0137816	0.0177805	0.0179106
a88	0.22069	0.239231	0.174494	0.187118	0.0989073	0.0419014	0.0169809	0.0126411	0.00803626
a0	0.11027	0.128393	0.128905	0.20769	0.159325	0.135192	0.0664859	0.0404857	0.023254
a31	0.0581485	0.0543323	0.0542443	0.110747	0.141645	0.204376	0.164693	0.137733	0.0740809
a62	0.0632967	0.0621566	0.076065	0.149392	0.20482	0.218136	0.116811	0.0704946	0.0388268
a21	0.0508941	0.0374953	0.0494747	0.0940776	0.211138	0.217636	0.152405	0.122908	0.0639716
a92	0.0261709	0.0213377	0.0306266	0.0612882	0.146433	0.226654	0.212822	0.17012	0.104547
a98	0.0157663	0.0113682	0.017514	0.0364359	0.0989248	0.15283	0.198288	0.234766	0.234107
a47	0.0128751	0.0105882	0.0165284	0.0285047	0.0587691	0.11656	0.24163	0.282659	0.231885
a0	0.00961648	0.00604125	0.00647144	0.00654529	0.0117379	0.034379	0.123411	0.299981	0.501817
a37	0.0116429	0.00808518	0.0063713	0.00470232	0.00707975	0.0226448	0.083863	0.255441	0.60017
a93	0.0109422	0.00992127	0.00781605	0.00430711	0.00372142	0.011672	0.0503189	0.199396	0.701905
a25	0.00625246	0.00587153	0.00497035	0.00336108	0.00328086	0.014316	0.0617825	0.20126	0.698905
a92	0.00370425	0.00365429	0.00285042	0.00179876	0.00193494	0.00806716	0.0323822	0.149268	0.79634
a56	0.000860854	0.000804481	0.000731216	0.000461422	0.000710919	0.00386963	0.0210493	0.134499	0.837013
a92	0.000820371	0.000725779	0.000719389	0.000603393	0.000876613	0.0062406	0.0351732	0.175113	0.779728
a37	0.000484274	0.000424816	0.000379367	0.000255251	0.000480305	0.00322436	0.0208801	0.149347	0.824524
a66	0.00274156	0.00261097	0.0023321	0.00157457	0.00135978	0.00588952	0.0235152	0.138979	0.820997
a25	0.0716982	0.0685556	0.0528756	0.0346577	0.0221035	0.0402433	0.0689287	0.13401	0.506927
a10	0.255791	0.236377	0.159178	0.0719904	0.0364672	0.0348489	0.0462564	0.0594314	0.0996597
a87	0.261244	0.265147	0.215217	0.099746	0.0415076	0.0203071	0.0225579	0.0301118	0.044161
a23	0.211132	0.224064	0.202118	0.1267	0.0752326	0.0354316	0.0338574	0.0424065	0.049058
a87	0.144461	0.157709	0.129654	0.0715683	0.0329704	0.021586	0.0471624	0.123389	0.2715
</S>	0.0174102	0.0178422	0.014541	0.0105016	0.00798354	0.0181291	0.0760486	0.292779	0.544765
