 	j'	ai	déjà	attrapé	le	poisson	papillon	dans	le	ruisseau	vouma	</S>
a66	0.217267	0.140004	0.103352	0.0894509	0.0728707	0.109061	0.103028	0.061527	0.0425087	0.0268481	0.0170794	0.0170026
a87	0.464343	0.206304	0.087121	0.0515782	0.0403719	0.0407896	0.0262111	0.024347	0.0217578	0.0143206	0.0109247	0.0119315
a23	0.370162	0.217193	0.127925	0.0837268	0.0595198	0.0497204	0.0280195	0.0178711	0.0131192	0.0109394	0.0100395	0.0117645
a40	0.241795	0.175572	0.108468	0.101847	0.0837157	0.0629152	0.040723	0.0384621	0.0337774	0.026659	0.0368645	0.0492017
a54	0.272764	0.168708	0.0897553	0.0856689	0.065169	0.0746765	0.0667664	0.0487954	0.0402168	0.0339798	0.0268925	0.0266072
a79	0.0879178	0.107345	0.103511	0.12549	0.112065	0.106571	0.12008	0.0806364	0.0561203	0.0426761	0.0281579	0.0294305
a44	0.084466	0.122491	0.13608	0.142074	0.131986	0.125148	0.120846	0.0671609	0.03344	0.0167885	0.00938179	0.0101374
a4	0.0480911	0.0898017	0.130564	0.142271	0.139098	0.141325	0.124241	0.0761696	0.0409632	0.0231175	0.0201159	0.0242422
a57	0.0311761	0.0583146	0.0947697	0.131619	0.143147	0.144054	0.144175	0.0941059	0.0538019	0.0336485	0.0330811	0.0381077
a50	0.0264213	0.0517488	0.0835832	0.132609	0.141172	0.131496	0.1377	0.0908631	0.0595212	0.0428731	0.0467489	0.0552635
a88	0.011638	0.0122446	0.0205311	0.0400317	0.0609017	0.0893046	0.149878	0.121103	0.115972	0.102682	0.124809	0.150904
a75	0.0147805	0.0149929	0.0225242	0.0370317	0.0582223	0.0914657	0.194823	0.145493	0.120671	0.0921756	0.0958368	0.111984
a5	0.00944801	0.0102689	0.0156585	0.023279	0.0358663	0.0536692	0.115169	0.154466	0.167278	0.142652	0.133813	0.138432
a18	0.0115617	0.0111443	0.0143737	0.0202229	0.0262617	0.0369697	0.0898077	0.125689	0.164437	0.16708	0.163988	0.168465
a75	0.0118353	0.00920025	0.0119456	0.0192539	0.031081	0.0477119	0.119431	0.157916	0.182705	0.150659	0.126122	0.132138
a85	0.00812736	0.00782083	0.0100991	0.0129151	0.0192936	0.0283527	0.0763966	0.124129	0.152909	0.158177	0.192436	0.209344
a6	0.00940066	0.00857608	0.0106507	0.0120353	0.0177847	0.0280333	0.0676212	0.103706	0.113083	0.129008	0.215262	0.284838
a0	0.00648658	0.00366836	0.00441938	0.00459042	0.00735607	0.0171497	0.0603226	0.116262	0.145173	0.152553	0.211549	0.270469
a54	0.00963672	0.00552939	0.00582858	0.00564503	0.00857083	0.0175722	0.0388777	0.0736855	0.0974077	0.136187	0.241318	0.35974
a79	0.00545027	0.00274002	0.0027986	0.00248837	0.00392943	0.00790396	0.0291515	0.064117	0.0874716	0.138462	0.27496	0.380528
a44	0.00369078	0.00215502	0.00241552	0.00214085	0.00334823	0.00696725	0.0202563	0.0399046	0.063028	0.125113	0.300502	0.430478
a53	0.00257658	0.00161018	0.00186119	0.00171262	0.00238782	0.00460841	0.0118529	0.0290447	0.0490472	0.128109	0.330976	0.436213
a4	0.00256446	0.00156099	0.0016215	0.00132425	0.00178056	0.00315491	0.00763941	0.0208177	0.0408528	0.112511	0.346517	0.459656
a44	0.00209348	0.00133071	0.00145158	0.00136949	0.00190116	0.00302262	0.00559806	0.0136279	0.030386	0.0982069	0.331921	0.509091
a26	0.000981036	0.00060811	0.000624375	0.000513477	0.000815415	0.00132987	0.00226629	0.00649828	0.0213028	0.0877281	0.334274	0.543058
a57	0.00457804	0.00295635	0.00309448	0.00235418	0.00346471	0.00544014	0.010261	0.021586	0.0521233	0.123504	0.323078	0.44756
a87	0.0383862	0.0229971	0.0211161	0.0176106	0.0180982	0.0227278	0.0257235	0.028149	0.0450666	0.101622	0.277284	0.381219
a23	0.362726	0.181433	0.115753	0.0685808	0.0525458	0.0541984	0.0353672	0.0221836	0.0178325	0.0207638	0.0324031	0.0362127
a87	0.267305	0.124618	0.0821511	0.0525113	0.0408691	0.0455013	0.0540621	0.0411091	0.036736	0.0533497	0.0877136	0.114073
</S>	0.0784942	0.0469878	0.0345829	0.0223094	0.0200659	0.0220902	0.0383727	0.0422096	0.0498837	0.106769	0.239942	0.298292
