 	nous	sommes	en	train	de	causer	sous	le	manguier	</S>
a66	0.276784	0.135366	0.0812225	0.0728224	0.101853	0.0990169	0.0617931	0.0823484	0.0617265	0.0270675
a87	0.178372	0.0853514	0.0762346	0.109369	0.147419	0.207067	0.105971	0.0502989	0.0267977	0.0131194
a23	0.221235	0.173446	0.161283	0.131387	0.131885	0.101888	0.0298249	0.0165893	0.0162171	0.0162444
a50	0.202873	0.152757	0.176199	0.144205	0.119375	0.125109	0.0372933	0.0165397	0.0125144	0.0131329
a0	0.306314	0.142521	0.136391	0.10574	0.109158	0.0881641	0.02489	0.0212294	0.0314482	0.0341447
a31	0.303407	0.141436	0.135829	0.114768	0.107717	0.0867454	0.038617	0.0252657	0.0245844	0.0216293
a11	0.229993	0.206743	0.206308	0.149334	0.0996389	0.059528	0.0287963	0.00907293	0.00636394	0.00422233
a90	0.110467	0.158649	0.224189	0.208072	0.145333	0.0795228	0.0430366	0.0135009	0.00994897	0.00727956
a75	0.0776596	0.133119	0.192846	0.224341	0.153189	0.0968713	0.0688466	0.0243722	0.0161163	0.0126383
a21	0.0807806	0.0998714	0.13973	0.182615	0.143909	0.110325	0.103035	0.0687911	0.0414875	0.0294561
a5	0.0679212	0.0740781	0.103128	0.164564	0.117667	0.150612	0.163893	0.0761197	0.0477319	0.0342853
a37	0.0469619	0.0392662	0.0465972	0.0836647	0.0759474	0.152568	0.210212	0.153991	0.10933	0.0814612
a90	0.0232148	0.0140575	0.0153186	0.0320389	0.0393215	0.087377	0.145279	0.218472	0.217972	0.206949
a92	0.0101639	0.00590851	0.00666248	0.0152548	0.0241745	0.0646937	0.105277	0.273427	0.295902	0.198537
a56	0.00265455	0.00151955	0.0018948	0.00476357	0.00781833	0.0304824	0.0619394	0.217511	0.348377	0.323039
a75	0.00268154	0.00141579	0.00136399	0.00254614	0.00406171	0.0143361	0.0278206	0.122997	0.301059	0.521718
a25	0.000471999	0.000266285	0.000375829	0.000923369	0.00153279	0.00715553	0.0182614	0.11979	0.303945	0.547278
a94	0.000296258	0.000183048	0.000242772	0.000483654	0.000742941	0.00257797	0.00705264	0.0559372	0.237806	0.694678
a98	0.000529807	0.000269744	0.000200404	0.000313442	0.000534395	0.00168359	0.00511822	0.0314063	0.16951	0.790434
a79	0.000210105	0.000135563	0.000161234	0.000366104	0.000669067	0.00313272	0.00817292	0.045242	0.180099	0.761811
a37	7.35687e-05	4.98376e-05	6.6707e-05	0.000151097	0.000257585	0.00130465	0.00419099	0.0300434	0.160603	0.80326
a26	0.000722161	0.000523444	0.000565291	0.000938483	0.00122946	0.0022558	0.0049198	0.0357298	0.182617	0.770499
a82	0.0561636	0.0248503	0.0149809	0.0167496	0.017819	0.0190547	0.0265795	0.0984437	0.250065	0.475294
a87	0.247277	0.133727	0.0786269	0.072283	0.0668918	0.0750694	0.0451677	0.066154	0.0892003	0.125603
a23	0.245036	0.171129	0.111929	0.0965646	0.0869829	0.0836783	0.0472116	0.0460165	0.0519881	0.0594644
a87	0.162622	0.108663	0.0736865	0.0624748	0.0645078	0.0646305	0.0448179	0.0714268	0.107397	0.239774
</S>	0.0234087	0.02275	0.0209531	0.0228561	0.0254665	0.0382889	0.0352221	0.0907925	0.199967	0.520295
