 	il	a	un	abcès	à	l'	aisselle	</S>
a23	0.359673	0.193602	0.119059	0.0623868	0.0410734	0.0412163	0.0764813	0.106509
a10	0.216032	0.130593	0.100898	0.0898687	0.0952212	0.0994968	0.102497	0.165392
a30	0.207491	0.156798	0.134681	0.106809	0.0903985	0.0770965	0.0817082	0.145018
a53	0.226567	0.173486	0.143257	0.0833319	0.0621804	0.0553651	0.0879372	0.167876
a20	0.323036	0.233764	0.181639	0.0871539	0.0564284	0.032492	0.0407229	0.0447632
a14	0.39235	0.274896	0.170007	0.0728512	0.0450179	0.0200488	0.0135978	0.0112306
a66	0.314065	0.2576	0.195202	0.117318	0.0694822	0.0248905	0.0121716	0.00927127
a38	0.251797	0.253344	0.218557	0.14349	0.0745748	0.0262204	0.0168534	0.0151635
a26	0.21616	0.221827	0.212046	0.159985	0.0989605	0.0391557	0.026801	0.0250642
a35	0.203735	0.219456	0.209044	0.155272	0.108021	0.0468637	0.0310581	0.0265511
a76	0.213448	0.226498	0.213057	0.158763	0.101634	0.0432019	0.0243309	0.0190674
a90	0.158381	0.178353	0.201239	0.196978	0.126509	0.0644294	0.0380254	0.0360836
a13	0.167065	0.17668	0.190714	0.200243	0.124136	0.0635149	0.0368069	0.0408399
a99	0.106246	0.121281	0.139472	0.174517	0.14479	0.115713	0.0901235	0.107856
a26	0.0351745	0.0469454	0.0655522	0.113046	0.140881	0.159125	0.176261	0.263015
a24	0.0289885	0.0386324	0.0544307	0.0798949	0.100511	0.133426	0.204598	0.359518
a35	0.040825	0.0522888	0.0646043	0.0786554	0.0834582	0.120676	0.196959	0.362534
a76	0.0085798	0.0109759	0.0152882	0.0231089	0.0346239	0.092012	0.231475	0.583937
a14	0.00735463	0.0104591	0.0162752	0.0216244	0.033012	0.097485	0.271698	0.542092
a35	0.00803081	0.00955724	0.0128853	0.015819	0.0231944	0.0762091	0.239516	0.614788
a11	0.00475919	0.00531379	0.00711049	0.00815263	0.0123539	0.0499835	0.226813	0.685514
a75	0.00180817	0.00193639	0.00246761	0.0029165	0.00599019	0.0379607	0.207749	0.739172
a35	0.00153745	0.00177362	0.00243959	0.00276825	0.00579794	0.0367464	0.193381	0.755555
a66	0.00177583	0.00206978	0.00283229	0.00320342	0.0061026	0.0346053	0.185379	0.764032
a38	0.00538111	0.00504941	0.00637542	0.00765117	0.0121032	0.0495473	0.235849	0.678044
a14	0.00233951	0.00234988	0.00295959	0.00353629	0.00713887	0.0396377	0.214794	0.727244
a66	0.00137625	0.00159203	0.00212202	0.00272192	0.00635646	0.0408706	0.194318	0.750643
a38	0.0035948	0.00354475	0.00456864	0.00581087	0.0104087	0.0482305	0.225538	0.698304
a14	0.00572389	0.00707848	0.00963318	0.0106361	0.0206814	0.0801192	0.277531	0.588597
a73	0.00374621	0.00380255	0.00444726	0.00531266	0.0125029	0.0623057	0.248847	0.659036
a76	0.00157198	0.00188506	0.00241791	0.00305283	0.00809446	0.0466573	0.204993	0.731328
a73	0.00162537	0.00234667	0.00367135	0.00458411	0.0107709	0.0545705	0.196831	0.7256
a57	0.0016101	0.00186208	0.00251247	0.00314777	0.00743815	0.0428767	0.193721	0.746831
a87	0.0115854	0.012708	0.0152618	0.0161444	0.026883	0.0731141	0.222821	0.621482
</S>	0.0305359	0.0331438	0.0355079	0.0299454	0.0422991	0.112876	0.257491	0.4582
