 	le	chef	ne	tient	pas	compte	de	certaines	lois	</S>
a82	0.211052	0.15917	0.120855	0.108433	0.115116	0.132097	0.0692717	0.0321056	0.0248573	0.0270429
a97	0.274113	0.162655	0.112855	0.104922	0.0956481	0.0852969	0.0496311	0.0272499	0.0368386	0.0507897
a10	0.436893	0.297038	0.119379	0.0539153	0.0225655	0.0153287	0.00885441	0.00789338	0.0132945	0.0248386
a87	0.433442	0.302237	0.116897	0.0539889	0.0202223	0.0149948	0.00910568	0.00736358	0.0150455	0.0267032
a97	0.393918	0.27796	0.120289	0.0608918	0.0283082	0.0250692	0.0159331	0.0125497	0.023683	0.0413975
a87	0.339428	0.244771	0.102702	0.0582337	0.0375116	0.0338515	0.0298532	0.0295022	0.0528773	0.0712693
a97	0.345109	0.242393	0.100997	0.055029	0.036105	0.0338873	0.0298701	0.0290261	0.055228	0.0723557
a30	0.315464	0.23846	0.0950541	0.0505994	0.0390141	0.042922	0.0451473	0.0438884	0.0619664	0.0674846
a13	0.321677	0.245951	0.0935471	0.0497756	0.0496608	0.0661528	0.0596574	0.0403125	0.0382076	0.0350581
a99	0.175779	0.196694	0.166193	0.137956	0.0828025	0.0820313	0.0566834	0.0318025	0.0328864	0.0371717
a57	0.150796	0.195395	0.194416	0.171792	0.0933532	0.0748378	0.0512823	0.0244476	0.0211661	0.0225139
a53	0.0897096	0.14162	0.177536	0.183683	0.113966	0.0926166	0.0761441	0.0457886	0.039596	0.0393399
a70	0.115699	0.19229	0.213799	0.180854	0.10597	0.0561462	0.04268	0.0281117	0.0309331	0.0335169
a99	0.104266	0.166197	0.205889	0.199343	0.117253	0.0531846	0.0401561	0.028764	0.0389752	0.0459734
a50	0.0902635	0.133806	0.197836	0.205233	0.123679	0.055716	0.0435747	0.0340788	0.048139	0.0676744
a70	0.0512465	0.0586383	0.103691	0.14288	0.129339	0.0716497	0.0634205	0.0655413	0.121035	0.19256
a90	0.0444494	0.0433577	0.0838964	0.137939	0.155481	0.0887613	0.0701085	0.069055	0.118727	0.188226
a41	0.0380982	0.0409136	0.0765181	0.126386	0.152495	0.0985902	0.0843986	0.0717599	0.120694	0.190147
a12	0.0310185	0.0339278	0.0527732	0.0793588	0.123545	0.0997064	0.095578	0.0930244	0.149809	0.241258
a96	0.0205922	0.0189392	0.0281055	0.0437107	0.09585	0.10319	0.106593	0.100544	0.169934	0.312542
a62	0.0133576	0.0108156	0.016284	0.0283341	0.0783188	0.10161	0.123062	0.121612	0.181876	0.324729
a96	0.0131467	0.00951664	0.0135998	0.0224055	0.0674759	0.108322	0.160524	0.156191	0.182194	0.266624
a93	0.0117625	0.00860214	0.0121846	0.0205735	0.0581802	0.0947929	0.137039	0.144853	0.196908	0.315104
a41	0.0106222	0.0074936	0.0101073	0.0180904	0.0492397	0.0820743	0.135591	0.149233	0.209321	0.328227
a44	0.0117366	0.00900743	0.0120042	0.0168684	0.0393342	0.0661766	0.0998736	0.136544	0.24167	0.366785
a4	0.00725134	0.00427145	0.00535755	0.00890051	0.0210201	0.0391793	0.0773664	0.122432	0.23744	0.476782
a13	0.00619089	0.00338717	0.00359506	0.0062415	0.0134941	0.0269023	0.0594728	0.107513	0.229363	0.54384
a53	0.00170341	0.000824435	0.000778856	0.00145334	0.00321938	0.00743514	0.0237825	0.0773747	0.212959	0.670469
a69	0.00123083	0.000617467	0.000602748	0.00107404	0.00208352	0.00465933	0.0178764	0.0761489	0.236269	0.659438
a4	0.000770257	0.000399283	0.000402981	0.000778566	0.00213327	0.00458212	0.0176845	0.0807033	0.239336	0.65321
a70	0.000323625	0.00014454	0.000139671	0.000278413	0.000860126	0.00229228	0.0119675	0.0788504	0.261591	0.643552
a50	0.00045226	0.000207687	0.000191166	0.000334034	0.000799831	0.00182101	0.00868798	0.0647508	0.231105	0.69165
a83	0.00105139	0.000608992	0.000649113	0.000993861	0.00167411	0.00346212	0.0116104	0.0636756	0.21983	0.696444
a11	0.00052312	0.000340087	0.000387728	0.000583374	0.000999752	0.00198811	0.00737751	0.0476369	0.201108	0.739056
a26	0.00243699	0.00181618	0.0018962	0.00220509	0.00349838	0.00670018	0.0184052	0.0743732	0.212549	0.676119
a66	0.0293897	0.0152161	0.0111809	0.0108243	0.0206057	0.0339772	0.0622633	0.139613	0.252644	0.424286
a9	0.027316	0.0119865	0.00640843	0.0053882	0.00784399	0.0116702	0.0268737	0.090368	0.214122	0.598024
a97	0.0309796	0.0131081	0.00661171	0.00553602	0.00858998	0.0147472	0.0292812	0.0885373	0.24001	0.562599
a87	0.147785	0.0784563	0.0384794	0.0215509	0.023176	0.0334003	0.0454886	0.0795813	0.179087	0.352996
a97	0.155936	0.105962	0.0596215	0.0297695	0.0238061	0.0301087	0.0405626	0.0758965	0.171037	0.3073
a87	0.118736	0.081822	0.0469995	0.0289201	0.0275697	0.0331673	0.0423104	0.0748537	0.194534	0.351087
a99	0.111358	0.0839871	0.0528839	0.0369012	0.0322617	0.0310123	0.0381896	0.0684838	0.18928	0.355642
a87	0.149626	0.106361	0.0611716	0.0331204	0.0246343	0.0252974	0.0349004	0.0594328	0.151201	0.354254
a23	0.053905	0.0443711	0.0294817	0.0177754	0.0135255	0.0157296	0.0268102	0.0641583	0.197444	0.536799
a87	0.072914	0.0569356	0.0402652	0.0255009	0.0224571	0.0273065	0.0416215	0.0788142	0.194517	0.439668
</S>	0.0672171	0.0462739	0.0300779	0.0211728	0.0210551	0.0283128	0.0486773	0.104094	0.22863	0.40449
