 	le	cordon	s'	est	coupé	</S>
a66	0.461838	0.194348	0.119785	0.0944276	0.0750959	0.0545054
a87	0.198645	0.172485	0.164031	0.172655	0.172051	0.120133
a97	0.283053	0.225148	0.130718	0.10025	0.142429	0.118402
a99	0.322286	0.256283	0.133892	0.0930454	0.12317	0.071323
a97	0.437286	0.297945	0.113566	0.0716447	0.0575572	0.0220004
a24	0.394767	0.300293	0.127839	0.0833512	0.0702467	0.0235029
a83	0.350982	0.234316	0.13012	0.120163	0.102823	0.0615952
a75	0.353734	0.25772	0.157796	0.110572	0.0733867	0.0467918
a92	0.297751	0.305303	0.164838	0.109044	0.0693625	0.0537002
a61	0.257012	0.29254	0.164894	0.116493	0.0891018	0.0799592
a0	0.183355	0.269841	0.182077	0.135867	0.123014	0.105847
a56	0.112151	0.177728	0.166128	0.164986	0.192606	0.186401
a93	0.0891782	0.135098	0.164515	0.174912	0.214628	0.221669
a4	0.0501365	0.0797677	0.127241	0.171396	0.253286	0.318172
a11	0.0132931	0.0239726	0.0520073	0.102691	0.227473	0.580563
a47	0.00148711	0.00344896	0.0123154	0.0478971	0.196883	0.737968
a62	0.0026151	0.00432188	0.0140114	0.058247	0.245383	0.675421
a96	0.00103052	0.0022763	0.0100625	0.0488916	0.245621	0.692118
a37	0.000870237	0.00180147	0.00724572	0.0362293	0.208066	0.745788
a26	0.00175698	0.00331403	0.0107671	0.0426429	0.229888	0.711631
a3	0.00597506	0.00623949	0.0150179	0.0530889	0.251837	0.667842
a97	0.0640467	0.0487608	0.0606091	0.103295	0.273655	0.449633
a9	0.0999719	0.0746573	0.0813719	0.121214	0.249582	0.373203
a82	0.0309948	0.0322137	0.038382	0.0692735	0.227344	0.601792
</S>	0.0358511	0.0443313	0.0565853	0.0852976	0.258027	0.519907
