 	il	a	débarrassé	la	cendre	à	l'	aide	de	l'	écorce	du	bananier	</S>
a66	0.101915	0.135527	0.213765	0.144949	0.0991366	0.103561	0.0798371	0.0479198	0.0228966	0.0165345	0.0136814	0.00780035	0.00625509	0.00622198
a87	0.377938	0.247076	0.0778876	0.0228163	0.0297888	0.0371745	0.0395419	0.0216873	0.0176897	0.0179294	0.0276914	0.0237833	0.0259894	0.0330065
a23	0.341094	0.197379	0.0996727	0.0539483	0.0480583	0.0364952	0.0327157	0.0235703	0.019528	0.0245789	0.0261361	0.0250673	0.0301694	0.041587
a87	0.220447	0.160089	0.0919687	0.0583854	0.0589601	0.0279093	0.0230105	0.0168558	0.025765	0.0350267	0.0451268	0.0421696	0.067677	0.126609
a23	0.223839	0.161871	0.104045	0.101658	0.0893167	0.050941	0.0411721	0.0276176	0.0306898	0.0344058	0.040917	0.0266923	0.0290888	0.037746
a79	0.176675	0.133799	0.0988314	0.100151	0.0709769	0.0402038	0.0363242	0.0305897	0.0354972	0.0405923	0.0404365	0.0403975	0.0629059	0.0926189
a7	0.160015	0.224317	0.227761	0.130016	0.0753016	0.0611133	0.0353004	0.0233505	0.0139396	0.0125426	0.00955543	0.00728096	0.00893871	0.0105672
a93	0.145486	0.190007	0.20238	0.138823	0.085186	0.0761399	0.0481634	0.0377201	0.0192017	0.0146525	0.010539	0.00817125	0.0106426	0.012887
a56	0.103529	0.108822	0.176321	0.170259	0.124013	0.093747	0.0635259	0.0603288	0.0365698	0.022525	0.0125491	0.00737306	0.00952991	0.010908
a93	0.106198	0.102545	0.153466	0.154355	0.129301	0.103327	0.0660085	0.0642737	0.0439252	0.0306217	0.0188645	0.00923593	0.00904052	0.0088371
a44	0.067112	0.0730603	0.131709	0.143576	0.139948	0.113586	0.0767498	0.0839888	0.0602367	0.0442924	0.0261568	0.0132101	0.0130271	0.0133475
a96	0.0642931	0.0664019	0.120598	0.131169	0.128094	0.119141	0.0815049	0.0884066	0.0623662	0.0501669	0.0329326	0.0197953	0.0181083	0.0170237
a93	0.039772	0.0429718	0.129709	0.148723	0.135864	0.121604	0.0781541	0.0744954	0.0550986	0.0501993	0.042701	0.0288062	0.0271051	0.0247958
a34	0.0310154	0.0327562	0.0937962	0.117754	0.109642	0.121661	0.0938557	0.0973353	0.0676036	0.0623777	0.0501079	0.042961	0.0414779	0.0376561
a75	0.0287709	0.0295392	0.0851228	0.105686	0.095698	0.113624	0.100778	0.105428	0.0737546	0.0720281	0.0593203	0.0489811	0.0437365	0.0375332
a79	0.0105974	0.0110658	0.0411869	0.0538977	0.0619569	0.0563786	0.0648621	0.083141	0.0892995	0.110989	0.114546	0.10421	0.100659	0.0972099
a7	0.00675006	0.00766513	0.0358343	0.0518825	0.0645648	0.0576647	0.082202	0.112935	0.11855	0.123825	0.111157	0.0806861	0.0757028	0.0705805
a90	0.00716661	0.00797219	0.0227121	0.0491567	0.06105	0.0633193	0.0769825	0.0877355	0.117677	0.147735	0.139515	0.0852574	0.0651963	0.0685239
a92	0.00344789	0.00363423	0.0118423	0.0224466	0.0288652	0.0266792	0.0444517	0.0667019	0.100573	0.149577	0.155981	0.129739	0.128451	0.127611
a21	0.00198003	0.00215145	0.00648989	0.009733	0.0151502	0.0121088	0.0274595	0.0448049	0.0881137	0.138423	0.147893	0.131742	0.173153	0.200798
a12	0.00177595	0.00171862	0.00346074	0.00575277	0.00780202	0.00676549	0.0129874	0.0245228	0.0560499	0.118931	0.174341	0.195832	0.196135	0.193926
a18	0.00171066	0.00170145	0.00260462	0.00350664	0.00572215	0.00442044	0.0112463	0.0246974	0.0681344	0.118182	0.145209	0.190167	0.208775	0.213923
a94	0.00113068	0.00162641	0.00254919	0.00363377	0.00425908	0.00416332	0.0080024	0.0109214	0.0322167	0.0524085	0.0757723	0.143876	0.240294	0.419146
a58	0.00105709	0.00124625	0.00185662	0.00206173	0.00296049	0.00253667	0.00571493	0.0094488	0.0294072	0.0558987	0.0729623	0.154142	0.265599	0.395108
a82	0.00101257	0.00121821	0.00185915	0.00195461	0.00228932	0.00276965	0.0054656	0.00776936	0.0175129	0.0253927	0.0396051	0.125162	0.283252	0.484736
a87	0.0106108	0.00975923	0.0154427	0.0160318	0.0144645	0.0199634	0.0313189	0.039207	0.051368	0.0550343	0.0805501	0.161494	0.226979	0.267776
a23	0.0893329	0.0567066	0.0491534	0.0389781	0.0505003	0.0614781	0.0764619	0.0811265	0.0764298	0.081586	0.087209	0.0811802	0.0838167	0.0860403
a99	0.0130239	0.00365255	0.00174646	0.000927527	0.0013956	0.00274915	0.0067858	0.0152897	0.0310432	0.0613511	0.0919854	0.219736	0.273792	0.276522
a97	0.00392972	0.00123674	0.00064429	0.000558411	0.0010088	0.00158866	0.00461715	0.00995899	0.0278932	0.066658	0.101172	0.229703	0.27198	0.279051
a27	0.00403442	0.00124624	0.000630431	0.000514769	0.00103847	0.00145919	0.00399045	0.0086694	0.0186699	0.0403461	0.0627065	0.175962	0.308312	0.37242
</S>	0.00585614	0.00239119	0.00168505	0.00214292	0.00510167	0.00593332	0.0130986	0.0212012	0.0329942	0.0608209	0.0816578	0.161776	0.27001	0.335331
