 	ne	fais	pas	de	bruit	</S>
a85	0.445285	0.171486	0.112431	0.0932535	0.0920892	0.0854556
a87	0.424165	0.206149	0.1207	0.0869735	0.0784607	0.0835516
a23	0.402589	0.247765	0.133779	0.0836949	0.0635263	0.0686461
a87	0.343701	0.199671	0.107144	0.0826852	0.101108	0.165691
a23	0.288175	0.208388	0.135706	0.102389	0.107605	0.157737
a79	0.338137	0.20305	0.115827	0.0843128	0.101995	0.156678
a76	0.427914	0.253162	0.121946	0.0749822	0.0614107	0.0605862
a69	0.342576	0.329879	0.197917	0.0770828	0.0323824	0.0201626
a58	0.257429	0.310917	0.233299	0.113136	0.0522837	0.0329362
a84	0.225396	0.292071	0.24225	0.13191	0.0659391	0.0424333
a38	0.155391	0.195826	0.194446	0.181492	0.144165	0.128681
a35	0.166404	0.210506	0.203161	0.180495	0.131625	0.107807
a76	0.214114	0.219701	0.202877	0.174369	0.118366	0.0705739
a94	0.223821	0.214679	0.192411	0.167587	0.123516	0.0779856
a76	0.135396	0.147394	0.178896	0.224246	0.195382	0.118686
a94	0.144395	0.143853	0.17355	0.213719	0.189714	0.13477
a58	0.0750329	0.0836673	0.122053	0.219942	0.279135	0.220169
a40	0.0197711	0.027123	0.0500213	0.159679	0.338979	0.404426
a54	0.024981	0.0280891	0.0489128	0.158795	0.342472	0.396751
a14	0.0252733	0.0255981	0.0439274	0.133041	0.326771	0.445389
a30	0.0126174	0.0144551	0.0298889	0.111342	0.333419	0.498277
a2	0.0197344	0.0199041	0.0300851	0.0934724	0.288073	0.548731
a57	0.00497538	0.00458352	0.00884172	0.0480878	0.241214	0.692297
a87	0.00693741	0.00614723	0.0112296	0.0525864	0.237286	0.685813
</S>	0.00650606	0.0061358	0.0139959	0.0698131	0.268798	0.634752
