 	les	pauvres	se	lancent	dans	le	monde	des	fétiches	à	cause	de	leur	cupidité	</S>
a23	0.139307	0.0984609	0.0887851	0.101517	0.0787492	0.0660355	0.0641924	0.0760901	0.0694105	0.0693311	0.062244	0.0444651	0.0217252	0.0112639	0.00842211
a87	0.108509	0.0991096	0.116094	0.247109	0.123579	0.0689015	0.0452165	0.0434267	0.0396982	0.0374245	0.0300283	0.0174714	0.0100532	0.00708829	0.00629
a23	0.084932	0.0836506	0.101537	0.19233	0.128252	0.0806127	0.0567068	0.0445751	0.0429537	0.0371546	0.0349687	0.0252993	0.0219775	0.0267329	0.0383174
a83	0.115812	0.130325	0.121905	0.235671	0.118856	0.0730247	0.0461918	0.0355059	0.0296518	0.0222977	0.018952	0.0117762	0.00951094	0.0121493	0.0183712
a50	0.257376	0.195261	0.0901066	0.118271	0.0907507	0.0757746	0.0441879	0.036898	0.0277778	0.0176365	0.009547	0.00643156	0.00713862	0.0105653	0.0122779
a24	0.184933	0.155552	0.0842497	0.164738	0.093075	0.0708023	0.0427936	0.0380726	0.0400505	0.0323272	0.0250325	0.0171449	0.014099	0.0194214	0.017709
a62	0.0978383	0.106379	0.0969494	0.202077	0.0983359	0.074968	0.0517005	0.0467616	0.0519475	0.0455454	0.0378356	0.0275297	0.0203419	0.0216861	0.0201043
a34	0.0794645	0.0962497	0.105615	0.169876	0.0821278	0.0674714	0.0534345	0.0514276	0.0594787	0.0539366	0.0507476	0.0401407	0.0304545	0.0310395	0.0285357
a90	0.0673491	0.0881806	0.111939	0.165607	0.0857538	0.0700308	0.0541691	0.0516361	0.0592687	0.0506571	0.0489248	0.039131	0.0317945	0.0392534	0.0363048
a4	0.0473954	0.0650935	0.0891789	0.139013	0.0907215	0.0830257	0.0675301	0.0659004	0.072745	0.0600313	0.0567614	0.0415278	0.0334014	0.043886	0.0437888
a50	0.0313291	0.0461976	0.0883156	0.151911	0.097674	0.0882362	0.0686208	0.069092	0.0804813	0.0652157	0.0592917	0.0400624	0.0308093	0.04154	0.0412237
a31	0.0257802	0.0375359	0.0914776	0.167957	0.101553	0.0873148	0.0691042	0.0665906	0.0784576	0.061482	0.0574599	0.0421261	0.032098	0.0431864	0.037877
a11	0.0195069	0.0270407	0.0710435	0.13404	0.102431	0.102256	0.0896313	0.0813873	0.0899608	0.0691385	0.0618202	0.0447912	0.0312596	0.0401904	0.0355022
a90	0.0098826	0.012847	0.0424316	0.0995777	0.0914761	0.104598	0.106912	0.0930068	0.093043	0.0742427	0.0668255	0.0560209	0.043697	0.0551837	0.0502551
a75	0.0112007	0.014218	0.0410306	0.087266	0.075623	0.0873842	0.0974312	0.0895875	0.0916288	0.0714501	0.0659452	0.0688588	0.0571455	0.0779339	0.0632964
a34	0.0177208	0.0233299	0.0530618	0.107543	0.0770572	0.0819111	0.0878589	0.0813358	0.0774075	0.0620442	0.0621996	0.0596027	0.0538602	0.0812622	0.0738057
a85	0.0105256	0.0125718	0.0316115	0.0665781	0.06211	0.071409	0.0826308	0.0716338	0.0705391	0.0652386	0.0755476	0.0985881	0.0872245	0.109948	0.0838441
a41	0.0132297	0.01432	0.0286339	0.0559197	0.0517924	0.0651233	0.0830938	0.0698679	0.0654373	0.0574639	0.0542059	0.0695011	0.0840835	0.154554	0.132774
a56	0.0145461	0.0139015	0.024458	0.0454795	0.0505679	0.0707808	0.0955345	0.0713411	0.0612076	0.0540171	0.0504642	0.0711139	0.0854224	0.148805	0.14236
a94	0.00843936	0.00890444	0.0189618	0.0334378	0.0338102	0.0438393	0.0627876	0.0492531	0.0429696	0.0433434	0.0524985	0.0965957	0.129894	0.209168	0.166097
a90	0.00784501	0.00834448	0.0158382	0.0304922	0.0306601	0.0389831	0.0560818	0.0422513	0.0374646	0.0392008	0.0450017	0.0801622	0.128043	0.243977	0.195655
a82	0.0127839	0.0156117	0.0308342	0.044908	0.0394012	0.04738	0.064613	0.0466533	0.0341894	0.0312668	0.038227	0.0669343	0.107294	0.214201	0.205703
a53	0.00449197	0.00441693	0.0106599	0.0257054	0.0198504	0.0217778	0.0333694	0.0244068	0.0203234	0.0237035	0.0327686	0.0627493	0.113559	0.268092	0.334125
a56	0.0074395	0.00987093	0.0220062	0.0460869	0.0389118	0.0409526	0.0451302	0.0319242	0.0225258	0.0216231	0.0269666	0.0491159	0.0975246	0.249019	0.290903
a43	0.00552039	0.00684158	0.0154447	0.0267723	0.0241119	0.0243924	0.0282832	0.0193282	0.0139775	0.0120883	0.0138941	0.0319971	0.0909311	0.290162	0.396255
