 	pour	aller	à	boundji	vous	passerez	par	oyo	</S>
a66	0.155113	0.130565	0.163879	0.213043	0.182209	0.11324	0.0302551	0.00749196	0.00420397
a87	0.271751	0.205599	0.200177	0.140948	0.0915138	0.0440458	0.0181613	0.00935941	0.0184446
a23	0.411453	0.276681	0.154897	0.0654887	0.0350356	0.0222383	0.0116447	0.00876329	0.0137983
a99	0.46712	0.300723	0.109868	0.0302682	0.0139039	0.0127122	0.0107379	0.0216127	0.0330538
a62	0.341832	0.216007	0.131469	0.0620391	0.0401384	0.0560627	0.0367957	0.0560172	0.0596384
a75	0.233092	0.19328	0.181914	0.146319	0.107525	0.0753	0.0320243	0.0180369	0.012509
a92	0.232323	0.170726	0.162386	0.144701	0.126636	0.0832493	0.0478894	0.0210784	0.0110102
a85	0.162454	0.114402	0.127808	0.146488	0.182348	0.121367	0.0771366	0.0390589	0.0289379
a79	0.0945867	0.0754102	0.0923667	0.132299	0.198186	0.165743	0.126132	0.0616598	0.0536168
a7	0.0904747	0.0819516	0.109081	0.155318	0.212704	0.161277	0.107653	0.0410564	0.0404833
a93	0.095039	0.0854219	0.106515	0.139834	0.171317	0.169292	0.101144	0.0575396	0.0738986
a94	0.112167	0.116802	0.157569	0.204536	0.177503	0.124644	0.0519997	0.0227041	0.032074
a24	0.0465881	0.0430152	0.0618765	0.142908	0.208077	0.240286	0.115361	0.0570793	0.0848096
a88	0.0193453	0.0163481	0.0214892	0.0583538	0.111374	0.222601	0.182521	0.137789	0.230179
a62	0.0159897	0.0134731	0.0163828	0.0399189	0.0687964	0.153461	0.179269	0.222156	0.290553
a47	0.0100595	0.00846008	0.00952449	0.0248685	0.0589491	0.18043	0.241954	0.235904	0.22985
a62	0.0128301	0.010507	0.0115826	0.0216607	0.0396263	0.126781	0.192722	0.263142	0.321149
a21	0.00573722	0.00444314	0.00403099	0.00741557	0.0147693	0.0575438	0.126487	0.337624	0.44195
a43	0.00333275	0.00263681	0.00241245	0.00376701	0.00563093	0.0209469	0.0576807	0.291835	0.611757
a56	0.00100299	0.000771033	0.000749297	0.0013496	0.00269081	0.00858239	0.0293461	0.250407	0.7051
a93	0.000540442	0.000411385	0.000463415	0.000941943	0.00191476	0.00544848	0.0208153	0.223414	0.74605
a62	0.000442129	0.000315664	0.00034843	0.000711049	0.00171677	0.00563799	0.0228062	0.220219	0.747803
a70	0.000338923	0.000234122	0.000281432	0.000551692	0.0012893	0.00347377	0.0139664	0.205557	0.774307
a13	0.000276081	0.000183986	0.000258661	0.000595429	0.00154342	0.00423794	0.016551	0.222441	0.753912
a9	0.00099342	0.000603437	0.000867415	0.00178971	0.00511405	0.012921	0.0429925	0.273542	0.661177
a99	0.0153569	0.00797934	0.00760502	0.0114985	0.021092	0.0386186	0.099563	0.3152	0.483087
a87	0.145232	0.083922	0.0700907	0.0709857	0.0698188	0.0687862	0.0888935	0.171799	0.230472
a23	0.244471	0.162871	0.129797	0.0958229	0.0734577	0.0559318	0.0448372	0.0795046	0.113307
a87	0.107061	0.0541883	0.0373855	0.0245953	0.0223034	0.0161957	0.0277658	0.134572	0.575932
</S>	0.013601	0.00693834	0.0050366	0.00603578	0.00920714	0.0122606	0.0274473	0.143544	0.77593
