 	la	carpe	que	nous	avons	mangée	était	cuit	à	la	braise	la	vôtre	est	cuite	dans	un	bouillon	</S>
a66	0.0768068	0.0652662	0.0720752	0.0815165	0.144931	0.157864	0.095346	0.0667933	0.0475124	0.0418755	0.0343758	0.0408759	0.0263048	0.0133081	0.011296	0.00719897	0.00601901	0.00627857	0.00435578
a87	0.161333	0.0823245	0.047109	0.061558	0.0922115	0.162312	0.049818	0.0273636	0.0221618	0.0209897	0.0121493	0.0117529	0.0126635	0.0186904	0.0298184	0.0354301	0.0526934	0.0652217	0.0343999
a99	0.135058	0.0969009	0.0724348	0.0765362	0.0830661	0.171848	0.089145	0.0486146	0.0390504	0.0246392	0.0148062	0.0138954	0.0144746	0.0122853	0.0128512	0.0143742	0.0188296	0.0350456	0.0261441
a53	0.105015	0.113188	0.0833657	0.0838469	0.104416	0.180366	0.0598466	0.0308802	0.0264525	0.0253688	0.0157261	0.0184947	0.0215651	0.0190568	0.0221159	0.0208558	0.0215334	0.0291706	0.0187356
a90	0.126466	0.102369	0.0707272	0.0708148	0.0973829	0.1367	0.0524219	0.0283689	0.0227824	0.0215448	0.0147284	0.0164319	0.0176028	0.0155349	0.0236736	0.032758	0.0441595	0.0696021	0.0359302
a56	0.24155	0.18115	0.101506	0.0872968	0.120946	0.103178	0.0286422	0.0127219	0.0098082	0.00962334	0.00678405	0.00725146	0.00804742	0.0064487	0.00837658	0.0124608	0.0152345	0.0248021	0.0141723
a47	0.18166	0.18792	0.126816	0.108386	0.104479	0.123728	0.029137	0.0126477	0.00946753	0.00847392	0.00636609	0.00652703	0.00710056	0.00562884	0.00674486	0.0109885	0.0138196	0.0296712	0.0204386
a31	0.156153	0.138779	0.116633	0.117961	0.0952692	0.160981	0.0346839	0.0182885	0.0142965	0.0117027	0.00988931	0.00980458	0.0104144	0.00882424	0.00879683	0.0114833	0.0130334	0.031065	0.0319424
a24	0.1611	0.157274	0.129585	0.119001	0.0955327	0.131014	0.0415777	0.0215136	0.0167422	0.0136319	0.0114644	0.0110745	0.0112925	0.00924471	0.00901967	0.0112922	0.0107792	0.0190655	0.0197954
a61	0.108284	0.113621	0.110598	0.116496	0.0994519	0.152736	0.0638466	0.0397475	0.0317887	0.0232603	0.0196197	0.0177372	0.0159764	0.0123984	0.011108	0.0116996	0.0110589	0.0176315	0.0229405
a21	0.0897278	0.100422	0.117157	0.126503	0.104479	0.162181	0.0682032	0.0375855	0.0284557	0.0208414	0.0177441	0.0165895	0.0157446	0.0123949	0.0108627	0.0112322	0.0110641	0.0213819	0.0274296
a12	0.0545399	0.0660066	0.0956802	0.111097	0.094024	0.149159	0.079042	0.052689	0.0455406	0.0364697	0.0360563	0.036313	0.0294099	0.0209982	0.015344	0.0112548	0.0106392	0.0218878	0.0338483
a88	0.0342583	0.0479027	0.0829881	0.0983647	0.0954317	0.147706	0.0952612	0.0695848	0.0616472	0.0478359	0.0464845	0.0445847	0.034309	0.0237438	0.0162534	0.0103056	0.00870845	0.0131259	0.021504
a31	0.0158171	0.0241417	0.0644316	0.0939675	0.0997034	0.188392	0.126502	0.0833374	0.0576381	0.0380912	0.036297	0.0343453	0.0277222	0.0207031	0.016059	0.0116644	0.0114198	0.0194328	0.0303353
