 	je	ne	suis	pas	resté	son	ami	fidèle	du	fait	qu'	il	est	fanfaron	</S>
a66	0.0632078	0.0613277	0.0487955	0.0649089	0.0682022	0.0973733	0.136198	0.0960056	0.0782346	0.0915011	0.0977411	0.0683166	0.0201522	0.00545529	0.0025799
a87	0.325077	0.223981	0.129229	0.0669101	0.042118	0.038857	0.0434922	0.0202139	0.0213429	0.021673	0.0212003	0.0145469	0.0153821	0.00915048	0.00682553
a23	0.291503	0.212297	0.168084	0.086803	0.0588815	0.0547338	0.053742	0.019652	0.0106237	0.0129989	0.0102026	0.00811969	0.00614146	0.00332126	0.00289703
a87	0.366566	0.209709	0.156762	0.0636333	0.0488124	0.0422171	0.0384298	0.0227189	0.0101809	0.0131525	0.00759275	0.00398886	0.00418544	0.00430582	0.00774566
a23	0.301646	0.204427	0.167044	0.0745125	0.0568174	0.0543759	0.0497107	0.030536	0.0139434	0.0162762	0.0110564	0.00682675	0.00523417	0.00358864	0.00400535
a83	0.319858	0.17395	0.139979	0.0686839	0.0612818	0.0571266	0.0514669	0.0347945	0.0180106	0.0195591	0.0135715	0.00981023	0.00963534	0.00913782	0.0131352
a54	0.263705	0.144274	0.116754	0.0795774	0.0695161	0.0642485	0.0570435	0.03544	0.0216984	0.0193514	0.0154839	0.0202514	0.0245934	0.0322379	0.0358253
a6	0.217308	0.12976	0.105843	0.0752486	0.0601834	0.0475895	0.0436862	0.0497124	0.0382196	0.0340384	0.0304478	0.0391289	0.052457	0.0458664	0.0305113
a47	0.189025	0.161363	0.145432	0.0878998	0.0561002	0.041579	0.0416877	0.0512495	0.026921	0.0205884	0.0190165	0.0271709	0.0468006	0.0554205	0.0297454
a36	0.145946	0.121795	0.123116	0.0956301	0.0679727	0.0517086	0.0491525	0.0613421	0.0270268	0.0208062	0.0192792	0.0276274	0.0503811	0.077382	0.0608346
a90	0.133374	0.106953	0.107484	0.105478	0.0888801	0.0782095	0.0768588	0.0830885	0.0356342	0.0300324	0.027046	0.0273908	0.0305956	0.0363825	0.0325928
a79	0.073644	0.0737483	0.0859822	0.1039	0.0951079	0.0831934	0.0750477	0.0907189	0.0585106	0.0489356	0.0431869	0.0367342	0.0391035	0.046669	0.0455178
a44	0.0461798	0.0492835	0.0576764	0.0818488	0.0886113	0.090229	0.0901153	0.118342	0.0786723	0.0728801	0.0634246	0.0450993	0.0336818	0.0376043	0.0463514
a93	0.0225567	0.0234516	0.0285499	0.0680719	0.0946266	0.112163	0.111892	0.138639	0.098106	0.095704	0.0812089	0.0467974	0.0266596	0.0241297	0.0274435
a70	0.0188986	0.0197319	0.0221415	0.0529409	0.0787695	0.100031	0.100013	0.143976	0.117101	0.115941	0.106274	0.0617946	0.0276026	0.0178902	0.0168955
a93	0.0126259	0.0118473	0.0128821	0.03136	0.051949	0.0751676	0.0782728	0.148921	0.156785	0.145848	0.118543	0.0717175	0.0338144	0.024456	0.0258102
a34	0.0111953	0.0102238	0.0103987	0.0247368	0.0438339	0.0686642	0.0787882	0.147489	0.141376	0.139562	0.135875	0.0942281	0.0372582	0.026998	0.0293725
a98	0.00720246	0.00666369	0.00667895	0.0159421	0.028702	0.0476638	0.0573038	0.142262	0.145515	0.146411	0.154957	0.115215	0.049955	0.0363863	0.0391417
a79	0.00505942	0.00471635	0.00497651	0.0118118	0.0232449	0.0452304	0.066956	0.153826	0.136195	0.120361	0.130393	0.109487	0.0573275	0.051474	0.0789403
a15	0.00697434	0.00647551	0.00659759	0.0134187	0.0245842	0.0461465	0.0641429	0.15314	0.1516	0.130302	0.123482	0.0958127	0.0545378	0.045892	0.0768942
a7	0.00953669	0.00827267	0.00884426	0.0180273	0.0303876	0.051943	0.0663155	0.148156	0.139978	0.119906	0.114461	0.0943352	0.0536434	0.0512723	0.0849215
a84	0.027972	0.0238775	0.0250259	0.0410438	0.0531331	0.0687288	0.0732123	0.117117	0.109311	0.111831	0.115775	0.097351	0.046643	0.0372664	0.0517128
a57	0.031161	0.0281912	0.028879	0.0391373	0.0486492	0.060668	0.0692252	0.0960601	0.0987753	0.0964665	0.115301	0.123297	0.0681709	0.0490904	0.0469276
a87	0.0587827	0.0437494	0.0409952	0.0446971	0.0505541	0.0575906	0.0609377	0.0834849	0.0865883	0.0782959	0.0930001	0.103425	0.0684476	0.0606169	0.0688346
a23	0.144349	0.0995865	0.0759172	0.0505646	0.0403397	0.0397994	0.0474902	0.0481552	0.0537993	0.043145	0.0561974	0.0933556	0.0877653	0.0711074	0.0484283
a10	0.0807536	0.0532672	0.0389788	0.0310743	0.0266289	0.0303149	0.042453	0.0568479	0.0556229	0.0511452	0.0557805	0.0774464	0.104774	0.129389	0.165524
a83	0.00916292	0.00683865	0.00665945	0.0104071	0.0125209	0.0168255	0.0225494	0.051434	0.0608393	0.0461223	0.0476412	0.0659134	0.127933	0.227296	0.287857
a54	0.00244261	0.00193115	0.0019712	0.00475595	0.00742828	0.0106186	0.012394	0.0271574	0.0494174	0.0355215	0.0421583	0.0857011	0.182953	0.298846	0.236703
a79	0.00195754	0.00153476	0.00180941	0.00393111	0.00556371	0.00738163	0.0100695	0.0299724	0.0494044	0.0354783	0.0484982	0.0998814	0.155463	0.249695	0.29936
a92	0.00102165	0.00109213	0.0013225	0.00363927	0.0056337	0.0075233	0.0101935	0.0214947	0.031309	0.0255412	0.03334	0.0658664	0.118198	0.284978	0.388847
a37	0.00168062	0.00179099	0.00196486	0.00563307	0.00979355	0.0155939	0.0223465	0.0409636	0.0414535	0.0350025	0.0410057	0.0567277	0.0883533	0.229858	0.407833
a12	0.00184541	0.00189148	0.00203999	0.00576761	0.0117135	0.0210452	0.0282964	0.0544554	0.0616491	0.0574827	0.0617849	0.0860482	0.119986	0.203357	0.282637
a61	0.00112928	0.00117998	0.00115189	0.00276103	0.0053075	0.00993203	0.014456	0.0359846	0.0355167	0.035902	0.0496808	0.0703916	0.120924	0.245767	0.369915
a21	0.00112642	0.00122705	0.00122234	0.00322124	0.00636624	0.0116782	0.0162979	0.0407751	0.0451354	0.0448191	0.0557583	0.0728352	0.11342	0.225597	0.360521
a92	0.00102819	0.00109665	0.00104824	0.00226827	0.00417376	0.00775825	0.0114266	0.0290927	0.0295217	0.0309013	0.0442626	0.0629891	0.12196	0.241041	0.411432
a90	0.000878399	0.000906578	0.000848496	0.00192076	0.00403142	0.00827326	0.0126087	0.0307016	0.0335679	0.0345804	0.0412081	0.0476892	0.0791788	0.214144	0.489463
a98	0.00191135	0.00188527	0.00185892	0.00371009	0.0066593	0.0119107	0.0162819	0.0334899	0.0369703	0.0333309	0.0305283	0.0305094	0.0529095	0.177215	0.560829
a47	0.00227919	0.00212233	0.00202166	0.00349996	0.00563675	0.00923441	0.0118392	0.0221434	0.0233802	0.0233366	0.022665	0.0232914	0.0446778	0.166756	0.637116
a36	0.000923392	0.000756213	0.000693916	0.00112391	0.00178424	0.00287752	0.00367899	0.00777995	0.00929408	0.00988938	0.0123918	0.0163317	0.0374238	0.149926	0.745125
a2	0.00852572	0.00636316	0.0061811	0.00979817	0.012438	0.0158813	0.0175429	0.0242979	0.0251008	0.0226501	0.0277291	0.0411534	0.0693191	0.19225	0.52077
a57	0.0397386	0.0293331	0.0269794	0.0283087	0.0284034	0.031995	0.0354487	0.0468839	0.0464792	0.0387575	0.0444872	0.057795	0.0900207	0.153753	0.301617
a87	0.0941013	0.0506215	0.0385796	0.0296785	0.026507	0.0281924	0.0328677	0.0421203	0.0490458	0.0434244	0.0528782	0.0805872	0.103662	0.117472	0.210262
a23	0.0706558	0.0377139	0.0270247	0.0219918	0.0200747	0.0227593	0.0299852	0.0382429	0.0521681	0.0422335	0.0510554	0.0965329	0.14513	0.148169	0.196263
a99	0.0385691	0.0216343	0.0176194	0.0169913	0.0172711	0.0200242	0.0245828	0.0311889	0.047321	0.0365561	0.0395625	0.0670913	0.13043	0.17526	0.315898
a87	0.0431572	0.0222048	0.017633	0.0195843	0.0183835	0.0154852	0.0158345	0.023202	0.0524904	0.031415	0.0347569	0.0630771	0.0997232	0.160197	0.382856
</S>	0.0626843	0.0346409	0.0267812	0.024075	0.0207974	0.0176852	0.0182365	0.0202733	0.0304221	0.019025	0.0215837	0.0371458	0.0591563	0.129741	0.477752
