 	il	boude	parce	que	sa	mère	lui	a	refusé	de	l'	argent	</S>
a82	0.243422	0.196802	0.112995	0.080946	0.0785933	0.0798699	0.0638631	0.0485774	0.034541	0.0172394	0.0148546	0.0144241	0.0138719
a87	0.283314	0.205772	0.126919	0.0854989	0.0578566	0.0475322	0.0369799	0.0314614	0.0246384	0.0198864	0.0225652	0.0269007	0.0306744
a23	0.362297	0.260689	0.142503	0.0820396	0.0388347	0.0234256	0.0147555	0.0104251	0.00934605	0.00897244	0.0106355	0.0143218	0.0217551
a30	0.28183	0.241885	0.123803	0.0824353	0.0430494	0.0273997	0.0222414	0.0191846	0.0232345	0.0223584	0.0264263	0.034345	0.0518075
a53	0.215325	0.221159	0.130865	0.106855	0.0746688	0.0508065	0.0375587	0.0288099	0.0298521	0.0242384	0.0250638	0.0269151	0.0278836
a20	0.242402	0.267738	0.144948	0.0858946	0.068937	0.0484629	0.0362623	0.0280596	0.0243614	0.0147055	0.0145042	0.0129069	0.0108181
a47	0.171598	0.23877	0.142493	0.0984695	0.0865538	0.062721	0.0481304	0.0379775	0.0315503	0.0205786	0.0214875	0.0206628	0.0190076
a12	0.104143	0.237551	0.170682	0.120677	0.0953335	0.0603843	0.0437661	0.0345172	0.0282472	0.021971	0.0248971	0.0280681	0.0297613
a61	0.0958299	0.201103	0.193113	0.17428	0.118053	0.0704268	0.0492901	0.0304148	0.0197741	0.0116563	0.0115437	0.0122213	0.0122936
a34	0.0925946	0.171799	0.168329	0.166445	0.124881	0.0784306	0.0584586	0.0380058	0.0258331	0.0171783	0.0174292	0.0194225	0.0211941
a75	0.0919282	0.126413	0.159366	0.173618	0.13645	0.0945811	0.0700464	0.0412283	0.0241814	0.0166647	0.0180585	0.0223671	0.0250962
a98	0.0485432	0.0591822	0.0861761	0.11848	0.132436	0.119884	0.114191	0.0825752	0.0549182	0.0374182	0.0378929	0.0488678	0.0594353
a92	0.0332151	0.0340647	0.0607826	0.0891225	0.130655	0.1346	0.137429	0.104332	0.0754531	0.0474633	0.0420563	0.0505952	0.0602317
a85	0.0254047	0.0201654	0.0316115	0.0599965	0.115808	0.133035	0.141252	0.106413	0.0820015	0.0616661	0.0587984	0.0736462	0.0902024
a92	0.0156972	0.0120343	0.0187061	0.0389741	0.0857955	0.11082	0.131806	0.113098	0.0995187	0.0920493	0.0839064	0.0919906	0.105604
a44	0.0125429	0.0094037	0.0152413	0.0324942	0.0779646	0.106329	0.125652	0.110767	0.103331	0.101696	0.0982258	0.103857	0.102495
a93	0.0179933	0.00933086	0.0153267	0.0321668	0.0718115	0.115529	0.147745	0.133761	0.114423	0.0897316	0.0768441	0.0820165	0.093321
a56	0.0112972	0.00548515	0.00832757	0.017692	0.0485682	0.0907135	0.133813	0.13852	0.135866	0.105361	0.0887182	0.0981107	0.117526
a44	0.00735409	0.00376165	0.00504857	0.00895645	0.0229683	0.0486617	0.0919145	0.116233	0.145876	0.136735	0.117437	0.131098	0.163956
a11	0.0060777	0.00326206	0.0042069	0.00683215	0.0157507	0.0308786	0.0596625	0.0872329	0.13673	0.144718	0.131654	0.159664	0.213331
