 	le	serpent	a	avalé	le	crapaud	il	doit	le	vomir	</S>
a15	0.265461	0.151247	0.0885609	0.0691044	0.0767848	0.098227	0.0694581	0.0586401	0.0401484	0.0401912	0.0421765
a66	0.177002	0.129518	0.105092	0.123128	0.119436	0.0884557	0.0578483	0.0585689	0.0486978	0.0437181	0.0485353
a87	0.454396	0.25396	0.0881928	0.0431149	0.0312401	0.0272401	0.0166362	0.0131691	0.0161686	0.0226993	0.0331829
a23	0.44154	0.306517	0.0904134	0.0359371	0.027267	0.0253913	0.017597	0.0150775	0.013101	0.0118048	0.0153539
a99	0.368688	0.286726	0.0940306	0.0450611	0.0389645	0.0258847	0.0214438	0.0246409	0.0261802	0.0300884	0.0382909
a83	0.187382	0.133058	0.0684725	0.0566118	0.0641924	0.0399027	0.044464	0.0693266	0.0870575	0.120753	0.128779
a54	0.27578	0.225251	0.167692	0.102118	0.0679248	0.0221535	0.0177473	0.0223306	0.0245493	0.0350323	0.0394222
a6	0.139199	0.133856	0.177966	0.141765	0.0944712	0.0366422	0.026891	0.0327806	0.0395404	0.0713391	0.105549
a75	0.075863	0.0964025	0.186076	0.182567	0.120199	0.0504731	0.0336503	0.0348335	0.0398384	0.0700844	0.110013
a61	0.100276	0.120245	0.198114	0.188474	0.117422	0.0666626	0.0364529	0.0278275	0.026953	0.0426796	0.0748933
a62	0.119442	0.152071	0.221921	0.184993	0.121522	0.0691545	0.0316208	0.0218973	0.018031	0.0221452	0.0372029
a21	0.0732377	0.109905	0.199881	0.196434	0.160282	0.110852	0.0500307	0.0294645	0.020348	0.0201438	0.0294217
a61	0.0736085	0.0898553	0.144631	0.166964	0.129165	0.126124	0.0775452	0.0509278	0.0380136	0.0405013	0.0626638
a96	0.039189	0.050016	0.0938008	0.157414	0.159031	0.184165	0.11299	0.0691448	0.0444495	0.0397191	0.0500803
a70	0.0302807	0.0368064	0.0693928	0.130119	0.159041	0.210928	0.125799	0.079145	0.0511598	0.0471021	0.0602249
a38	0.0286323	0.032693	0.0477945	0.0746098	0.113966	0.210758	0.142433	0.110558	0.0764805	0.0712043	0.0908704
a93	0.0224907	0.0235378	0.0313707	0.0513028	0.0950511	0.224471	0.171295	0.13106	0.0863735	0.0732696	0.0897788
a4	0.0175038	0.0153848	0.0229031	0.0372892	0.0580004	0.139871	0.163154	0.159978	0.119713	0.114678	0.151524
a13	0.00738087	0.00659261	0.00990987	0.0203944	0.0414999	0.115349	0.17566	0.19377	0.15007	0.122205	0.157168
a9	0.00804725	0.00714003	0.00990426	0.0202955	0.0405551	0.112618	0.166182	0.180526	0.144234	0.12545	0.185047
a97	0.0381002	0.0355325	0.0371683	0.042976	0.0634495	0.132771	0.134238	0.136216	0.111581	0.105634	0.162334
a87	0.0636197	0.0513182	0.0501697	0.0540683	0.0538706	0.0894584	0.0960219	0.104767	0.103138	0.143757	0.189812
a23	0.153629	0.103455	0.0766584	0.0720908	0.0513819	0.0713869	0.0734667	0.070481	0.0752404	0.103717	0.148492
a53	0.0209839	0.0146701	0.0156613	0.0301826	0.048304	0.0784999	0.102128	0.121554	0.156753	0.195131	0.216131
a20	0.00452621	0.00436095	0.00776076	0.0156478	0.0147085	0.0177253	0.0299253	0.0640328	0.116344	0.281003	0.443966
a69	0.00260644	0.0028992	0.00622519	0.0120033	0.0154175	0.0248614	0.037308	0.0695267	0.119822	0.274969	0.434362
a93	0.00450305	0.00457191	0.00827333	0.0147408	0.0194017	0.0325165	0.0466798	0.0746855	0.129267	0.271874	0.393487
a70	0.00340113	0.00319417	0.00538623	0.0103012	0.0153317	0.0271032	0.0423279	0.0711681	0.146248	0.299951	0.375587
a90	0.00276536	0.0025981	0.00406403	0.00728241	0.010661	0.0212364	0.0392934	0.0705738	0.143244	0.303343	0.394938
a92	0.00261275	0.0024962	0.0043057	0.0094458	0.0147344	0.0307261	0.0514224	0.0776409	0.142303	0.273981	0.390331
a37	0.00129037	0.00117713	0.00209805	0.00612811	0.0104515	0.0226167	0.0452836	0.0782305	0.150951	0.279982	0.401791
a44	0.00116387	0.000957544	0.00157427	0.00412125	0.00679801	0.0158157	0.03521	0.0713718	0.142908	0.292617	0.427463
a93	0.00101694	0.000793393	0.00121234	0.00299617	0.00510672	0.0116448	0.0256825	0.061064	0.138993	0.307022	0.444467
a75	0.000535003	0.000458514	0.000754265	0.00194806	0.00352975	0.0102703	0.0235429	0.0499797	0.112864	0.306605	0.489512
a21	0.000226211	0.000191544	0.000386959	0.00138711	0.00284305	0.00847141	0.0234891	0.04737	0.11667	0.2857	0.513265
a85	0.000375419	0.000329854	0.000612297	0.00188745	0.00296536	0.00828808	0.0235206	0.0521438	0.11343	0.259857	0.536591
a0	0.000137977	0.000119389	0.00025631	0.00121165	0.00248069	0.00625571	0.0180596	0.0383778	0.0913312	0.244161	0.597609
a27	0.000471744	0.000445104	0.00109461	0.00396783	0.00557467	0.00956661	0.0183344	0.0402066	0.0947446	0.27703	0.548563
a57	0.0191606	0.0180057	0.024788	0.0439057	0.0378235	0.0341024	0.0439883	0.0726713	0.124212	0.269519	0.311824
a87	0.146959	0.0815439	0.0652196	0.0615911	0.0405899	0.0352905	0.0445171	0.056109	0.0928863	0.166752	0.208542
a97	0.241891	0.138699	0.0858539	0.0579461	0.028784	0.0260502	0.0360495	0.0492964	0.0760532	0.114618	0.144759
a87	0.197528	0.128869	0.08188	0.0504485	0.0236277	0.0284802	0.0349193	0.0396587	0.0611533	0.125777	0.227659
a97	0.172369	0.0999066	0.0615941	0.0535775	0.0363419	0.0385902	0.0365721	0.0434585	0.0614177	0.127523	0.26865
</S>	0.137198	0.08889	0.0636146	0.0668492	0.0472613	0.0440204	0.0429379	0.0479066	0.0712409	0.132068	0.258012
