 	l'	abcès	mûrit	</S>
a26	0.34762	0.206375	0.252446	0.193558
a24	0.224129	0.146597	0.30515	0.324124
a98	0.396653	0.302303	0.190261	0.110783
a25	0.518982	0.336147	0.0932807	0.051591
a38	0.58937	0.297572	0.0650153	0.0480432
a26	0.563595	0.297171	0.0844118	0.0548231
a24	0.378887	0.31403	0.17557	0.131512
a41	0.286074	0.259644	0.235482	0.2188
a14	0.260334	0.29069	0.275128	0.173848
a35	0.200604	0.308175	0.302471	0.18875
a26	0.147265	0.270467	0.344841	0.237427
a43	0.14229	0.244347	0.325037	0.288326
a75	0.0766631	0.16064	0.34319	0.419507
a25	0.0663789	0.148806	0.334298	0.450517
a76	0.0556588	0.103238	0.31159	0.529513
a20	0.0483853	0.0941036	0.266671	0.59084
a84	0.0588024	0.0955211	0.265902	0.579774
a57	0.0501059	0.0652386	0.16108	0.723576
a87	0.125494	0.132885	0.202394	0.539228
a23	0.153281	0.118343	0.247016	0.48136
a87	0.146006	0.146836	0.302389	0.404768
a23	0.161681	0.134303	0.28535	0.418667
a87	0.154906	0.140386	0.297222	0.407486
</S>	0.203421	0.151981	0.282656	0.361942
