 	sa	mère	l'	a	frappé	parce	qu'	il	a	écarté	les	jambes	de	sa	soeur	</S>
a66	0.0670533	0.0732199	0.0649313	0.063392	0.0704934	0.082499	0.101509	0.140397	0.160231	0.129627	0.0202938	0.00979817	0.00593265	0.00415065	0.00327616	0.00319518
a87	0.241185	0.170406	0.118363	0.0821745	0.0766837	0.0680806	0.0569779	0.048118	0.061044	0.0363769	0.0041885	0.00382903	0.00520329	0.00790616	0.00808981	0.0113742
a23	0.252101	0.16544	0.115796	0.0834353	0.0676024	0.0609999	0.0583	0.0430588	0.0657005	0.0388264	0.00864306	0.00514402	0.0052333	0.00748415	0.00900868	0.0132265
a99	0.219447	0.139134	0.102958	0.0632834	0.0689987	0.0565357	0.0693035	0.0411941	0.0620041	0.0486799	0.0146768	0.013776	0.0174753	0.0227652	0.0252451	0.0345235
a53	0.153868	0.123126	0.102921	0.0764121	0.0696172	0.0573771	0.0594277	0.0361177	0.0518642	0.0669279	0.0274821	0.0255233	0.0269039	0.0363533	0.0386361	0.0474427
a15	0.17718	0.171225	0.149138	0.132254	0.0757737	0.0635359	0.0531446	0.0320038	0.0403581	0.0366064	0.0129826	0.00970937	0.00992519	0.0119239	0.0113823	0.0128573
a79	0.111793	0.107729	0.10375	0.12518	0.0782541	0.0767574	0.063348	0.0499943	0.0617823	0.0754444	0.0358614	0.0253527	0.0214723	0.020897	0.0205292	0.0218556
a7	0.085584	0.102007	0.120012	0.139111	0.09877	0.0870635	0.0731107	0.0561075	0.0603758	0.0699001	0.0285814	0.0169404	0.0124689	0.0146158	0.0166021	0.01875
a5	0.0851443	0.0900771	0.117039	0.14291	0.130942	0.101397	0.0827535	0.0494468	0.0448811	0.0458654	0.0179857	0.0128318	0.0132573	0.0163769	0.0219619	0.0271297
a12	0.0764496	0.0792505	0.098589	0.129173	0.128941	0.108695	0.0894254	0.0605912	0.0621534	0.0574188	0.0194993	0.0124087	0.0129636	0.0166612	0.0220562	0.0257237
a56	0.042066	0.0490449	0.066138	0.0992297	0.125725	0.123888	0.112966	0.0853587	0.0878838	0.0795569	0.0225587	0.0158722	0.0171471	0.0202073	0.0250015	0.0273558
a92	0.0290709	0.0353133	0.0489343	0.0801793	0.120859	0.130292	0.123461	0.106612	0.103733	0.0915134	0.0225334	0.0161404	0.0171122	0.0197855	0.0258278	0.0286328
a37	0.0103849	0.0141689	0.0216148	0.0447878	0.091568	0.118721	0.111999	0.0998412	0.0917087	0.0783165	0.0442269	0.0398744	0.0491259	0.0523255	0.0613745	0.0699624
a11	0.0177697	0.0213912	0.025791	0.0431032	0.0890213	0.126172	0.124381	0.133683	0.107218	0.0873819	0.0289447	0.0198142	0.0251788	0.0358311	0.0523992	0.0619202
a75	0.0163376	0.0206711	0.020813	0.029329	0.0531461	0.0886553	0.0943438	0.125908	0.0942762	0.105453	0.0493186	0.043894	0.0430211	0.0543746	0.0743045	0.0861532
a92	0.00364647	0.00419459	0.00479609	0.00926386	0.0208739	0.0451604	0.0495359	0.082456	0.0553555	0.046417	0.0491382	0.058602	0.092179	0.131904	0.164291	0.182186
a7	0.00303604	0.00325171	0.00378556	0.00735047	0.0152071	0.0318632	0.0349613	0.0592226	0.0413323	0.0311289	0.0499317	0.0686147	0.112004	0.1567	0.185548	0.196062
a26	0.00413993	0.00469408	0.00474402	0.00739039	0.0140411	0.0254011	0.0274534	0.0505895	0.033277	0.0283066	0.0412577	0.0709895	0.123453	0.165545	0.189733	0.208986
a44	0.00356868	0.00418058	0.00436	0.00461251	0.00517669	0.00694413	0.0076792	0.0169238	0.0123395	0.0128067	0.0239626	0.0613463	0.0809296	0.14242	0.273745	0.339005
a93	0.00078089	0.000795241	0.000681433	0.000773895	0.00109154	0.00169976	0.00196325	0.00343577	0.00232314	0.00252984	0.014458	0.0538255	0.106782	0.192632	0.281996	0.334231
a70	0.000378856	0.000357992	0.000362783	0.000563178	0.000981213	0.00170553	0.00187643	0.00264796	0.00174916	0.00149501	0.0103054	0.0433839	0.097943	0.199958	0.303007	0.333284
a93	0.00024422	0.000235577	0.000248864	0.000365696	0.000595352	0.000933676	0.00110687	0.00148674	0.00073904	0.000660885	0.00588957	0.0312886	0.0656154	0.163707	0.320885	0.405997
a56	0.000307886	0.000290255	0.000301552	0.000424594	0.000689396	0.00105299	0.00117778	0.00177153	0.000965395	0.000832941	0.00681151	0.0329613	0.0688991	0.170554	0.315103	0.397857
a98	0.000178298	0.000165302	0.00016271	0.00022438	0.00037903	0.000604725	0.000644838	0.00105681	0.000543446	0.000509946	0.00691889	0.0391344	0.0770342	0.180007	0.311743	0.380693
a47	6.86396e-05	6.58015e-05	6.14501e-05	8.66735e-05	0.000167839	0.00030168	0.00030387	0.000586358	0.000224289	0.000305504	0.00747906	0.0298175	0.0653858	0.16662	0.334378	0.394147
a7	0.000163708	0.000159533	0.000143019	0.000205258	0.000359041	0.000651517	0.000639684	0.00121822	0.000472427	0.000646754	0.0123658	0.0417605	0.0900947	0.180649	0.294095	0.376376
a13	0.000354528	0.000367712	0.000313329	0.000384358	0.000395276	0.000631205	0.000664797	0.00124561	0.000640042	0.000873357	0.00800055	0.0410994	0.0794888	0.17822	0.308739	0.378582
a3	0.00151893	0.00188644	0.00172229	0.00176619	0.00124568	0.00194476	0.00198102	0.00391466	0.00254317	0.0044452	0.0195234	0.0560245	0.0944437	0.145528	0.277987	0.383525
a99	0.0315887	0.0281747	0.0251658	0.0259967	0.0190911	0.0296879	0.0263371	0.0403754	0.0378569	0.019612	0.0384987	0.0817214	0.0949601	0.114643	0.175823	0.210467
a87	0.0836942	0.0612028	0.0450124	0.0393917	0.0316836	0.0454616	0.0504363	0.0666908	0.0925576	0.0416394	0.0382417	0.0541757	0.0622032	0.0736606	0.10163	0.112318
a23	0.135086	0.102684	0.0732578	0.0585425	0.0477252	0.0594341	0.0526061	0.072414	0.100261	0.0350374	0.0246528	0.0352379	0.0432909	0.049717	0.0541852	0.0558683
a87	0.0308701	0.0195225	0.0121416	0.00985631	0.00973812	0.010942	0.00939676	0.0155623	0.0185132	0.00471699	0.00769563	0.0222691	0.0538742	0.144526	0.267711	0.362664
</S>	0.00551631	0.00388597	0.00288983	0.0029365	0.00376169	0.0053558	0.00552294	0.0110959	0.0126382	0.00374905	0.00599006	0.0213374	0.0522011	0.135947	0.284785	0.442386
