 	la	maison	est	entourée	d'	herbes	</S>
a15	0.303596	0.186004	0.180955	0.169241	0.117257	0.0272784	0.0156681
a87	0.165728	0.13225	0.130058	0.192997	0.20706	0.0989009	0.0730072
a10	0.232058	0.179499	0.141638	0.0891232	0.1175	0.122531	0.11765
a83	0.361166	0.243936	0.167926	0.0968475	0.0671437	0.0352892	0.0276912
a34	0.349481	0.256536	0.152582	0.0726986	0.0601205	0.0558369	0.0527451
a96	0.491366	0.25843	0.151351	0.0609795	0.0169845	0.0101568	0.0107318
a21	0.424422	0.281434	0.185798	0.0695033	0.0168579	0.010952	0.0110326
a61	0.296557	0.294328	0.283953	0.0986028	0.0133922	0.00668869	0.00647866
a47	0.216858	0.280195	0.28229	0.157646	0.0339691	0.0160143	0.0130268
a88	0.199668	0.244144	0.27261	0.204943	0.0422545	0.0204097	0.0159702
a61	0.180753	0.259537	0.253078	0.167826	0.065426	0.0411178	0.0322625
a21	0.206109	0.244028	0.224815	0.159898	0.0769254	0.0522786	0.0359463
a61	0.260918	0.238522	0.171197	0.154719	0.0968709	0.0478494	0.0299236
a21	0.115815	0.151387	0.144635	0.193405	0.166638	0.137175	0.0909455
a75	0.154336	0.130427	0.101968	0.150491	0.183225	0.16852	0.111035
a56	0.100916	0.0659561	0.0579685	0.135763	0.208569	0.207727	0.2231
a93	0.0495372	0.0383323	0.0322449	0.0756369	0.210542	0.313438	0.280269
a43	0.017748	0.0113367	0.0105589	0.036532	0.126416	0.328305	0.469103
a70	0.00527654	0.0032345	0.00298547	0.0131353	0.083004	0.303688	0.588676
a13	0.00277515	0.00198896	0.00224687	0.0105679	0.0756782	0.304019	0.602724
a99	0.000533281	0.000335725	0.00042452	0.0035283	0.0532869	0.298848	0.643043
a87	0.000838116	0.000491318	0.000899549	0.00561372	0.0418523	0.292179	0.658126
a23	0.0297548	0.0251976	0.0344303	0.0579028	0.174329	0.321176	0.35721
a87	0.00885871	0.00615473	0.00760923	0.017562	0.104294	0.361284	0.494238
a23	0.0109304	0.0104105	0.011565	0.02555	0.110268	0.309759	0.521518
</S>	0.0073508	0.00863156	0.0115988	0.0199396	0.106803	0.334907	0.510769
