 	j'	ai	mangé	du	foufou	avec	le	saka-saka	</S>
a66	0.412429	0.194598	0.079767	0.0528235	0.0445843	0.0575435	0.0639158	0.0515375	0.0428013
a87	0.170279	0.0854501	0.0450747	0.0597897	0.0939295	0.19927	0.190281	0.0960754	0.0598511
a23	0.309796	0.244136	0.128991	0.0978219	0.0782884	0.0452049	0.0392911	0.0348981	0.0215733
a99	0.309061	0.284319	0.160537	0.101191	0.0688672	0.0355436	0.020383	0.0107387	0.00935947
a50	0.3335	0.266226	0.136219	0.0916736	0.0734518	0.0428094	0.0270995	0.0166828	0.0123384
a88	0.223207	0.196626	0.169996	0.133323	0.110524	0.080888	0.0416543	0.0269159	0.0168661
a61	0.177067	0.183428	0.180586	0.154327	0.143989	0.082726	0.0360354	0.0229515	0.0188897
a21	0.105535	0.170878	0.18862	0.166448	0.162449	0.0955178	0.0521883	0.0319485	0.0264157
a75	0.115639	0.180984	0.193393	0.157246	0.146768	0.0970989	0.0563586	0.0301643	0.022347
a56	0.0948504	0.0969496	0.119329	0.109563	0.130187	0.133015	0.120316	0.0953052	0.100486
a43	0.0533496	0.0433975	0.0627999	0.0623992	0.0892091	0.192944	0.187014	0.148478	0.160408
a75	0.0162594	0.0106335	0.0123934	0.0131193	0.0238105	0.128656	0.220034	0.254986	0.320108
a85	0.00490412	0.00279126	0.00267883	0.00318593	0.00624881	0.0502581	0.169346	0.328844	0.431742
a5	0.000610725	0.00040044	0.000553864	0.000892986	0.00172144	0.0209857	0.125173	0.348384	0.501278
a6	0.00123673	0.000719338	0.000782504	0.00110795	0.00188517	0.0139109	0.0892422	0.348249	0.542866
a36	0.000223437	0.000133995	0.000207099	0.000391234	0.00080003	0.00741773	0.0585747	0.309703	0.622549
a2	0.00106766	0.000754094	0.000810294	0.00168866	0.00347227	0.0204174	0.0880099	0.338797	0.544982
a57	0.0387446	0.0342888	0.0224177	0.0237855	0.0294362	0.0487502	0.0919909	0.264223	0.446363
a87	0.246572	0.144347	0.0540059	0.0483467	0.0622049	0.0608669	0.0692151	0.121221	0.19322
a23	0.295688	0.19224	0.0774624	0.0577751	0.0636025	0.0596543	0.0740999	0.0842082	0.0952689
a99	0.0640903	0.0451154	0.0195113	0.0199148	0.026019	0.0400506	0.100101	0.301115	0.384083
a97	0.0192677	0.0180758	0.00960072	0.0109363	0.0163472	0.0320969	0.0897713	0.368321	0.435584
a87	0.015657	0.0167862	0.011448	0.0132127	0.0213264	0.0385176	0.0959343	0.342249	0.444868
</S>	0.0319995	0.032802	0.0208058	0.0198602	0.0296271	0.0479058	0.104068	0.328656	0.384276
