 	il	a	un	caractère	bougon	</S>
a53	0.314599	0.241993	0.150524	0.0769093	0.0867445	0.12923
a54	0.12706	0.118817	0.124069	0.148493	0.213376	0.268185
a85	0.26433	0.210927	0.155933	0.176283	0.0989541	0.0935728
a37	0.261945	0.239405	0.182684	0.15449	0.102872	0.0586037
a21	0.170049	0.121025	0.121716	0.174498	0.23523	0.177481
a75	0.167935	0.119599	0.146528	0.156601	0.211482	0.197855
a61	0.109609	0.0917997	0.131727	0.155898	0.230916	0.280051
a75	0.0485893	0.032334	0.0446142	0.117523	0.278062	0.478878
a66	0.0342861	0.0294301	0.0552413	0.168305	0.276535	0.436203
a61	0.00731836	0.00617501	0.0125062	0.0710056	0.292909	0.610086
a83	0.006921	0.00714676	0.0138952	0.0586177	0.259092	0.654327
a9	0.00299646	0.00417906	0.0113637	0.0517695	0.265217	0.664474
a87	0.0153627	0.0179606	0.0288975	0.0709909	0.214824	0.651964
a23	0.123925	0.104133	0.100511	0.122324	0.190465	0.358643
a87	0.0575626	0.0662758	0.0797132	0.140073	0.234842	0.421533
</S>	0.0274208	0.0384858	0.0644046	0.115791	0.187097	0.566801
