 	je	suis	resté	longtemps	à	boundji	pour	suivre	le	traitement	à	l'	hôpital	</S>
a66	0.149558	0.114242	0.0727603	0.0689634	0.0712361	0.0756017	0.114719	0.147044	0.0771488	0.0380101	0.0153624	0.0155358	0.0179425	0.0218764
a87	0.26584	0.166591	0.0790472	0.0722356	0.060968	0.0401508	0.0523607	0.0588056	0.0436203	0.024402	0.015813	0.0279732	0.0399817	0.0522115
a23	0.287822	0.203669	0.142714	0.0952061	0.0512503	0.0340508	0.0406745	0.0341313	0.0171007	0.0112236	0.00787283	0.0153264	0.0236789	0.0352787
a87	0.325612	0.20264	0.143093	0.0975892	0.0482078	0.0285061	0.0160694	0.0138387	0.00863052	0.00840489	0.00962268	0.0179714	0.0293961	0.0504184
a23	0.266309	0.190352	0.154754	0.105523	0.0573785	0.0408032	0.0244425	0.0270891	0.0147469	0.0135397	0.013703	0.0215053	0.0298572	0.0399971
a18	0.297365	0.147807	0.0925117	0.0714827	0.0415067	0.0298731	0.0172071	0.0204596	0.0200941	0.0235638	0.0293679	0.0489375	0.065635	0.0941888
a24	0.123914	0.0613676	0.0339508	0.0333161	0.0360215	0.0399437	0.0466973	0.0698527	0.0574526	0.0586534	0.0597361	0.107213	0.113433	0.158448
a31	0.206952	0.130163	0.0925918	0.0803807	0.0578541	0.040455	0.0402072	0.0672437	0.0419914	0.0442695	0.0391351	0.052268	0.049038	0.0574497
a34	0.11733	0.134534	0.1367	0.130441	0.0884462	0.0610317	0.0652089	0.0830317	0.0444235	0.0306811	0.0260527	0.027066	0.0252286	0.0298253
a56	0.074875	0.0976996	0.107768	0.122033	0.102068	0.0864482	0.104931	0.106106	0.0603956	0.0333535	0.0274255	0.0250315	0.0234162	0.0284491
a34	0.04732	0.060181	0.0638324	0.0844172	0.0932871	0.0912986	0.136589	0.148941	0.0933855	0.0440972	0.0367457	0.0312027	0.0305202	0.0381823
a62	0.0401589	0.0491226	0.0435791	0.0623213	0.0814396	0.084557	0.148804	0.176073	0.123133	0.0487628	0.0393864	0.0318867	0.032164	0.0386116
a0	0.0268761	0.0288185	0.0233814	0.0349051	0.061752	0.0707941	0.140986	0.184067	0.161873	0.061388	0.05216	0.0451878	0.0490087	0.0588018
a75	0.0156462	0.0155965	0.0121491	0.015691	0.0336299	0.0454356	0.126623	0.183787	0.207892	0.0818707	0.0627577	0.0579643	0.0626395	0.0783171
a5	0.0154714	0.0171294	0.0156691	0.0193333	0.0385892	0.0533384	0.141767	0.2002	0.198532	0.0808279	0.0493483	0.0419997	0.0532076	0.0745863
a37	0.0139059	0.0138648	0.0105211	0.0118481	0.0248758	0.0362411	0.123943	0.207331	0.219669	0.0892421	0.0588035	0.0523968	0.0607725	0.0765859
a56	0.0127635	0.0131069	0.0100304	0.010835	0.0222739	0.0310706	0.112085	0.192609	0.233507	0.0987334	0.0599713	0.0543335	0.0644364	0.0842448
a25	0.015859	0.0150104	0.0118783	0.012829	0.0244046	0.0351819	0.104326	0.179085	0.211643	0.119584	0.0681229	0.0526718	0.0639031	0.0855016
a56	0.00483778	0.00532272	0.0053802	0.00564218	0.0142872	0.0198069	0.0581112	0.0696542	0.144862	0.107187	0.0793801	0.0879203	0.151044	0.246564
a21	0.00568737	0.00571387	0.00473977	0.00496637	0.0120115	0.0184145	0.0627178	0.106391	0.197618	0.167165	0.0988845	0.0738674	0.0972633	0.144559
a47	0.00730526	0.00675818	0.00566083	0.00554616	0.00995847	0.0136503	0.0341765	0.0584467	0.158498	0.190399	0.128474	0.0895364	0.116488	0.175102
a88	0.00609875	0.00663942	0.00554686	0.00445049	0.00836294	0.00937828	0.0267558	0.0387233	0.155222	0.184987	0.14702	0.0992566	0.12411	0.183448
a61	0.00251373	0.00292504	0.00258399	0.00218676	0.00469149	0.00470424	0.0120324	0.0151192	0.0905966	0.133167	0.133054	0.145982	0.175874	0.27457
a21	0.00154215	0.00176712	0.00158185	0.00125759	0.00228078	0.00216685	0.00437554	0.0051714	0.0406662	0.0957632	0.126128	0.186457	0.221276	0.309566
a56	0.00330202	0.00306366	0.00261108	0.00220318	0.00311855	0.00349057	0.00648004	0.0088868	0.0470543	0.12395	0.177887	0.189764	0.19206	0.236128
a93	0.00104787	0.00105725	0.000960517	0.000827409	0.00140582	0.00155807	0.00337825	0.00454155	0.0338117	0.10246	0.16338	0.206471	0.209139	0.269961
a4	0.000800993	0.000848597	0.000856431	0.000672851	0.00139067	0.00148073	0.003313	0.00388256	0.0283664	0.0766223	0.134035	0.200827	0.229521	0.317382
a50	0.000559747	0.000588266	0.000663393	0.000488984	0.000945189	0.000939052	0.00184318	0.0015206	0.0115462	0.0399465	0.0990637	0.203339	0.276751	0.361806
a88	0.000267809	0.000251181	0.000237023	0.000180035	0.000234761	0.000221811	0.000477123	0.00036168	0.00374279	0.0159669	0.0586595	0.1805	0.307479	0.43142
a38	9.11549e-05	9.1132e-05	7.89887e-05	6.1342e-05	0.000125027	0.000139822	0.000388587	0.000335888	0.0031999	0.0130718	0.0522549	0.159864	0.28622	0.484077
a75	0.000457645	0.000384743	0.000327418	0.000238301	0.000449672	0.000571496	0.00161932	0.00116011	0.00766393	0.021746	0.0817414	0.180277	0.291246	0.412117
a6	0.000105218	0.000119245	0.000128136	9.11389e-05	0.000188048	0.000207415	0.000482594	0.000366383	0.00259847	0.0110843	0.0365539	0.145467	0.318122	0.484487
a36	5.60639e-05	6.89059e-05	7.546e-05	5.36018e-05	0.000101272	0.000111913	0.000260668	0.000225079	0.00161483	0.00874697	0.030255	0.129643	0.309835	0.518953
a27	0.000508138	0.000513936	0.000451314	0.000288015	0.000403469	0.000443136	0.0013025	0.000982916	0.00680458	0.0185359	0.0656901	0.156233	0.282438	0.465405
a30	0.0245048	0.0192597	0.022112	0.0118472	0.00925984	0.00642372	0.0106763	0.0101441	0.0278421	0.0444948	0.0948378	0.117994	0.235088	0.365516
a87	0.200532	0.153359	0.131195	0.0695399	0.0366765	0.0249214	0.0245738	0.021716	0.0208626	0.0275902	0.0408547	0.0543806	0.0794762	0.114323
a23	0.185516	0.154888	0.129502	0.07435	0.0404466	0.0258576	0.0249796	0.0201013	0.0243264	0.0381337	0.0499675	0.0618727	0.073985	0.0960737
a87	0.101203	0.118235	0.0962569	0.0426665	0.0142214	0.00535423	0.00552763	0.00354774	0.00843567	0.0199682	0.0414972	0.0967683	0.179592	0.266726
</S>	0.0272855	0.0327718	0.0307049	0.0139135	0.0051455	0.00227027	0.00307115	0.00257543	0.00817813	0.0184041	0.0401846	0.113402	0.250231	0.451862
