 	il	m'	a	demandé	de	le	dédommager	pour	son	assiette	que	j'	ai	cassée	</S>
a66	0.206739	0.152519	0.0956547	0.0502767	0.0301241	0.0554186	0.100477	0.0673478	0.0682182	0.0553647	0.0423063	0.0318497	0.019662	0.0138035	0.0102396
a87	0.383325	0.153342	0.0686474	0.0314595	0.0257936	0.028769	0.0523251	0.0494581	0.0548248	0.0533514	0.0359064	0.0235806	0.0156702	0.0131577	0.0103897
a23	0.45335	0.182286	0.0898024	0.0352553	0.0240829	0.0235858	0.053652	0.0415794	0.0365453	0.0225628	0.0111659	0.00758988	0.00487737	0.00642106	0.00724357
a87	0.297613	0.16051	0.0887404	0.0398585	0.0423984	0.0435537	0.0657198	0.0758645	0.0557243	0.0399116	0.024809	0.0183562	0.0124534	0.0153458	0.0191419
a23	0.403467	0.171657	0.0913065	0.0335586	0.0287711	0.0295218	0.0498702	0.0473189	0.0413248	0.0283348	0.0195775	0.0163608	0.0112954	0.0127558	0.0148803
a87	0.247779	0.109404	0.0662366	0.0386142	0.0429906	0.0367989	0.0523092	0.0695285	0.0642364	0.0605346	0.0509435	0.0459785	0.0326584	0.0352792	0.0467089
a23	0.194639	0.0986237	0.0654426	0.0398483	0.0404221	0.036565	0.0555882	0.0726522	0.0744941	0.0687084	0.0606799	0.0542239	0.0413014	0.0448766	0.0519352
a79	0.179514	0.0908346	0.0578572	0.0346165	0.0347254	0.028197	0.0411841	0.0635629	0.0689912	0.0771086	0.0725534	0.068387	0.0543603	0.0574433	0.0706643
a44	0.117471	0.108426	0.0866943	0.0755561	0.0644864	0.0411056	0.0626978	0.0647472	0.074186	0.0736674	0.0663514	0.0615638	0.038172	0.0342022	0.030673
a4	0.0853633	0.125506	0.136419	0.120555	0.0931232	0.070005	0.0760322	0.0582302	0.0521486	0.0462473	0.0393189	0.036805	0.0214331	0.0211939	0.0176191
a13	0.0233517	0.0409919	0.0669817	0.0942585	0.118951	0.110614	0.103944	0.0872034	0.0691121	0.0636591	0.0556425	0.0502746	0.035112	0.0407791	0.0391243
a88	0.0189888	0.0315906	0.0502243	0.0853677	0.130161	0.131783	0.11808	0.0883605	0.0633601	0.0564249	0.047648	0.0422916	0.0368334	0.0486227	0.0502628
a71	0.0188987	0.0311762	0.048118	0.0893737	0.138102	0.138481	0.115951	0.0790168	0.0539517	0.0463644	0.0402904	0.0382931	0.0382605	0.057942	0.0657805
a66	0.0175063	0.0242197	0.0329109	0.0632959	0.107269	0.120653	0.118578	0.0835734	0.0606083	0.0538899	0.0475785	0.0461644	0.0505938	0.0799482	0.0932105
a50	0.0188777	0.0234284	0.02935	0.0635906	0.114605	0.129305	0.138077	0.0904462	0.0645091	0.051617	0.0433911	0.0409861	0.0455423	0.0677375	0.0785365
a70	0.0175378	0.0185844	0.0208168	0.0439791	0.0928746	0.118639	0.142649	0.0981133	0.0697771	0.0548445	0.0453614	0.0424222	0.0482374	0.0820324	0.10413
a54	0.015113	0.0157436	0.0204401	0.0576533	0.134953	0.149473	0.142213	0.103872	0.070859	0.053498	0.0419752	0.0351289	0.0374525	0.0548005	0.066825
a0	0.0188974	0.021977	0.0282961	0.0627874	0.112628	0.134985	0.136796	0.109198	0.079824	0.0613604	0.0500116	0.0414266	0.0406912	0.0488119	0.05231
a43	0.0109968	0.0127528	0.0170336	0.0403906	0.0857564	0.118574	0.123721	0.105915	0.0807253	0.0672356	0.0606066	0.0531309	0.0562365	0.0773863	0.089538
a54	0.00589641	0.00605056	0.00792559	0.0187139	0.0503354	0.0806317	0.116437	0.102568	0.0855903	0.0761639	0.0725351	0.066689	0.0718206	0.110825	0.127817
a44	0.0113422	0.0116679	0.0144871	0.0346786	0.0582385	0.0675009	0.104568	0.0985001	0.0939334	0.0809314	0.0840275	0.0783423	0.084741	0.0936287	0.0834124
a93	0.00900507	0.0089954	0.0100112	0.020301	0.037445	0.0451878	0.0790702	0.0822575	0.0887834	0.082622	0.0895102	0.0869773	0.0962248	0.13091	0.132699
a54	0.00773922	0.00776168	0.00829112	0.0155527	0.0292547	0.0432786	0.0798731	0.0783873	0.0824113	0.0854686	0.0903537	0.0849828	0.0963243	0.140037	0.150284
a69	0.015984	0.0148956	0.0156321	0.0295123	0.0466623	0.0490946	0.0843089	0.0797733	0.0876956	0.0811009	0.0825824	0.0791304	0.0903549	0.118226	0.125047
a53	0.0135105	0.012211	0.0124178	0.0221063	0.0331795	0.0354436	0.0646866	0.0717496	0.0875625	0.0844835	0.0908036	0.0862519	0.104464	0.134033	0.147096
a7	0.00580647	0.00540527	0.0056803	0.0106426	0.0201478	0.0238937	0.0412913	0.0494834	0.0653097	0.0693849	0.0856775	0.090349	0.120797	0.187768	0.218363
a84	0.00376074	0.00374443	0.00416043	0.00826215	0.0155626	0.0162853	0.023147	0.0281321	0.0424039	0.0468577	0.0729703	0.0907677	0.136039	0.230012	0.277895
a57	0.000921929	0.000759776	0.000832651	0.00143494	0.00304432	0.00345377	0.00674621	0.0093442	0.0156601	0.0180923	0.0407263	0.0643804	0.147986	0.295806	0.390811
a83	0.0060931	0.00405459	0.00388669	0.00575409	0.00860741	0.00885588	0.0108436	0.0124073	0.0173007	0.0220579	0.0476963	0.0814992	0.180215	0.265404	0.325325
a99	0.000682684	0.000620205	0.000699087	0.00133064	0.00214296	0.00224439	0.00376334	0.00514509	0.0094795	0.0123511	0.0322674	0.0631507	0.159766	0.284004	0.422353
a30	0.00060291	0.000532125	0.000638622	0.00122382	0.00234125	0.00248589	0.00412081	0.00625423	0.0103825	0.0131459	0.0327592	0.0634674	0.155221	0.271166	0.435658
a70	0.0021384	0.00150878	0.00157353	0.002345	0.00364452	0.00354434	0.00484411	0.0065365	0.00911229	0.0106537	0.0253962	0.0448791	0.140878	0.259625	0.48332
a99	0.000853491	0.000656256	0.000688754	0.00117674	0.00225529	0.00266784	0.00483678	0.00698579	0.00954631	0.0108022	0.02481	0.0503214	0.148755	0.268253	0.467391
a83	0.000868177	0.000608311	0.000629554	0.0010072	0.00216318	0.00239505	0.00394269	0.00576533	0.0079269	0.008768	0.0213309	0.0410511	0.135112	0.250784	0.517647
a70	0.00104911	0.000788084	0.000799927	0.00118798	0.00218569	0.00233424	0.00432499	0.00634603	0.00902112	0.00995346	0.0224416	0.0417141	0.133497	0.244464	0.519892
a94	0.000653868	0.000535764	0.000548424	0.000969658	0.00182835	0.00212605	0.00366832	0.00538709	0.00777252	0.00894466	0.0199365	0.038725	0.127957	0.241925	0.539022
a26	0.000791588	0.000596037	0.000563314	0.000866767	0.00182076	0.00202688	0.00350553	0.00500476	0.00730831	0.00828197	0.0192648	0.0353697	0.121849	0.229524	0.563227
