 	je	m'	appelle	thomas	</S>
a87	0.619115	0.155219	0.0556566	0.0925544	0.0774558
a23	0.333587	0.226704	0.153205	0.14556	0.140944
a38	0.3551	0.233176	0.122831	0.133836	0.155056
a26	0.470492	0.19458	0.115217	0.123668	0.0960435
a35	0.498264	0.279942	0.100883	0.0773855	0.0435255
a14	0.307046	0.342135	0.183177	0.0967816	0.0708604
a54	0.369543	0.309107	0.166498	0.0883448	0.066508
a30	0.301563	0.276106	0.197792	0.128608	0.0959313
a35	0.215991	0.192254	0.201783	0.190582	0.19939
a30	0.189707	0.187224	0.220697	0.214349	0.188023
a35	0.182086	0.175788	0.212191	0.212286	0.217649
a57	0.0893878	0.0999697	0.174945	0.297965	0.337732
a87	0.0158532	0.0255774	0.0995793	0.330517	0.528473
a79	0.00614368	0.0149803	0.0575504	0.263655	0.65767
a90	0.00950773	0.0197309	0.068592	0.312376	0.589793
a93	0.0154157	0.0276531	0.0950861	0.363977	0.497868
a35	0.00835503	0.0165332	0.0708982	0.335456	0.568758
a54	0.00145271	0.00458434	0.0448249	0.339079	0.610059
a14	0.00395286	0.00999666	0.0632337	0.324039	0.598778
a30	0.0062097	0.0146031	0.0801382	0.352898	0.546151
a57	0.0071593	0.0158366	0.0602164	0.283704	0.633084
a87	0.00359956	0.00495995	0.0377494	0.260112	0.693579
</S>	0.0278352	0.0243464	0.063412	0.260932	0.623475
