 	les	buffles	se	sont	affolés	</S>
a23	0.408092	0.151083	0.0977973	0.0972042	0.141095	0.104728
a87	0.298506	0.114945	0.0948294	0.0925865	0.167503	0.23163
a23	0.207213	0.149344	0.147696	0.135488	0.170973	0.189286
a40	0.343549	0.124425	0.0804635	0.0732374	0.165661	0.212665
a30	0.60157	0.214678	0.0755078	0.0372047	0.0343349	0.0367045
a35	0.456434	0.27468	0.154601	0.0635256	0.0291068	0.0216532
a38	0.426236	0.293191	0.161599	0.0629734	0.0319189	0.0240819
a14	0.392508	0.317164	0.178321	0.062741	0.028617	0.0206487
a73	0.359861	0.32877	0.187296	0.0679179	0.0325015	0.0236535
a57	0.22565	0.281345	0.24661	0.116676	0.0629294	0.06679
a38	0.114709	0.154375	0.183526	0.165509	0.164244	0.217637
a30	0.137359	0.185765	0.202034	0.158944	0.142173	0.173724
a35	0.163645	0.210775	0.219102	0.156748	0.122896	0.126834
a76	0.16285	0.203233	0.20936	0.166877	0.134219	0.123461
a90	0.0941831	0.113958	0.154935	0.201232	0.205826	0.229867
a76	0.0724164	0.0763446	0.0967412	0.165175	0.242173	0.347149
a73	0.0550768	0.058617	0.0773573	0.160721	0.259715	0.388512
a84	0.0443154	0.0434012	0.0537674	0.0912913	0.246396	0.520829
a57	0.024066	0.0228484	0.0297151	0.0525999	0.225398	0.645373
a87	0.0335809	0.0183296	0.0200312	0.041016	0.203035	0.684007
a23	0.0273805	0.0133779	0.0192097	0.0628113	0.276925	0.600295
</S>	0.0303263	0.02326	0.0379731	0.101424	0.288608	0.518408
