 	l'	autre	commerce	concerne	les	poulets	et	un	autre	les	manioc	</S>
a66	0.345627	0.171061	0.134039	0.0919772	0.0741253	0.0375291	0.0175222	0.0218844	0.0221058	0.0233903	0.0271331	0.0336054
a87	0.400031	0.216932	0.154889	0.0931369	0.0605967	0.0220841	0.00871375	0.00858969	0.00646159	0.00648147	0.00897808	0.0131055
a23	0.265749	0.213728	0.202088	0.120513	0.0654293	0.0440488	0.0217649	0.0163165	0.0112114	0.0111626	0.0119859	0.0160017
a30	0.251135	0.156003	0.204172	0.105711	0.0573172	0.040056	0.0212928	0.0223978	0.0230518	0.0301731	0.0373549	0.0513353
a4	0.20543	0.115208	0.166484	0.136096	0.103741	0.0696893	0.0402103	0.0346804	0.029725	0.0304465	0.0325664	0.0357235
a94	0.170115	0.1293	0.238807	0.142581	0.131749	0.0772254	0.0303396	0.0206587	0.01531	0.0128254	0.0139676	0.0171208
a90	0.116875	0.11508	0.213164	0.144803	0.147475	0.111389	0.0439859	0.0311618	0.0218615	0.0162869	0.0171643	0.020754
a76	0.0743296	0.0970254	0.153236	0.131357	0.141668	0.136074	0.0891848	0.0598725	0.0397315	0.0255964	0.0239542	0.0279703
a90	0.0683134	0.0943865	0.114947	0.0938708	0.140034	0.144861	0.107346	0.086357	0.049322	0.0305906	0.0316745	0.0382981
a94	0.0380654	0.0467337	0.0453157	0.052024	0.0939837	0.144362	0.197958	0.151318	0.0809427	0.0504779	0.0443155	0.0545038
a12	0.0334941	0.035841	0.038684	0.0413999	0.0928772	0.152367	0.215126	0.16415	0.0811955	0.0508669	0.0418933	0.0521055
a35	0.0399543	0.0399182	0.0411011	0.046452	0.0707906	0.0882406	0.137321	0.150306	0.100003	0.0872308	0.087357	0.111326
a85	0.0104597	0.0128335	0.0150296	0.017544	0.0395428	0.0683026	0.132383	0.171759	0.124566	0.122919	0.123911	0.16075
a47	0.00663629	0.011729	0.0150188	0.0156735	0.0306673	0.0473531	0.0855776	0.136282	0.125262	0.151712	0.166015	0.208074
a98	0.0164432	0.0241201	0.0235076	0.0202833	0.0230288	0.0257219	0.0478397	0.0928074	0.0903026	0.131499	0.204047	0.300399
a47	0.0189528	0.0261104	0.0291304	0.0212691	0.0259863	0.030102	0.0506294	0.0949098	0.0882309	0.124729	0.194968	0.294981
a36	0.0234105	0.0266585	0.0265229	0.0175199	0.0161281	0.0163733	0.0262308	0.0504401	0.0535899	0.101401	0.234326	0.407398
a56	0.0504161	0.0514749	0.0511527	0.0290507	0.0246763	0.0264049	0.033465	0.0482317	0.0408621	0.0683634	0.191592	0.38431
