 	il	est	rentré	les	mains	vides	</S>
a66	0.269338	0.236892	0.20268	0.112303	0.0761561	0.0613759	0.041255
a30	0.0959014	0.101757	0.108432	0.103097	0.18279	0.247625	0.160396
a90	0.270508	0.28542	0.209073	0.106204	0.0693214	0.040274	0.0191997
a98	0.201614	0.294049	0.279626	0.108105	0.0651609	0.0397721	0.0116737
a44	0.233344	0.258431	0.282971	0.126015	0.0582817	0.0273389	0.0136189
a90	0.288176	0.257694	0.210504	0.121324	0.0635571	0.0285656	0.0301793
a75	0.312062	0.24843	0.189064	0.11353	0.0611044	0.0319044	0.043904
a85	0.288615	0.230894	0.177886	0.124604	0.0780288	0.0518037	0.0481677
a37	0.162261	0.136872	0.137834	0.138208	0.128489	0.155265	0.141071
a98	0.084267	0.0563482	0.0748245	0.131808	0.187202	0.202274	0.263276
a44	0.0198881	0.0208441	0.0428915	0.108024	0.175265	0.35344	0.279647
a25	0.00895756	0.00587058	0.0135888	0.0590931	0.173352	0.314232	0.424905
a69	0.0053994	0.00291704	0.00686541	0.0357229	0.129359	0.32722	0.492517
a58	0.00239374	0.00162304	0.0033639	0.022408	0.103761	0.347618	0.518832
a82	0.00163092	0.00104131	0.00217652	0.0152312	0.102681	0.360207	0.517033
a87	0.0205735	0.016291	0.0357947	0.0851628	0.176207	0.314367	0.351604
a23	0.0422438	0.0379348	0.05569	0.144777	0.275616	0.255839	0.1879
a87	0.0180942	0.0187248	0.0329436	0.0750856	0.219396	0.310745	0.32501
a23	0.00955109	0.0101028	0.0233274	0.0648283	0.189012	0.409571	0.293608
a99	0.012234	0.0144035	0.0316495	0.0837683	0.214504	0.354088	0.289353
a10	0.0135766	0.0188085	0.0468893	0.121027	0.231719	0.295372	0.272608
</S>	0.023304	0.0298678	0.0716588	0.147866	0.238837	0.272767	0.215699
