 	on	ramasse	les	fruits	de	l'	arbre	obaaré	en	début	de	la	grande	saison	des	pluies	</S>
a66	0.0943432	0.0639811	0.0599643	0.0953708	0.118091	0.141044	0.130873	0.126411	0.0514508	0.0468826	0.0175092	0.0174648	0.00991185	0.00750757	0.00660507	0.00643121	0.00615809
a87	0.386351	0.157763	0.0682164	0.0645727	0.0593045	0.0404414	0.0301353	0.0342096	0.0147678	0.0127011	0.00749653	0.0129381	0.022432	0.024752	0.0222848	0.0193396	0.0222944
a23	0.23862	0.140451	0.0995781	0.0843325	0.072129	0.0612914	0.0492689	0.0606246	0.0395465	0.0301822	0.0172302	0.0156399	0.015969	0.0180774	0.0176386	0.0183377	0.0210834
a40	0.0847605	0.0445624	0.0340781	0.0258935	0.0236096	0.0245795	0.0310104	0.0490828	0.0500799	0.072469	0.0982341	0.0960133	0.0880287	0.0805111	0.0632397	0.0616326	0.0722148
a7	0.119443	0.0725984	0.0461134	0.0494988	0.0602008	0.0664594	0.0665071	0.1037	0.0805108	0.117859	0.0645654	0.0568108	0.034081	0.0210109	0.0142667	0.0132851	0.0130883
a54	0.236509	0.162159	0.12419	0.140546	0.109531	0.0668152	0.0363295	0.0258613	0.0110462	0.0223044	0.0109451	0.0116732	0.0108394	0.0106121	0.00623757	0.0065708	0.00783112
a47	0.159917	0.0865288	0.074914	0.113253	0.0937841	0.0681523	0.0506716	0.0459408	0.0265235	0.0557721	0.0398825	0.0438454	0.0428265	0.0383354	0.0197022	0.0184105	0.0215399
a6	0.126552	0.0844626	0.0933211	0.142962	0.113942	0.0748131	0.0484531	0.0325957	0.0171752	0.0428208	0.0349636	0.039853	0.0389313	0.0370607	0.0214976	0.0227803	0.0278156
a5	0.105343	0.0918418	0.122988	0.154871	0.121925	0.0828156	0.0549286	0.0322269	0.0164337	0.034646	0.0269569	0.0277413	0.0261652	0.0274739	0.0189801	0.0239682	0.0306938
a54	0.0931032	0.0930099	0.105148	0.128063	0.128005	0.108275	0.0840458	0.0502259	0.0321876	0.0483631	0.0299263	0.0257595	0.016107	0.0154859	0.012201	0.0149632	0.0151308
a47	0.0291237	0.0331769	0.0715787	0.136077	0.136572	0.121276	0.0951749	0.0614673	0.0348568	0.0533945	0.0459209	0.0384658	0.0282008	0.0264084	0.0216177	0.0284326	0.0382563
a36	0.0295312	0.0348279	0.072426	0.129033	0.132312	0.13563	0.109512	0.0598874	0.0287477	0.0486573	0.0361119	0.0317976	0.0245608	0.0265759	0.0228071	0.0320065	0.0455754
a2	0.0216047	0.0246283	0.0360467	0.0529619	0.0648169	0.10929	0.118392	0.0811392	0.0480701	0.0603162	0.0480706	0.0390625	0.0325419	0.0423885	0.0480741	0.0798212	0.0927748
