 	okaa	cherche	son	enfant	</S>
a66	0.552507	0.220658	0.0807831	0.0752806	0.0707716
a97	0.468969	0.251711	0.129329	0.0831153	0.0668748
a3	0.593279	0.299398	0.0687262	0.0206761	0.0179205
a97	0.57979	0.302285	0.0669181	0.0258973	0.0251094
a79	0.591452	0.31984	0.0593814	0.0166567	0.0126703
a58	0.695253	0.253772	0.0323617	0.00980079	0.00881257
a57	0.596863	0.275169	0.0679135	0.0306101	0.0294436
a38	0.427815	0.267319	0.130673	0.0853428	0.0888497
a54	0.241281	0.244725	0.198736	0.158697	0.156561
a36	0.272544	0.21759	0.202424	0.173863	0.133578
a54	0.160921	0.160013	0.212985	0.245517	0.220565
a56	0.19539	0.178655	0.221531	0.212986	0.191438
a94	0.0726179	0.088995	0.191101	0.300292	0.346994
a54	0.0521376	0.0671195	0.176695	0.303392	0.400656
a7	0.0841649	0.0936682	0.189584	0.279268	0.353315
a44	0.0548653	0.0575	0.152547	0.28731	0.447778
a20	0.016564	0.0214679	0.0874149	0.287536	0.587017
a44	0.034997	0.0458527	0.138016	0.297379	0.483755
a26	0.0093977	0.0120089	0.0492365	0.233547	0.69581
a82	0.0078229	0.00957864	0.0315725	0.185984	0.765042
a3	0.0913591	0.0418235	0.0577578	0.16709	0.64197
a87	0.268219	0.12782	0.0987144	0.152335	0.352912
a97	0.259831	0.138656	0.110395	0.175095	0.316023
a87	0.145351	0.130789	0.164183	0.247697	0.311979
a23	0.166928	0.160828	0.189668	0.227138	0.255438
a87	0.0965193	0.14437	0.237599	0.257408	0.264103
a97	0.105812	0.146316	0.230784	0.270782	0.246307
</S>	0.167545	0.176715	0.213622	0.218009	0.22411
